Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №141', number='21967535', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.012, total=0.012]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.013, total=0.013]
Counter[flat='Квартира №122', number='21949370', date=null, t1=0.026, t2=0.000, t3=0.027, total=0.053]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.353, t2=0.000, t3=0.000, total=0.353]
Counter[flat='Квартира №133', number='21967899', date=null, t1=0.285, t2=0.138, t3=0.172, total=0.595]
Counter[flat='Квартира №62', number='21971329', date=null, t1=0.330, t2=0.006, t3=0.331, total=0.667]
Counter[flat='Квартира №30', number='21667094', date=null, t1=2.809, t2=2.012, t3=3.532, total=8.353]
Counter[flat='Квартира №111', number='21949373', date=null, t1=3.566, t2=0.991, t3=4.262, total=8.819]
Counter[flat='Квартира №108', number='21968246', date=null, t1=2.768, t2=0.000, t3=15.413, total=18.181]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.484, t2=8.543, t3=9.601, total=25.628]
Counter[flat='Квартира №5', number='21712960', date=null, t1=10.746, t2=12.075, t3=13.800, total=36.621]
Counter[flat='Квартира №97', number='21967959', date=null, t1=11.760, t2=10.497, t3=19.582, total=41.839]
Counter[flat='Квартира №73', number='21967479', date=null, t1=12.924, t2=14.650, t3=16.726, total=44.300]
Counter[flat='Квартира №94', number='21967987', date=null, t1=14.379, t2=13.253, t3=22.728, total=50.360]
Counter[flat='Квартира №45', number='21666907', date=null, t1=14.668, t2=15.212, t3=21.818, total=51.698]
Counter[flat='Квартира №107', number='21971375', date=null, t1=15.057, t2=17.158, t3=19.575, total=51.790]
Counter[flat='Квартира №20', number='21968040', date=null, t1=15.065, t2=17.890, t3=21.554, total=54.509]
Counter[flat='Квартира №27', number='21666500', date=null, t1=19.560, t2=15.759, t3=23.596, total=58.915]
Counter[flat='Квартира №75', number='21968458', date=null, t1=21.135, t2=14.236, t3=24.165, total=59.536]
Counter[flat='Квартира №41', number='21666577', date=null, t1=21.753, t2=14.777, t3=25.667, total=62.197]
Counter[flat='Квартира №35', number='21948913', date=null, t1=10.463, t2=27.828, t3=24.366, total=62.657]
Counter[flat='Квартира №17', number='21968056', date=null, t1=22.787, t2=17.487, t3=24.802, total=65.076]
Counter[flat='Квартира №8', number='21967610', date=null, t1=19.459, t2=17.900, t3=29.540, total=66.899]
Counter[flat='Квартира №11', number='21949329', date=null, t1=16.093, t2=23.504, t3=27.493, total=67.090]
Counter[flat='Квартира №88', number='21967504', date=null, t1=21.796, t2=11.974, t3=34.476, total=68.246]
Counter[flat='Квартира №50', number='21666901', date=null, t1=19.015, t2=18.142, t3=31.889, total=69.046]
Counter[flat='Квартира №15', number='21666510', date=null, t1=22.693, t2=20.917, t3=25.800, total=69.410]
Counter[flat='Квартира №59', number='21968016', date=null, t1=26.198, t2=18.818, t3=24.506, total=69.522]
Counter[flat='Квартира №91', number='21968076', date=null, t1=19.975, t2=25.401, t3=24.310, total=69.686]
Counter[flat='Квартира №99', number='21968207', date=null, t1=20.425, t2=21.937, t3=30.648, total=73.010]
Counter[flat='Квартира №70', number='21967516', date=null, t1=17.742, t2=27.953, t3=27.494, total=73.189]
Counter[flat='Квартира №14', number='21967940', date=null, t1=21.850, t2=29.925, t3=23.578, total=75.353]
Counter[flat='Квартира №92', number='21967967', date=null, t1=21.815, t2=18.024, t3=37.731, total=77.570]
Counter[flat='Квартира №110', number='21949389', date=null, t1=25.887, t2=19.457, t3=35.460, total=80.804]
Counter[flat='Квартира №57', number='21967809', date=null, t1=25.747, t2=24.983, t3=30.669, total=81.399]
Counter[flat='Квартира №96', number='21968073', date=null, t1=25.634, t2=25.224, t3=33.045, total=83.903]
Counter[flat='Квартира №54', number='21666917', date=null, t1=24.319, t2=25.998, t3=34.263, total=84.580]
Counter[flat='Квартира №124', number='21949405', date=null, t1=24.260, t2=26.864, t3=33.627, total=84.751]
Counter[flat='Квартира №61', number='21968453', date=null, t1=29.620, t2=16.332, t3=39.024, total=84.976]
Counter[flat='Квартира №26', number='21666497', date=null, t1=24.491, t2=28.465, t3=32.373, total=85.329]
Counter[flat='Квартира №83', number='21968203', date=null, t1=25.413, t2=23.076, t3=38.540, total=87.029]
Counter[flat='Квартира №135', number='21967542', date=null, t1=29.090, t2=22.369, t3=36.059, total=87.518]
Counter[flat='Квартира №51', number='21666920', date=null, t1=29.899, t2=20.813, t3=37.550, total=88.262]
Counter[flat='Квартира №3', number='21967585', date=null, t1=34.604, t2=21.300, t3=32.648, total=88.552]
Counter[flat='Квартира №65', number='21968139', date=null, t1=31.773, t2=25.536, t3=36.090, total=93.399]
Counter[flat='Квартира №56', number='21968075', date=null, t1=25.302, t2=27.464, t3=41.468, total=94.234]
Counter[flat='Квартира №101', number='21967802', date=null, t1=22.494, t2=49.041, t3=23.453, total=94.988]
Counter[flat='Квартира №103', number='21971417', date=null, t1=34.161, t2=23.827, t3=38.737, total=96.725]
Counter[flat='Квартира №21', number='21968025', date=null, t1=36.860, t2=20.170, t3=46.237, total=103.267]
Counter[flat='Квартира №86', number='21967885', date=null, t1=29.741, t2=30.958, t3=43.223, total=103.922]
Counter[flat='Квартира №22', number='21968052', date=null, t1=38.600, t2=23.587, t3=42.507, total=104.694]
Counter[flat='Квартира №53', number='21666929', date=null, t1=23.561, t2=39.095, t3=45.958, total=108.614]
Counter[flat='Квартира №136', number='21967551', date=null, t1=30.894, t2=37.948, t3=43.344, total=112.186]
Counter[flat='Квартира №142', number='21968032', date=null, t1=31.934, t2=29.383, t3=54.166, total=115.483]
Counter[flat='Квартира №140', number='21967475', date=null, t1=35.098, t2=30.988, t3=50.646, total=116.732]
Counter[flat='Квартира №34', number='21712954', date=null, t1=56.249, t2=21.184, t3=42.433, total=119.866]
Counter[flat='Квартира №71', number='21967505', date=null, t1=36.956, t2=24.315, t3=60.466, total=121.737]
Counter[flat='Квартира №119', number='21967973', date=null, t1=35.306, t2=29.176, t3=57.365, total=121.847]
