Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='89', number='21967810', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='141', number='21967535', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='87', number='21967753', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='46', number='21967731', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='33', number='21948916', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='134', number='21967568', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='136', number='21967551', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.003, total=0.003]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.006, total=0.006]
Counter[flat='60', number='21967979', date=null, t1=0.018, t2=0.000, t3=0.000, total=0.018]
Counter[flat='30', number='21667094', date=null, t1=0.000, t2=0.000, t3=0.021, total=0.021]
Counter[flat='111', number='21949373', date=null, t1=1.622, t2=1.634, t3=1.846, total=5.102]
Counter[flat='62', number='21971329', date=null, t1=2.377, t2=2.056, t3=5.071, total=9.504]
Counter[flat='102', number='21968242', date=null, t1=7.736, t2=8.871, t3=9.921, total=26.528]
Counter[flat='5', number='21712960', date=null, t1=9.018, t2=10.765, t3=12.230, total=32.013]
Counter[flat='51', number='21666920', date=null, t1=10.074, t2=11.443, t3=13.005, total=34.522]
Counter[flat='8', number='21967610', date=null, t1=11.180, t2=12.563, t3=14.481, total=38.224]
Counter[flat='69', number='21967567', date=null, t1=11.046, t2=13.703, t3=14.563, total=39.312]
Counter[flat='68', number='21967522', date=null, t1=14.379, t2=10.764, t3=14.856, total=39.999]
Counter[flat='58', number='21967732', date=null, t1=11.921, t2=13.694, t3=15.092, total=40.707]
Counter[flat='73', number='21967479', date=null, t1=13.174, t2=14.342, t3=15.831, total=43.347]
Counter[flat='75', number='21968458', date=null, t1=17.331, t2=13.025, t3=19.757, total=50.113]
Counter[flat='94', number='21967987', date=null, t1=14.778, t2=14.656, t3=20.700, total=50.134]
Counter[flat='101', number='21967802', date=null, t1=14.965, t2=13.967, t3=23.063, total=51.995]
Counter[flat='11', number='21949329', date=null, t1=13.815, t2=16.275, t3=23.016, total=53.106]
Counter[flat='45', number='21666907', date=null, t1=15.046, t2=17.701, t3=20.487, total=53.234]
Counter[flat='20', number='21968040', date=null, t1=17.198, t2=21.160, t3=22.568, total=60.926]
Counter[flat='40', number='21666557', date=null, t1=18.871, t2=19.864, t3=22.208, total=60.943]
Counter[flat='119', number='21967973', date=null, t1=17.391, t2=18.471, t3=26.744, total=62.606]
Counter[flat='107', number='21971375', date=null, t1=16.449, t2=22.839, t3=23.643, total=62.931]
Counter[flat='84', number='21967477', date=null, t1=18.457, t2=21.396, t3=23.635, total=63.488]
Counter[flat='35', number='21948913', date=null, t1=12.081, t2=30.400, t3=23.109, total=65.590]
Counter[flat='99', number='21968207', date=null, t1=19.318, t2=18.026, t3=28.848, total=66.192]
Counter[flat='72', number='21967501', date=null, t1=21.501, t2=18.219, t3=27.753, total=67.473]
Counter[flat='17', number='21968056', date=null, t1=21.865, t2=21.662, t3=24.414, total=67.941]
Counter[flat='121', number='21971370', date=null, t1=20.684, t2=21.607, t3=26.778, total=69.069]
Counter[flat='65', number='21968139', date=null, t1=24.133, t2=20.177, t3=27.233, total=71.543]
Counter[flat='110', number='21949389', date=null, t1=25.879, t2=17.970, t3=28.431, total=72.280]
Counter[flat='124', number='21949405', date=null, t1=23.466, t2=22.819, t3=26.791, total=73.076]
Counter[flat='91', number='21968076', date=null, t1=22.729, t2=23.299, t3=27.519, total=73.547]
Counter[flat='83', number='21968203', date=null, t1=30.220, t2=11.711, t3=33.165, total=75.096]
Counter[flat='88', number='21967504', date=null, t1=26.884, t2=14.252, t3=35.575, total=76.711]
Counter[flat='122', number='21949370', date=null, t1=21.920, t2=21.132, t3=36.286, total=79.338]
Counter[flat='59', number='21968016', date=null, t1=31.108, t2=16.663, t3=33.880, total=81.651]
Counter[flat='41', number='21666577', date=null, t1=21.067, t2=26.132, t3=34.903, total=82.102]
Counter[flat='57', number='21967809', date=null, t1=27.230, t2=24.925, t3=30.189, total=82.344]
Counter[flat='116', number='21968082', date=null, t1=25.925, t2=23.518, t3=34.620, total=84.063]
Counter[flat='77', number='21968450', date=null, t1=17.857, t2=26.445, t3=40.968, total=85.270]
Counter[flat='14', number='21967940', date=null, t1=24.352, t2=27.950, t3=33.808, total=86.110]
Counter[flat='22', number='21968052', date=null, t1=36.974, t2=20.814, t3=28.405, total=86.193]
Counter[flat='71', number='21967505', date=null, t1=22.756, t2=21.473, t3=45.061, total=89.290]
Counter[flat='42', number='21666910', date=null, t1=30.985, t2=19.610, t3=39.272, total=89.867]
Counter[flat='3', number='21967585', date=null, t1=34.922, t2=22.948, t3=34.733, total=92.603]
Counter[flat='50', number='21666901', date=null, t1=27.800, t2=23.792, t3=42.287, total=93.879]
Counter[flat='135', number='21967542', date=null, t1=26.855, t2=27.431, t3=41.031, total=95.317]
Counter[flat='19', number='21967946', date=null, t1=38.671, t2=12.534, t3=45.084, total=96.289]
Counter[flat='103', number='21971417', date=null, t1=34.069, t2=25.829, t3=38.650, total=98.548]
Counter[flat='86', number='21967885', date=null, t1=31.820, t2=21.499, t3=48.856, total=102.175]
Counter[flat='34', number='21712954', date=null, t1=42.553, t2=19.668, t3=41.770, total=103.991]
Counter[flat='131', number='21968035', date=null, t1=31.692, t2=35.957, t3=37.825, total=105.474]
Counter[flat='27', number='21666500', date=null, t1=33.286, t2=23.556, t3=53.122, total=109.964]
Counter[flat='109', number='21949350', date=null, t1=34.435, t2=35.850, t3=39.774, total=110.059]
Counter[flat='70', number='21967516', date=null, t1=23.878, t2=44.831, t3=41.580, total=110.289]
Counter[flat='21', number='21968025', date=null, t1=45.045, t2=21.636, t3=44.276, total=110.957]
Counter[flat='26', number='21666497', date=null, t1=53.474, t2=17.587, t3=40.803, total=111.864]
Counter[flat='126', number='21949403', date=null, t1=34.791, t2=34.552, t3=45.003, total=114.346]
Counter[flat='56', number='21968075', date=null, t1=32.338, t2=34.889, t3=48.204, total=115.431]
Counter[flat='48', number='21968079', date=null, t1=26.159, t2=54.552, t3=35.452, total=116.163]
Counter[flat='24', number='21968031', date=null, t1=35.462, t2=29.277, t3=52.066, total=116.805]
Counter[flat='28', number='21666499', date=null, t1=41.671, t2=26.440, t3=52.105, total=120.216]
Counter[flat='16', number='21666895', date=null, t1=36.712, t2=31.921, t3=53.885, total=122.518]
Counter[flat='130', number='21967952', date=null, t1=45.446, t2=25.154, t3=55.848, total=126.448]
