Counter[flat='78', number='21971325', date=null, t1=-5090.753, t2=-753.766, t3=1015.002, total=-4829.517]
Counter[flat='40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='99', number='21968207', date=null, t1=0.000, t2=0.000, t3=0.007, total=0.007]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.007, total=0.007]
Counter[flat='69', number='21967567', date=null, t1=0.017, t2=0.000, t3=0.000, total=0.017]
Counter[flat='139', number='21967531', date=null, t1=0.401, t2=0.236, t3=0.301, total=0.938]
Counter[flat='59', number='21968016', date=null, t1=1.110, t2=0.018, t3=0.122, total=1.250]
Counter[flat='8', number='21967610', date=null, t1=0.447, t2=0.601, t3=0.459, total=1.507]
Counter[flat='97', number='21967959', date=null, t1=1.958, t2=0.000, t3=6.556, total=8.514]
Counter[flat='30', number='21667094', date=null, t1=2.973, t2=3.498, t3=3.684, total=10.155]
Counter[flat='92', number='21967967', date=null, t1=5.775, t2=5.880, t3=8.251, total=19.906]
Counter[flat='108', number='21968246', date=null, t1=6.115, t2=0.000, t3=19.482, total=25.597]
Counter[flat='28', number='21666499', date=null, t1=7.976, t2=9.128, t3=10.104, total=27.208]
Counter[flat='102', number='21968242', date=null, t1=7.974, t2=9.211, t3=10.232, total=27.417]
Counter[flat='5', number='21712960', date=null, t1=7.890, t2=9.735, t3=11.469, total=29.094]
Counter[flat='13', number='21967904', date=null, t1=9.384, t2=6.948, t3=15.023, total=31.355]
Counter[flat='51', number='21666920', date=null, t1=9.273, t2=10.617, t3=11.794, total=31.684]
Counter[flat='36', number='21712963', date=null, t1=9.218, t2=10.761, t3=11.944, total=31.923]
Counter[flat='94', number='21967987', date=null, t1=9.963, t2=10.590, t3=13.142, total=33.695]
Counter[flat='140', number='21967475', date=null, t1=10.536, t2=6.760, t3=17.228, total=34.524]
Counter[flat='11', number='21949329', date=null, t1=10.252, t2=12.206, t3=13.536, total=35.994]
Counter[flat='136', number='21967551', date=null, t1=11.774, t2=12.363, t3=13.429, total=37.566]
Counter[flat='84', number='21967477', date=null, t1=11.677, t2=13.956, t3=15.019, total=40.652]
Counter[flat='88', number='21967504', date=null, t1=12.344, t2=4.983, t3=27.321, total=44.648]
Counter[flat='41', number='21666577', date=null, t1=12.938, t2=13.826, t3=18.249, total=45.013]
Counter[flat='81', number='21967486', date=null, t1=12.832, t2=15.185, t3=17.132, total=45.149]
Counter[flat='121', number='21971370', date=null, t1=13.304, t2=15.538, t3=17.249, total=46.091]
Counter[flat='101', number='21967802', date=null, t1=17.626, t2=12.835, t3=17.963, total=48.424]
Counter[flat='107', number='21971375', date=null, t1=14.376, t2=17.290, t3=18.414, total=50.080]
Counter[flat='45', number='21666907', date=null, t1=10.472, t2=19.345, t3=20.656, total=50.473]
Counter[flat='24', number='21968031', date=null, t1=14.276, t2=16.717, t3=21.087, total=52.080]
Counter[flat='114', number='21949338', date=null, t1=15.760, t2=17.948, t3=20.752, total=54.460]
Counter[flat='73', number='21967479', date=null, t1=15.907, t2=20.324, t3=19.922, total=56.153]
Counter[flat='105', number='21971386', date=null, t1=17.966, t2=17.473, t3=20.822, total=56.261]
Counter[flat='87', number='21967753', date=null, t1=16.772, t2=14.672, t3=25.863, total=57.307]
Counter[flat='119', number='21967973', date=null, t1=20.006, t2=15.386, t3=24.320, total=59.712]
Counter[flat='57', number='21967809', date=null, t1=22.680, t2=17.204, t3=21.136, total=61.020]
Counter[flat='124', number='21949405', date=null, t1=17.242, t2=18.568, t3=25.773, total=61.583]
Counter[flat='71', number='21967505', date=null, t1=13.965, t2=16.248, t3=32.744, total=62.957]
Counter[flat='122', number='21949370', date=null, t1=29.196, t2=10.617, t3=23.253, total=63.066]
Counter[flat='43', number='21712964', date=null, t1=15.335, t2=21.647, t3=27.927, total=64.909]
Counter[flat='75', number='21968458', date=null, t1=27.136, t2=14.802, t3=27.148, total=69.086]
Counter[flat='65', number='21968139', date=null, t1=28.905, t2=19.383, t3=22.445, total=70.733]
Counter[flat='3', number='21967585', date=null, t1=24.004, t2=19.763, t3=27.869, total=71.636]
Counter[flat='17', number='21968056', date=null, t1=25.561, t2=16.166, t3=30.277, total=72.004]
Counter[flat='63', number='21968441', date=null, t1=20.206, t2=14.456, t3=38.989, total=73.651]
Counter[flat='29', number='21667085', date=null, t1=25.436, t2=16.413, t3=32.585, total=74.434]
Counter[flat='128', number='21968471', date=null, t1=19.881, t2=23.382, t3=31.200, total=74.463]
Counter[flat='22', number='21968052', date=null, t1=28.192, t2=15.027, t3=31.596, total=74.815]
Counter[flat='135', number='21967542', date=null, t1=25.250, t2=22.060, t3=27.549, total=74.859]
Counter[flat='110', number='21949389', date=null, t1=20.180, t2=25.315, t3=29.614, total=75.109]
Counter[flat='35', number='21948913', date=null, t1=17.764, t2=37.689, t3=23.384, total=78.837]
Counter[flat='86', number='21967885', date=null, t1=25.985, t2=15.662, t3=37.262, total=78.909]
Counter[flat='91', number='21968076', date=null, t1=21.802, t2=32.333, t3=25.836, total=79.971]
Counter[flat='56', number='21968075', date=null, t1=23.855, t2=23.066, t3=33.495, total=80.416]
Counter[flat='15', number='21666510', date=null, t1=25.081, t2=21.545, t3=34.875, total=81.501]
Counter[flat='62', number='21971329', date=null, t1=26.991, t2=14.453, t3=42.547, total=83.991]
Counter[flat='116', number='21968082', date=null, t1=25.486, t2=23.529, t3=35.214, total=84.229]
Counter[flat='44', number='21967861', date=null, t1=26.375, t2=21.294, t3=36.875, total=84.544]
Counter[flat='103', number='21971417', date=null, t1=29.056, t2=23.591, t3=33.439, total=86.086]
Counter[flat='70', number='21967516', date=null, t1=24.074, t2=32.442, t3=31.960, total=88.476]
Counter[flat='93', number='21967981', date=null, t1=31.948, t2=20.466, t3=37.843, total=90.257]
Counter[flat='67', number='21967528', date=null, t1=23.569, t2=31.254, t3=36.828, total=91.651]
Counter[flat='27', number='21666500', date=null, t1=32.991, t2=16.955, t3=42.248, total=92.194]
Counter[flat='23', number='21967854', date=null, t1=30.958, t2=13.850, t3=48.533, total=93.341]
Counter[flat='125', number='21949344', date=null, t1=31.546, t2=24.034, t3=39.024, total=94.604]
Counter[flat='33', number='21948916', date=null, t1=33.560, t2=20.425, t3=41.149, total=95.134]
Counter[flat='26', number='21666497', date=null, t1=26.424, t2=25.412, t3=43.320, total=95.156]
Counter[flat='100', number='21967497', date=null, t1=42.836, t2=14.230, t3=40.193, total=97.259]
Counter[flat='21', number='21968025', date=null, t1=24.309, t2=26.428, t3=46.534, total=97.271]
Counter[flat='83', number='21968203', date=null, t1=24.328, t2=24.785, t3=50.941, total=100.054]
Counter[flat='120', number='21967526', date=null, t1=27.708, t2=29.116, t3=43.270, total=100.094]
Counter[flat='4', number='21967572', date=null, t1=29.126, t2=30.342, t3=41.868, total=101.336]
Counter[flat='132', number='21967848', date=null, t1=33.855, t2=30.762, t3=37.778, total=102.395]
Counter[flat='16', number='21666895', date=null, t1=38.358, t2=20.436, t3=44.635, total=103.429]
Counter[flat='38', number='21666552', date=null, t1=28.335, t2=33.341, t3=42.247, total=103.923]
Counter[flat='34', number='21712954', date=null, t1=35.013, t2=27.890, t3=41.469, total=104.372]
Counter[flat='47', number='21967923', date=null, t1=29.894, t2=25.311, t3=49.820, total=105.025]
Counter[flat='42', number='21666910', date=null, t1=41.248, t2=20.071, t3=43.739, total=105.058]
Counter[flat='76', number='21968202', date=null, t1=34.576, t2=26.090, t3=45.380, total=106.046]
Counter[flat='134', number='21967568', date=null, t1=22.603, t2=35.535, t3=53.762, total=111.900]
Counter[flat='133', number='21967899', date=null, t1=41.524, t2=18.923, t3=51.727, total=112.174]
Counter[flat='14', number='21967940', date=null, t1=36.249, t2=32.515, t3=45.146, total=113.910]
Counter[flat='80', number='21967506', date=null, t1=34.870, t2=32.749, t3=48.654, total=116.273]
