Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №30', number='21667094', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.001, total=0.001]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.035, total=0.035]
Counter[flat='Квартира №97', number='21967959', date=null, t1=3.791, t2=5.369, t3=5.833, total=14.993]
Counter[flat='Квартира №140', number='21967475', date=null, t1=8.760, t2=6.521, t3=8.922, total=24.203]
Counter[flat='Квартира №108', number='21968246', date=null, t1=4.355, t2=0.000, t3=20.654, total=25.009]
Counter[flat='Квартира №111', number='21949373', date=null, t1=7.980, t2=8.404, t3=9.809, total=26.193]
Counter[flat='Квартира №100', number='21967497', date=null, t1=10.119, t2=10.528, t3=12.534, total=33.181]
Counter[flat='Квартира №101', number='21967802', date=null, t1=10.370, t2=11.542, t3=13.201, total=35.113]
Counter[flat='Квартира №102', number='21968242', date=null, t1=10.458, t2=12.393, t3=13.237, total=36.088]
Counter[flat='Квартира №94', number='21967987', date=null, t1=12.281, t2=11.209, t3=13.589, total=37.079]
Counter[flat='Квартира №84', number='21967477', date=null, t1=11.688, t2=12.976, t3=14.730, total=39.394]
Counter[flat='Квартира №5', number='21712960', date=null, t1=12.046, t2=12.098, t3=16.126, total=40.270]
Counter[flat='Квартира №62', number='21971329', date=null, t1=14.272, t2=11.744, t3=19.173, total=45.189]
Counter[flat='Квартира №72', number='21967501', date=null, t1=14.138, t2=13.783, t3=17.539, total=45.460]
Counter[flat='Квартира №92', number='21967967', date=null, t1=12.556, t2=14.219, t3=20.383, total=47.158]
Counter[flat='Квартира №4', number='21967572', date=null, t1=15.100, t2=0.000, t3=39.685, total=54.785]
Counter[flat='Квартира №45', number='21666907', date=null, t1=15.463, t2=16.757, t3=24.058, total=56.278]
Counter[flat='Квартира №41', number='21666577', date=null, t1=21.909, t2=13.120, t3=22.201, total=57.230]
Counter[flat='Квартира №20', number='21968040', date=null, t1=23.869, t2=15.469, t3=26.421, total=65.759]
Counter[flat='Квартира №93', number='21967981', date=null, t1=20.969, t2=17.606, t3=27.297, total=65.872]
Counter[flat='Квартира №65', number='21968139', date=null, t1=22.850, t2=16.257, t3=29.306, total=68.413]
Counter[flat='Квартира №99', number='21968207', date=null, t1=22.410, t2=18.319, t3=29.243, total=69.972]
Counter[flat='Квартира №47', number='21967923', date=null, t1=22.766, t2=23.019, t3=26.388, total=72.173]
Counter[flat='Квартира №38', number='21666552', date=null, t1=25.947, t2=18.570, t3=29.308, total=73.825]
Counter[flat='Квартира №75', number='21968458', date=null, t1=25.621, t2=15.294, t3=32.995, total=73.910]
