Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='76', number='21968202', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.001, total=0.001]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.386, total=0.386]
Counter[flat='5', number='21712960', date=null, t1=0.532, t2=0.654, t3=0.660, total=1.846]
Counter[flat='135', number='21967542', date=null, t1=10.627, t2=11.261, t3=12.841, total=34.729]
Counter[flat='27', number='21666500', date=null, t1=10.098, t2=11.806, t3=13.092, total=34.996]
Counter[flat='73', number='21967479', date=null, t1=12.072, t2=14.419, t3=15.786, total=42.277]
Counter[flat='107', number='21971375', date=null, t1=12.746, t2=14.432, t3=16.151, total=43.329]
Counter[flat='29', number='21667085', date=null, t1=14.274, t2=11.680, t3=18.922, total=44.876]
Counter[flat='45', number='21666907', date=null, t1=12.302, t2=2.114, t3=32.495, total=46.911]
Counter[flat='74', number='21968454', date=null, t1=15.873, t2=15.617, t3=18.629, total=50.119]
Counter[flat='56', number='21968075', date=null, t1=14.638, t2=15.786, t3=20.740, total=51.164]
Counter[flat='42', number='21666910', date=null, t1=19.755, t2=17.963, t3=18.610, total=56.328]
Counter[flat='65', number='21968139', date=null, t1=21.939, t2=16.658, t3=20.592, total=59.189]
Counter[flat='91', number='21968076', date=null, t1=17.490, t2=17.991, t3=25.435, total=60.916]
Counter[flat='35', number='21948913', date=null, t1=16.398, t2=22.005, t3=24.774, total=63.177]
Counter[flat='68', number='21967522', date=null, t1=16.628, t2=21.322, t3=25.939, total=63.889]
Counter[flat='75', number='21968458', date=null, t1=24.377, t2=15.467, t3=24.612, total=64.456]
Counter[flat='143', number='21967509', date=null, t1=18.954, t2=21.886, t3=24.911, total=65.751]
Counter[flat='32', number='21712993', date=null, t1=22.184, t2=15.983, t3=28.292, total=66.459]
Counter[flat='81', number='21967486', date=null, t1=22.082, t2=20.395, t3=25.923, total=68.400]
Counter[flat='83', number='21968203', date=null, t1=24.155, t2=16.113, t3=28.229, total=68.497]
Counter[flat='116', number='21968082', date=null, t1=21.117, t2=18.531, t3=33.755, total=73.403]
Counter[flat='99', number='21968207', date=null, t1=26.168, t2=17.650, t3=31.053, total=74.871]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='43', number='21712964', date=null, t1=15.897, t2=28.425, t3=32.108, total=76.430]
Counter[flat='124', number='21949405', date=null, t1=26.084, t2=21.468, t3=28.957, total=76.509]
Counter[flat='38', number='21666552', date=null, t1=23.367, t2=17.628, t3=37.543, total=78.538]
Counter[flat='3', number='21967585', date=null, t1=30.318, t2=20.732, t3=29.110, total=80.160]
Counter[flat='8', number='21967610', date=null, t1=25.667, t2=20.824, t3=34.038, total=80.529]
Counter[flat='140', number='21967475', date=null, t1=25.620, t2=19.354, t3=36.000, total=80.974]
Counter[flat='95', number='21967997', date=null, t1=30.198, t2=18.198, t3=33.571, total=81.967]
Counter[flat='33', number='2025-14000033', date=null, t1=30.000, t2=20.000, t3=35.000, total=85.000]
Counter[flat='24', number='21968031', date=null, t1=28.246, t2=27.859, t3=29.823, total=85.928]
