Counter[flat='40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.001, t2=0.000, t3=0.000, total=0.001]
Counter[flat='92', number='21967967', date=null, t1=0.001, t2=0.000, t3=0.000, total=0.001]
Counter[flat='66', number='21968442', date=null, t1=0.001, t2=0.001, t3=0.000, total=0.002]
Counter[flat='19', number='21967946', date=null, t1=0.001, t2=0.000, t3=0.001, total=0.002]
Counter[flat='69', number='21967567', date=null, t1=0.001, t2=0.001, t3=0.001, total=0.003]
Counter[flat='59', number='21968016', date=null, t1=0.064, t2=0.074, t3=0.082, total=0.220]
Counter[flat='29', number='21667085', date=null, t1=0.169, t2=0.161, t3=0.254, total=0.584]
Counter[flat='139', number='21967531', date=null, t1=0.192, t2=0.232, t3=0.258, total=0.682]
Counter[flat='100', number='21967497', date=null, t1=0.249, t2=0.286, t3=0.321, total=0.856]
Counter[flat='106', number='21967200', date=null, t1=0.865, t2=0.994, t3=1.118, total=2.977]
Counter[flat='97', number='21967959', date=null, t1=3.214, t2=0.001, t3=2.434, total=5.649]
Counter[flat='13', number='21967904', date=null, t1=3.521, t2=4.164, t3=4.490, total=12.175]
Counter[flat='50', number='21666901', date=null, t1=5.102, t2=6.972, t3=5.190, total=17.264]
Counter[flat='108', number='21968246', date=null, t1=4.015, t2=0.000, t3=15.024, total=19.039]
Counter[flat='83', number='21968203', date=null, t1=6.316, t2=7.064, t3=7.759, total=21.139]
Counter[flat='5', number='21712960', date=null, t1=6.492, t2=7.103, t3=8.329, total=21.924]
Counter[flat='65', number='21968139', date=null, t1=6.382, t2=7.314, t3=8.348, total=22.044]
Counter[flat='36', number='21712963', date=null, t1=6.835, t2=7.803, t3=8.860, total=23.498]
Counter[flat='87', number='21967753', date=null, t1=6.965, t2=7.754, t3=9.108, total=23.827]
Counter[flat='93', number='21967981', date=null, t1=7.216, t2=8.500, t3=9.321, total=25.037]
Counter[flat='102', number='21968242', date=null, t1=7.504, t2=9.508, t3=9.279, total=26.291]
Counter[flat='10', number='21967590', date=null, t1=7.758, t2=8.852, t3=10.043, total=26.653]
Counter[flat='28', number='21666499', date=null, t1=8.291, t2=8.372, t3=10.384, total=27.047]
Counter[flat='27', number='21666500', date=null, t1=8.203, t2=9.867, t3=10.589, total=28.659]
Counter[flat='24', number='21968031', date=null, t1=8.159, t2=9.561, t3=11.267, total=28.987]
Counter[flat='96', number='21968073', date=null, t1=8.543, t2=9.488, t3=11.034, total=29.065]
Counter[flat='23', number='21967854', date=null, t1=8.046, t2=10.542, t3=11.069, total=29.657]
Counter[flat='99', number='21968207', date=null, t1=8.596, t2=10.430, t3=11.427, total=30.453]
Counter[flat='84', number='21967477', date=null, t1=9.026, t2=10.446, t3=11.734, total=31.206]
Counter[flat='121', number='21971370', date=null, t1=9.221, t2=10.409, t3=11.718, total=31.348]
Counter[flat='124', number='21949405', date=null, t1=9.711, t2=10.633, t3=11.936, total=32.280]
Counter[flat='81', number='21967486', date=null, t1=9.478, t2=10.985, t3=12.281, total=32.744]
Counter[flat='105', number='21971386', date=null, t1=9.541, t2=11.411, t3=12.683, total=33.635]
Counter[flat='107', number='21971375', date=null, t1=9.869, t2=11.496, t3=12.966, total=34.331]
Counter[flat='135', number='21967542', date=null, t1=10.197, t2=11.692, t3=13.083, total=34.972]
Counter[flat='136', number='21967551', date=null, t1=10.366, t2=11.686, t3=12.949, total=35.001]
Counter[flat='122', number='21949370', date=null, t1=10.285, t2=12.008, t3=13.493, total=35.786]
Counter[flat='41', number='21666577', date=null, t1=10.961, t2=12.339, t3=14.062, total=37.362]
Counter[flat='16', number='21666895', date=null, t1=11.444, t2=13.098, t3=14.593, total=39.135]
Counter[flat='39', number='21666569', date=null, t1=11.375, t2=13.629, t3=14.590, total=39.594]
Counter[flat='75', number='21968458', date=null, t1=14.436, t2=9.121, t3=17.918, total=41.475]
Counter[flat='103', number='21971417', date=null, t1=12.946, t2=14.681, t3=16.674, total=44.301]
Counter[flat='47', number='21967923', date=null, t1=12.535, t2=15.180, t3=17.541, total=45.256]
Counter[flat='91', number='21968076', date=null, t1=14.131, t2=15.362, t3=18.078, total=47.571]
Counter[flat='15', number='21666510', date=null, t1=16.275, t2=9.409, t3=22.347, total=48.031]
Counter[flat='42', number='21666910', date=null, t1=13.895, t2=11.887, t3=25.601, total=51.383]
Counter[flat='56', number='21968075', date=null, t1=13.606, t2=13.924, t3=24.029, total=51.559]
Counter[flat='88', number='21967504', date=null, t1=20.995, t2=4.756, t3=26.573, total=52.324]
Counter[flat='90', number='21968383', date=null, t1=16.504, t2=15.873, t3=20.270, total=52.647]
Counter[flat='94', number='21967987', date=null, t1=18.771, t2=10.737, t3=24.452, total=53.960]
Counter[flat='17', number='21968056', date=null, t1=22.556, t2=10.394, t3=21.532, total=54.482]
Counter[flat='4', number='21967572', date=null, t1=16.830, t2=12.829, t3=28.724, total=58.383]
Counter[flat='110', number='21949389', date=null, t1=16.683, t2=18.327, t3=24.733, total=59.743]
