Counter[flat='Квартира №78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.014, total=0.014]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.165, t2=0.000, t3=0.259, total=0.424]
Counter[flat='Квартира №62', number='21971329', date=null, t1=0.369, t2=0.000, t3=0.090, total=0.459]
Counter[flat='Квартира №97', number='21967959', date=null, t1=0.965, t2=0.661, t3=0.834, total=2.460]
Counter[flat='Квартира №19', number='21967946', date=null, t1=2.990, t2=0.000, t3=1.466, total=4.456]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.068, t2=0.000, t3=11.873, total=14.941]
Counter[flat='Квартира №38', number='21666552', date=null, t1=6.713, t2=0.148, t3=11.987, total=18.848]
Counter[flat='Квартира №140', number='21967475', date=null, t1=6.593, t2=7.396, t3=9.994, total=23.983]
Counter[flat='Квартира №84', number='21967477', date=null, t1=10.644, t2=12.356, t3=13.772, total=36.772]
Counter[flat='Квартира №5', number='21712960', date=null, t1=10.600, t2=12.243, t3=14.705, total=37.548]
Counter[flat='Квартира №102', number='21968242', date=null, t1=12.705, t2=14.542, t3=16.321, total=43.568]
Counter[flat='Квартира №92', number='21967967', date=null, t1=11.087, t2=14.739, t3=17.966, total=43.792]
Counter[flat='Квартира №99', number='21968207', date=null, t1=10.793, t2=17.377, t3=16.787, total=44.957]
Counter[flat='Квартира №136', number='21967551', date=null, t1=15.639, t2=11.466, t3=21.132, total=48.237]
Counter[flat='Квартира №100', number='21967497', date=null, t1=16.305, t2=12.980, t3=21.049, total=50.334]
Counter[flat='Квартира №45', number='21666907', date=null, t1=9.758, t2=20.445, t3=21.617, total=51.820]
Counter[flat='Квартира №51', number='21666920', date=null, t1=20.965, t2=15.005, t3=20.291, total=56.261]
Counter[flat='Квартира №94', number='21967987', date=null, t1=23.571, t2=17.022, t3=22.825, total=63.418]
Counter[flat='Квартира №101', number='21967802', date=null, t1=26.353, t2=16.299, t3=27.029, total=69.681]
Counter[flat='Квартира №75', number='21968458', date=null, t1=21.601, t2=14.622, t3=34.226, total=70.449]
Counter[flat='Квартира №41', number='21666577', date=null, t1=27.147, t2=13.182, t3=34.015, total=74.344]
Counter[flat='Квартира №81', number='21967486', date=null, t1=20.195, t2=24.496, t3=32.615, total=77.306]
Counter[flat='Квартира №17', number='21968056', date=null, t1=27.006, t2=19.343, t3=33.338, total=79.687]
Counter[flat='Квартира №14', number='21967940', date=null, t1=30.226, t2=23.190, t3=27.255, total=80.671]
Counter[flat='Квартира №88', number='21967504', date=null, t1=21.120, t2=13.554, t3=48.178, total=82.852]
Counter[flat='Квартира №124', number='21949405', date=null, t1=25.534, t2=24.216, t3=33.909, total=83.659]
Counter[flat='Квартира №91', number='21968076', date=null, t1=25.278, t2=29.285, t3=29.258, total=83.821]
Counter[flat='Квартира №53', number='21666929', date=null, t1=26.296, t2=20.798, t3=37.660, total=84.754]
Counter[flat='Квартира №54', number='21666917', date=null, t1=24.102, t2=24.311, t3=36.895, total=85.308]
Counter[flat='Квартира №65', number='21968139', date=null, t1=27.927, t2=26.009, t3=34.202, total=88.138]
Counter[flat='Квартира №86', number='21967885', date=null, t1=32.044, t2=16.860, t3=39.663, total=88.567]
Counter[flat='Квартира №87', number='21967753', date=null, t1=29.165, t2=20.455, t3=39.006, total=88.626]
Counter[flat='Квартира №20', number='21968040', date=null, t1=33.848, t2=19.697, t3=36.053, total=89.598]
Counter[flat='Квартира №47', number='21967923', date=null, t1=25.817, t2=27.976, t3=36.757, total=90.550]
Counter[flat='Квартира №143', number='21967509', date=null, t1=28.125, t2=17.392, t3=45.402, total=90.919]
Counter[flat='Квартира №71', number='21967505', date=null, t1=24.717, t2=27.506, t3=42.794, total=95.017]
Counter[flat='Квартира №43', number='21712964', date=null, t1=18.664, t2=38.652, t3=38.206, total=95.522]
Counter[flat='Квартира №59', number='21968016', date=null, t1=41.840, t2=19.973, t3=33.918, total=95.731]
Counter[flat='Квартира №26', number='21666497', date=null, t1=32.353, t2=27.812, t3=35.950, total=96.115]
Counter[flat='Квартира №134', number='21967568', date=null, t1=29.473, t2=27.104, t3=40.150, total=96.727]
Counter[flat='Квартира №56', number='21968075', date=null, t1=29.557, t2=32.218, t3=40.438, total=102.213]
Counter[flat='Квартира №11', number='21949329', date=null, t1=21.319, t2=37.429, t3=43.902, total=102.650]
Counter[flat='Квартира №93', number='21967981', date=null, t1=24.706, t2=34.250, t3=44.322, total=103.278]
Counter[flat='Квартира №116', number='21968082', date=null, t1=30.065, t2=27.141, t3=46.413, total=103.619]
Counter[flat='Квартира №3', number='21967585', date=null, t1=40.096, t2=21.316, t3=46.785, total=108.197]
Counter[flat='Квартира №107', number='21971375', date=null, t1=29.493, t2=44.645, t3=34.938, total=109.076]
Counter[flat='Квартира №29', number='21667085', date=null, t1=38.109, t2=16.380, t3=54.941, total=109.430]
Counter[flat='Квартира №89', number='21967810', date=null, t1=38.057, t2=24.820, t3=46.783, total=109.660]
Counter[flat='Квартира №27', number='21666500', date=null, t1=38.212, t2=16.968, t3=54.890, total=110.070]
Counter[flat='Квартира №83', number='21968203', date=null, t1=31.744, t2=29.375, t3=49.557, total=110.676]
Counter[flat='Квартира №32', number='21712993', date=null, t1=37.764, t2=23.722, t3=50.423, total=111.909]
Counter[flat='Квартира №103', number='21971417', date=null, t1=42.196, t2=23.882, t3=49.300, total=115.378]
Counter[flat='Квартира №39', number='21666569', date=null, t1=47.071, t2=29.973, t3=39.320, total=116.364]
Counter[flat='Квартира №35', number='21948913', date=null, t1=17.015, t2=58.951, t3=41.042, total=117.008]
Counter[flat='Квартира №131', number='21968035', date=null, t1=29.112, t2=43.337, t3=47.379, total=119.828]
Counter[flat='Квартира №15', number='21666510', date=null, t1=40.549, t2=28.878, t3=53.378, total=122.805]
Counter[flat='Квартира №8', number='21967610', date=null, t1=41.704, t2=28.466, t3=54.574, total=124.744]
Counter[flat='Квартира №23', number='21967854', date=null, t1=47.165, t2=14.154, t3=64.428, total=125.747]
Counter[flat='Квартира №44', number='21967861', date=null, t1=37.403, t2=40.508, t3=49.058, total=126.969]
Counter[flat='Квартира №70', number='21967516', date=null, t1=31.688, t2=47.612, t3=47.838, total=127.138]
Counter[flat='Квартира №22', number='21968052', date=null, t1=53.524, t2=21.429, t3=52.356, total=127.309]
Counter[flat='Квартира №34', number='21712954', date=null, t1=56.369, t2=25.018, t3=50.921, total=132.308]
Counter[flat='Квартира №129', number='21967906', date=null, t1=49.256, t2=33.461, t3=51.065, total=133.782]
Counter[flat='Квартира №24', number='21968031', date=null, t1=50.074, t2=23.414, t3=61.031, total=134.519]
Counter[flat='Квартира №111', number='21949373', date=null, t1=38.273, t2=34.737, t3=64.290, total=137.300]
Counter[flat='Квартира №122', number='21949370', date=null, t1=47.516, t2=20.821, t3=69.094, total=137.431]
Counter[flat='Квартира №76', number='21968202', date=null, t1=37.408, t2=54.071, t3=46.052, total=137.531]
Counter[flat='Квартира №4', number='21967572', date=null, t1=36.339, t2=58.205, t3=44.547, total=139.091]
Counter[flat='Квартира №80', number='21967506', date=null, t1=42.974, t2=54.653, t3=44.162, total=141.789]
Counter[flat='Квартира №30', number='21667094', date=null, t1=48.696, t2=21.047, t3=76.623, total=146.366]
Counter[flat='Квартира №135', number='21967542', date=null, t1=45.724, t2=50.314, t3=52.799, total=148.837]
Counter[flat='Квартира №36', number='21712963', date=null, t1=45.939, t2=37.084, t3=67.696, total=150.719]
Counter[flat='Квартира №141', number='21967535', date=null, t1=44.098, t2=50.191, t3=60.114, total=154.403]
Counter[flat='Квартира №119', number='21967973', date=null, t1=56.612, t2=31.591, t3=67.166, total=155.369]
Counter[flat='Квартира №33', number='21948916', date=null, t1=50.877, t2=29.288, t3=79.906, total=160.071]
Counter[flat='Квартира №46', number='21967731', date=null, t1=43.722, t2=47.371, t3=69.098, total=160.191]
Counter[flat='Квартира №109', number='21949350', date=null, t1=53.654, t2=47.308, t3=59.703, total=160.665]
Counter[flat='Квартира №137', number='21967213', date=null, t1=52.164, t2=40.768, t3=68.396, total=161.328]
Counter[flat='Квартира №105', number='21971386', date=null, t1=63.668, t2=20.432, t3=78.741, total=162.841]
Counter[flat='Квартира №16', number='21666895', date=null, t1=53.850, t2=40.684, t3=68.886, total=163.420]
