Counter[flat='78', number='40628580', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='141', number='21967535', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.230, t2=0.000, t3=0.221, total=0.451]
Counter[flat='108', number='21968246', date=null, t1=0.902, t2=0.000, t3=4.930, total=5.832]
Counter[flat='47', number='21967923', date=null, t1=1.841, t2=2.083, t3=2.360, total=6.284]
Counter[flat='111', number='21949373', date=null, t1=1.470, t2=1.505, t3=3.683, total=6.658]
Counter[flat='122', number='21949370', date=null, t1=7.136, t2=2.311, t3=6.068, total=15.515]
Counter[flat='97', number='21967959', date=null, t1=3.005, t2=2.139, t3=10.815, total=15.959]
Counter[flat='62', number='21971329', date=null, t1=4.860, t2=0.000, t3=17.781, total=22.641]
Counter[flat='27', number='21666500', date=null, t1=11.149, t2=12.144, t3=13.298, total=36.591]
Counter[flat='101', number='21967802', date=null, t1=11.014, t2=11.759, t3=14.369, total=37.142]
Counter[flat='4', number='21967572', date=null, t1=11.296, t2=12.227, t3=15.527, total=39.050]
Counter[flat='48', number='21968079', date=null, t1=13.089, t2=11.991, t3=16.719, total=41.799]
Counter[flat='99', number='21968207', date=null, t1=12.727, t2=12.735, t3=17.875, total=43.337]
Counter[flat='37', number='21666539', date=null, t1=13.277, t2=14.398, t3=16.124, total=43.799]
Counter[flat='5', number='21712960', date=null, t1=14.162, t2=12.890, t3=17.499, total=44.551]
Counter[flat='102', number='21968242', date=null, t1=13.365, t2=15.205, t3=16.982, total=45.552]
Counter[flat='72', number='21967501', date=null, t1=13.690, t2=17.326, t3=17.480, total=48.496]
Counter[flat='119', number='21967973', date=null, t1=12.631, t2=16.849, t3=20.403, total=49.883]
Counter[flat='45', number='21666907', date=null, t1=11.614, t2=20.462, t3=21.015, total=53.091]
Counter[flat='20', number='21968040', date=null, t1=17.307, t2=16.960, t3=21.510, total=55.777]
Counter[flat='83', number='21968203', date=null, t1=16.396, t2=24.449, t3=17.116, total=57.961]
Counter[flat='76', number='21968202', date=null, t1=16.788, t2=18.604, t3=24.978, total=60.370]
Counter[flat='143', number='21967509', date=null, t1=18.047, t2=13.565, t3=29.799, total=61.411]
Counter[flat='14', number='21967940', date=null, t1=19.619, t2=16.208, t3=25.754, total=61.581]
Counter[flat='8', number='21967610', date=null, t1=18.865, t2=17.865, t3=24.981, total=61.711]
Counter[flat='65', number='21968139', date=null, t1=21.241, t2=17.152, t3=24.793, total=63.186]
Counter[flat='91', number='21968076', date=null, t1=20.103, t2=22.208, t3=21.870, total=64.181]
