Counter[flat='Квартира №78', number='40628580', date=null, t1=147.198, t2=57.255, t3=-9264.183, total=-9059.730]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.000, t2=0.000, t3=0.017, total=0.017]
Counter[flat='Квартира №28', number='21666499', date=null, t1=0.441, t2=0.000, t3=1.074, total=1.515]
Counter[flat='Квартира №97', number='21967959', date=null, t1=1.659, t2=0.000, t3=0.349, total=2.008]
Counter[flat='Квартира №100', number='21967497', date=null, t1=0.155, t2=0.579, t3=2.182, total=2.916]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.847, t2=0.992, t3=1.142, total=2.981]
Counter[flat='Квартира №11', number='21949329', date=null, t1=4.597, t2=5.347, t3=5.893, total=15.837]
Counter[flat='Квартира №5', number='21712960', date=null, t1=6.914, t2=7.712, t3=8.472, total=23.098]
Counter[flat='Квартира №36', number='21712963', date=null, t1=7.132, t2=8.395, t3=9.154, total=24.681]
Counter[flat='Квартира №27', number='21666500', date=null, t1=7.617, t2=8.669, t3=9.419, total=25.705]
Counter[flat='Квартира №84', number='21967477', date=null, t1=9.084, t2=10.078, t3=11.326, total=30.488]
Counter[flat='Квартира №20', number='21968040', date=null, t1=11.663, t2=9.327, t3=14.947, total=35.937]
Counter[flat='Квартира №102', number='21968242', date=null, t1=11.819, t2=13.766, t3=14.961, total=40.546]
Counter[flat='Квартира №40', number='21666557', date=null, t1=22.950, t2=10.000, t3=10.000, total=42.950]
Counter[flat='Квартира №88', number='21967504', date=null, t1=14.443, t2=7.237, t3=24.831, total=46.511]
Counter[flat='Квартира №135', number='21967542', date=null, t1=15.774, t2=14.655, t3=18.253, total=48.682]
Counter[flat='Квартира №45', number='21666907', date=null, t1=7.958, t2=18.080, t3=23.416, total=49.454]
Counter[flat='Квартира №94', number='21967987', date=null, t1=16.550, t2=13.966, t3=21.528, total=52.044]
Counter[flat='Квартира №99', number='21968207', date=null, t1=15.297, t2=17.981, t3=19.418, total=52.696]
Counter[flat='Квартира №17', number='21968056', date=null, t1=16.227, t2=12.704, t3=24.161, total=53.092]
Counter[flat='Квартира №62', number='21971329', date=null, t1=13.494, t2=17.888, t3=22.232, total=53.614]
Counter[flat='Квартира №41', number='21666577', date=null, t1=16.252, t2=12.207, t3=27.546, total=56.005]
Counter[flat='Квартира №65', number='21968139', date=null, t1=21.145, t2=14.524, t3=20.659, total=56.328]
Counter[flat='Квартира №101', number='21967802', date=null, t1=19.932, t2=13.036, t3=25.512, total=58.480]
Counter[flat='Квартира №56', number='21968075', date=null, t1=17.386, t2=18.848, t3=24.214, total=60.448]
Counter[flat='Квартира №21', number='21968025', date=null, t1=18.433, t2=13.841, t3=29.204, total=61.478]
Counter[flat='Квартира №29', number='21667085', date=null, t1=20.279, t2=13.605, t3=28.324, total=62.208]
Counter[flat='Квартира №81', number='21967486', date=null, t1=17.857, t2=19.701, t3=25.158, total=62.716]
Counter[flat='Квартира №93', number='21967981', date=null, t1=23.005, t2=16.798, t3=26.591, total=66.394]
Counter[flat='Квартира №91', number='21968076', date=null, t1=19.857, t2=26.045, t3=22.823, total=68.725]
Counter[flat='Квартира №121', number='21971370', date=null, t1=22.605, t2=15.073, t3=32.233, total=69.911]
Counter[flat='Квартира №43', number='21712964', date=null, t1=18.720, t2=22.865, t3=28.635, total=70.220]
Counter[flat='Квартира №75', number='21968458', date=null, t1=31.870, t2=15.856, t3=22.926, total=70.652]
Counter[flat='Квартира №30', number='21667094', date=null, t1=20.509, t2=12.729, t3=37.665, total=70.903]
Counter[flat='Квартира №108', number='21968246', date=null, t1=25.435, t2=0.000, t3=46.739, total=72.174]
Counter[flat='Квартира №44', number='21967861', date=null, t1=21.482, t2=19.045, t3=33.056, total=73.583]
Counter[flat='Квартира №59', number='21968016', date=null, t1=22.558, t2=20.002, t3=33.032, total=75.592]
Counter[flat='Квартира №35', number='21948913', date=null, t1=15.699, t2=36.026, t3=25.104, total=76.829]
Counter[flat='Квартира №24', number='21968031', date=null, t1=22.609, t2=26.591, t3=28.866, total=78.066]
Counter[flat='Квартира №87', number='21967753', date=null, t1=27.832, t2=16.551, t3=35.152, total=79.535]
Counter[flat='Квартира №119', number='21967973', date=null, t1=30.276, t2=19.966, t3=29.431, total=79.673]
Counter[flat='Квартира №67', number='21967528', date=null, t1=21.734, t2=24.798, t3=33.366, total=79.898]
Counter[flat='Квартира №124', number='21949405', date=null, t1=23.764, t2=20.729, t3=35.947, total=80.440]
Counter[flat='Квартира №122', number='21949370', date=null, t1=31.719, t2=14.569, t3=37.888, total=84.176]
Counter[flat='Квартира №89', number='21967810', date=null, t1=26.356, t2=22.982, t3=35.445, total=84.783]
Counter[flat='Квартира №71', number='21967505', date=null, t1=21.198, t2=16.034, t3=48.307, total=85.539]
Counter[flat='Квартира №83', number='21968203', date=null, t1=18.369, t2=26.549, t3=40.951, total=85.869]
Counter[flat='Квартира №16', number='21666895', date=null, t1=32.196, t2=19.539, t3=34.716, total=86.451]
Counter[flat='Квартира №38', number='21666552', date=null, t1=29.514, t2=27.188, t3=30.294, total=86.996]
Counter[flat='Квартира №23', number='21967854', date=null, t1=35.707, t2=13.166, t3=39.627, total=88.500]
Counter[flat='Квартира №143', number='21967509', date=null, t1=28.189, t2=24.514, t3=36.206, total=88.909]
Counter[flat='Квартира №32', number='21712993', date=null, t1=29.126, t2=18.662, t3=41.535, total=89.323]
Counter[flat='Квартира №3', number='21967585', date=null, t1=34.808, t2=18.749, t3=36.582, total=90.139]
Counter[flat='Квартира №51', number='21666920', date=null, t1=34.104, t2=18.183, t3=38.188, total=90.475]
Counter[flat='Квартира №47', number='21967923', date=null, t1=28.170, t2=26.003, t3=37.459, total=91.632]
Counter[flat='Квартира №86', number='21967885', date=null, t1=32.914, t2=16.938, t3=42.677, total=92.529]
Counter[flat='Квартира №105', number='21971386', date=null, t1=40.064, t2=12.713, t3=40.453, total=93.230]
Counter[flat='Квартира №22', number='21968052', date=null, t1=41.311, t2=14.776, t3=39.367, total=95.454]
Counter[flat='Квартира №131', number='21968035', date=null, t1=25.781, t2=26.562, t3=45.619, total=97.962]
Counter[flat='Квартира №103', number='21971417', date=null, t1=39.855, t2=21.284, t3=37.661, total=98.800]
Counter[flat='Квартира №116', number='21968082', date=null, t1=32.415, t2=21.596, t3=48.067, total=102.078]
Counter[flat='Квартира №80', number='21967506', date=null, t1=30.773, t2=26.508, t3=47.009, total=104.290]
Counter[flat='Квартира №15', number='21666510', date=null, t1=34.489, t2=24.477, t3=48.460, total=107.426]
Counter[flat='Квартира №26', number='21666497', date=null, t1=28.924, t2=29.359, t3=50.460, total=108.743]
Counter[flat='Квартира №129', number='21967906', date=null, t1=41.090, t2=28.299, t3=44.319, total=113.708]
Counter[flat='Квартира №134', number='21967568', date=null, t1=30.683, t2=31.519, t3=52.323, total=114.525]
Counter[flat='Квартира №14', number='21967940', date=null, t1=35.773, t2=37.922, t3=45.877, total=119.572]
