Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.004, total=0.004]
Counter[flat='Квартира №59', number='21968016', date=null, t1=0.024, t2=0.020, t3=0.033, total=0.077]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.125, t2=0.000, t3=0.000, total=0.125]
Counter[flat='Квартира №17', number='21968056', date=null, t1=0.000, t2=0.834, t3=0.011, total=0.845]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.475, t2=0.437, t3=0.505, total=1.417]
Counter[flat='Квартира №97', number='21967959', date=null, t1=0.820, t2=0.618, t3=1.667, total=3.105]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.404, t2=0.000, t3=6.688, total=10.092]
Counter[flat='Квартира №28', number='21666499', date=null, t1=4.540, t2=2.947, t3=4.366, total=11.853]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.290, t2=8.329, t3=9.389, total=25.008]
Counter[flat='Квартира №92', number='21967967', date=null, t1=11.491, t2=9.449, t3=13.532, total=34.472]
Counter[flat='Квартира №8', number='21967610', date=null, t1=10.135, t2=11.326, t3=13.606, total=35.067]
Counter[flat='Квартира №36', number='21712963', date=null, t1=10.400, t2=12.224, t3=13.296, total=35.920]
Counter[flat='Квартира №63', number='21968441', date=null, t1=10.783, t2=13.421, t3=14.107, total=38.311]
Counter[flat='Квартира №5', number='21712960', date=null, t1=11.049, t2=12.971, t3=14.485, total=38.505]
Counter[flat='Квартира №27', number='21666500', date=null, t1=12.833, t2=14.417, t3=16.304, total=43.554]
Counter[flat='Квартира №88', number='21967504', date=null, t1=13.912, t2=9.193, t3=21.057, total=44.162]
Counter[flat='Квартира №100', number='21967497', date=null, t1=13.298, t2=15.247, t3=16.879, total=45.424]
Counter[flat='Квартира №29', number='21667085', date=null, t1=13.642, t2=14.730, t3=17.430, total=45.802]
Counter[flat='Квартира №94', number='21967987', date=null, t1=12.647, t2=16.619, t3=17.106, total=46.372]
Counter[flat='Квартира №72', number='21967501', date=null, t1=13.988, t2=15.637, t3=16.961, total=46.586]
Counter[flat='Квартира №99', number='21968207', date=null, t1=13.748, t2=17.318, t3=18.646, total=49.712]
Counter[flat='Квартира №107', number='21971375', date=null, t1=14.703, t2=20.509, t3=19.282, total=54.494]
Counter[flat='Квартира №45', number='21666907', date=null, t1=13.366, t2=19.460, t3=24.307, total=57.133]
