Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='5', number='21712960', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.096, total=0.096]
Counter[flat='72', number='21967501', date=null, t1=0.072, t2=0.000, t3=0.191, total=0.263]
Counter[flat='68', number='21967522', date=null, t1=3.717, t2=9.811, t3=4.430, total=17.958]
Counter[flat='69', number='21967567', date=null, t1=9.103, t2=10.673, t3=11.409, total=31.185]
Counter[flat='27', number='21666500', date=null, t1=9.535, t2=11.282, t3=12.173, total=32.990]
Counter[flat='111', number='21949373', date=null, t1=11.419, t2=11.841, t3=14.152, total=37.412]
Counter[flat='135', number='21967542', date=null, t1=11.276, t2=12.844, t3=14.617, total=38.737]
Counter[flat='143', number='21967509', date=null, t1=11.810, t2=14.478, t3=15.604, total=41.892]
Counter[flat='30', number='21667094', date=null, t1=13.701, t2=13.961, t3=16.907, total=44.569]
Counter[flat='107', number='21971375', date=null, t1=13.290, t2=15.027, t3=16.996, total=45.313]
Counter[flat='48', number='21968079', date=null, t1=14.792, t2=14.399, t3=17.830, total=47.021]
Counter[flat='73', number='21967479', date=null, t1=13.285, t2=15.502, t3=18.423, total=47.210]
Counter[flat='65', number='21968139', date=null, t1=17.034, t2=16.866, t3=17.765, total=51.665]
Counter[flat='95', number='21967997', date=null, t1=18.654, t2=16.180, t3=17.817, total=52.651]
Counter[flat='91', number='21968076', date=null, t1=15.535, t2=16.572, t3=20.628, total=52.735]
Counter[flat='75', number='21968458', date=null, t1=23.742, t2=13.765, t3=17.242, total=54.749]
Counter[flat='74', number='21968454', date=null, t1=15.554, t2=18.966, t3=21.240, total=55.760]
Counter[flat='58', number='21967732', date=null, t1=16.869, t2=15.971, t3=23.574, total=56.414]
Counter[flat='8', number='21967610', date=null, t1=19.550, t2=16.124, t3=25.520, total=61.194]
Counter[flat='29', number='21667085', date=null, t1=19.430, t2=14.160, t3=28.009, total=61.599]
Counter[flat='81', number='21967486', date=null, t1=18.602, t2=20.258, t3=23.043, total=61.903]
Counter[flat='32', number='21712993', date=null, t1=20.536, t2=18.152, t3=24.144, total=62.832]
Counter[flat='22', number='21968052', date=null, t1=25.548, t2=15.396, t3=22.476, total=63.420]
Counter[flat='83', number='21968203', date=null, t1=18.856, t2=16.548, t3=31.267, total=66.671]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='70', number='21967516', date=null, t1=23.337, t2=24.734, t3=28.588, total=76.659]
Counter[flat='124', number='21949405', date=null, t1=30.150, t2=21.348, t3=29.666, total=81.164]
Counter[flat='24', number='21968031', date=null, t1=24.058, t2=27.994, t3=30.216, total=82.268]
Counter[flat='71', number='21967505', date=null, t1=19.536, t2=22.805, t3=41.312, total=83.653]
Counter[flat='90', number='21968383', date=null, t1=29.243, t2=24.587, t3=30.897, total=84.727]
Counter[flat='33', number='2025-14000033', date=null, t1=30.000, t2=20.000, t3=35.000, total=85.000]
Counter[flat='93', number='21967981', date=null, t1=30.940, t2=19.978, t3=35.388, total=86.306]
Counter[flat='60', number='21967979', date=null, t1=20.689, t2=23.792, t3=43.472, total=87.953]
Counter[flat='99', number='21968207', date=null, t1=28.683, t2=22.579, t3=37.518, total=88.780]
Counter[flat='88', number='21967504', date=null, t1=34.991, t2=11.013, t3=43.991, total=89.995]
Counter[flat='35', number='21948913', date=null, t1=21.547, t2=31.621, t3=37.316, total=90.484]
Counter[flat='59', number='21968016', date=null, t1=37.229, t2=19.020, t3=36.067, total=92.316]
Counter[flat='53', number='21666929', date=null, t1=35.849, t2=22.333, t3=34.841, total=93.023]
Counter[flat='2', number='21949330', date=null, t1=28.224, t2=29.867, t3=35.494, total=93.585]
Counter[flat='64', number='21968468', date=null, t1=34.544, t2=22.340, t3=38.021, total=94.905]
Counter[flat='89', number='2025-14000089', date=null, t1=35.000, t2=20.000, t3=40.000, total=95.000]
Counter[flat='26', number='21666497', date=null, t1=31.535, t2=30.495, t3=33.939, total=95.969]
Counter[flat='103', number='21971417', date=null, t1=33.784, t2=25.925, t3=36.706, total=96.415]
Counter[flat='119', number='21967973', date=null, t1=30.276, t2=17.305, t3=49.303, total=96.884]
Counter[flat='134', number='2025-14000134', date=null, t1=35.000, t2=20.000, t3=45.000, total=100.000]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='3', number='21967585', date=null, t1=36.188, t2=27.558, t3=38.497, total=102.243]
Counter[flat='15', number='21666510', date=null, t1=35.899, t2=25.405, t3=41.581, total=102.885]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='116', number='21968082', date=null, t1=31.000, t2=25.054, t3=48.960, total=105.014]
Counter[flat='113', number='21949380', date=null, t1=44.717, t2=21.473, t3=40.406, total=106.596]
Counter[flat='21', number='21968025', date=null, t1=30.896, t2=18.074, t3=61.996, total=110.966]
Counter[flat='140', number='21967475', date=null, t1=32.333, t2=35.956, t3=44.881, total=113.170]
Counter[flat='109', number='21949350', date=null, t1=28.849, t2=40.602, t3=44.804, total=114.255]
Counter[flat='129', number='21967906', date=null, t1=39.635, t2=28.557, t3=46.478, total=114.670]
Counter[flat='11', number='21949329', date=null, t1=0.000, t2=52.794, t3=62.745, total=115.539]
Counter[flat='43', number='21712964', date=null, t1=25.526, t2=52.145, t3=37.986, total=115.657]
Counter[flat='101', number='21967802', date=null, t1=47.363, t2=28.273, t3=40.512, total=116.148]
Counter[flat='122', number='21949370', date=null, t1=43.877, t2=27.803, t3=44.718, total=116.398]
Counter[flat='84', number='21967477', date=null, t1=29.290, t2=29.857, t3=57.922, total=117.069]
Counter[flat='41', number='21666577', date=null, t1=56.031, t2=22.142, t3=40.562, total=118.735]
Counter[flat='37', number='21666539', date=null, t1=35.430, t2=37.264, t3=51.465, total=124.159]
Counter[flat='28', number='21666499', date=null, t1=50.766, t2=21.597, t3=53.908, total=126.271]
Counter[flat='98', number='21967964', date=null, t1=42.272, t2=35.271, t3=56.433, total=133.976]
Counter[flat='20', number='21968040', date=null, t1=39.297, t2=46.976, t3=49.297, total=135.570]
Counter[flat='80', number='21967506', date=null, t1=46.062, t2=38.993, t3=53.476, total=138.531]
Counter[flat='110', number='21949389', date=null, t1=48.116, t2=20.577, t3=70.762, total=139.455]
Counter[flat='56', number='21968075', date=null, t1=46.952, t2=33.663, t3=60.439, total=141.054]
Counter[flat='92', number='21967967', date=null, t1=57.875, t2=32.827, t3=51.995, total=142.697]
Counter[flat='132', number='21967848', date=null, t1=47.616, t2=43.704, t3=51.601, total=142.921]
Counter[flat='130', number='21967952', date=null, t1=49.335, t2=33.446, t3=62.050, total=144.831]
Counter[flat='45', number='21666907', date=null, t1=80.000, t2=35.000, t3=30.000, total=145.000]
Counter[flat='131', number='21968035', date=null, t1=45.464, t2=44.116, t3=59.890, total=149.470]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='19', number='21967946', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='125', number='21949344', date=null, t1=61.185, t2=37.019, t3=53.327, total=151.531]
Counter[flat='38', number='21666552', date=null, t1=48.500, t2=25.462, t3=77.863, total=151.825]
Counter[flat='57', number='21967809', date=null, t1=43.416, t2=48.648, t3=59.808, total=151.872]
Counter[flat='115', number='21967511', date=null, t1=45.678, t2=31.968, t3=74.662, total=152.308]
Counter[flat='62', number='21971329', date=null, t1=51.244, t2=38.485, t3=66.795, total=156.524]
Counter[flat='121', number='21971370', date=null, t1=44.040, t2=46.914, t3=66.406, total=157.360]
Counter[flat='50', number='21666901', date=null, t1=43.942, t2=25.479, t3=89.826, total=159.247]
Counter[flat='23', number='21967854', date=null, t1=64.924, t2=18.444, t3=75.983, total=159.351]
Counter[flat='112', number='21971429', date=null, t1=50.176, t2=31.942, t3=79.933, total=162.051]
Counter[flat='123', number='21949395', date=null, t1=56.753, t2=42.579, t3=67.052, total=166.384]
Counter[flat='76', number='21968202', date=null, t1=55.338, t2=25.078, t3=87.098, total=167.514]
Counter[flat='42', number='21666910', date=null, t1=58.465, t2=44.474, t3=65.410, total=168.349]
Counter[flat='54', number='21666917', date=null, t1=80.694, t2=33.697, t3=57.689, total=172.080]
Counter[flat='63', number='21968441', date=null, t1=64.359, t2=34.052, t3=75.421, total=173.832]
Counter[flat='142', number='21968032', date=null, t1=53.860, t2=42.368, t3=77.659, total=173.887]
Counter[flat='102', number='21968242', date=null, t1=59.625, t2=60.213, t3=58.425, total=178.263]
Counter[flat='78', number='023240215710', date=null, t1=50.000, t2=30.000, t3=100.000, total=180.000]
Counter[flat='51', number='21666920', date=null, t1=69.844, t2=69.559, t3=41.882, total=181.285]
Counter[flat='114', number='21949338', date=null, t1=73.784, t2=36.133, t3=76.167, total=186.084]
Counter[flat='139', number='21967531', date=null, t1=70.689, t2=35.502, t3=84.909, total=191.100]
Counter[flat='137', number='21967213', date=null, t1=46.324, t2=72.172, t3=76.123, total=194.619]
Counter[flat='17', number='2025-14029488', date=null, t1=75.000, t2=45.000, t3=75.000, total=195.000]
Counter[flat='117', number='21967206', date=null, t1=61.662, t2=43.141, t3=94.568, total=199.371]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
Counter[flat='144', number='21968041', date=null, t1=60.371, t2=47.696, t3=94.854, total=202.921]
Counter[flat='61', number='21968453', date=null, t1=68.366, t2=45.104, t3=97.455, total=210.925]
