Counter[flat='40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.011, total=0.011]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.044, total=0.044]
Counter[flat='69', number='21967567', date=null, t1=0.066, t2=0.000, t3=0.064, total=0.130]
Counter[flat='139', number='21967531', date=null, t1=0.130, t2=0.000, t3=0.117, total=0.247]
Counter[flat='92', number='21967967', date=null, t1=0.421, t2=0.487, t3=0.245, total=1.153]
Counter[flat='30', number='21667094', date=null, t1=0.066, t2=0.000, t3=1.908, total=1.974]
Counter[flat='108', number='21968246', date=null, t1=0.188, t2=0.000, t3=2.218, total=2.406]
Counter[flat='59', number='21968016', date=null, t1=0.844, t2=1.555, t3=0.101, total=2.500]
Counter[flat='97', number='21967959', date=null, t1=4.930, t2=0.000, t3=14.202, total=19.132]
Counter[flat='99', number='21968207', date=null, t1=7.759, t2=8.416, t3=9.178, total=25.353]
Counter[flat='102', number='21968242', date=null, t1=8.072, t2=9.220, t3=10.368, total=27.660]
Counter[flat='28', number='21666499', date=null, t1=8.263, t2=9.449, t3=10.544, total=28.256]
Counter[flat='5', number='21712960', date=null, t1=8.986, t2=9.908, t3=11.685, total=30.579]
Counter[flat='11', number='21949329', date=null, t1=9.029, t2=10.235, t3=11.417, total=30.681]
Counter[flat='8', number='21967610', date=null, t1=9.241, t2=10.318, t3=12.012, total=31.571]
Counter[flat='94', number='21967987', date=null, t1=9.376, t2=9.650, t3=12.628, total=31.654]
Counter[flat='36', number='21712963', date=null, t1=9.782, t2=11.224, t3=12.505, total=33.511]
Counter[flat='136', number='21967551', date=null, t1=11.007, t2=13.035, t3=13.910, total=37.952]
Counter[flat='27', number='21666500', date=null, t1=12.046, t2=13.912, t3=15.552, total=41.510]
Counter[flat='84', number='21967477', date=null, t1=12.792, t2=14.643, t3=16.408, total=43.843]
Counter[flat='122', number='21949370', date=null, t1=24.643, t2=7.628, t3=12.906, total=45.177]
Counter[flat='88', number='21967504', date=null, t1=15.781, t2=5.897, t3=24.893, total=46.571]
Counter[flat='107', number='21971375', date=null, t1=13.131, t2=17.296, t3=16.728, total=47.155]
Counter[flat='81', number='21967486', date=null, t1=13.403, t2=15.608, t3=18.846, total=47.857]
Counter[flat='45', number='21666907', date=null, t1=9.300, t2=18.655, t3=21.614, total=49.569]
Counter[flat='100', number='21967497', date=null, t1=23.363, t2=6.005, t3=20.210, total=49.578]
Counter[flat='41', number='21666577', date=null, t1=19.705, t2=14.967, t3=19.800, total=54.472]
Counter[flat='17', number='21968056', date=null, t1=15.606, t2=17.164, t3=24.829, total=57.599]
Counter[flat='87', number='21967753', date=null, t1=20.695, t2=13.545, t3=25.437, total=59.677]
Counter[flat='65', number='21968139', date=null, t1=21.942, t2=17.702, t3=21.372, total=61.016]
Counter[flat='140', number='21967475', date=null, t1=18.447, t2=18.555, t3=25.954, total=62.956]
Counter[flat='121', number='21971370', date=null, t1=21.274, t2=18.745, t3=23.814, total=63.833]
Counter[flat='57', number='21967809', date=null, t1=21.671, t2=20.666, t3=22.889, total=65.226]
Counter[flat='73', number='21967479', date=null, t1=18.946, t2=22.359, t3=24.421, total=65.726]
Counter[flat='101', number='21967802', date=null, t1=20.194, t2=16.500, t3=30.164, total=66.858]
Counter[flat='135', number='21967542', date=null, t1=22.890, t2=22.426, t3=27.518, total=72.834]
Counter[flat='24', number='21968031', date=null, t1=17.543, t2=27.233, t3=28.312, total=73.088]
Counter[flat='75', number='21968458', date=null, t1=31.097, t2=15.669, t3=27.901, total=74.667]
Counter[flat='114', number='21949338', date=null, t1=21.072, t2=24.849, t3=30.152, total=76.073]
Counter[flat='103', number='21971417', date=null, t1=24.172, t2=23.132, t3=29.297, total=76.601]
Counter[flat='125', number='21949344', date=null, t1=26.912, t2=19.264, t3=30.681, total=76.857]
Counter[flat='56', number='21968075', date=null, t1=22.891, t2=23.427, t3=31.753, total=78.071]
Counter[flat='110', number='21949389', date=null, t1=23.532, t2=22.888, t3=31.794, total=78.214]
Counter[flat='105', number='21971386', date=null, t1=26.490, t2=19.216, t3=35.217, total=80.923]
Counter[flat='3', number='21967585', date=null, t1=27.687, t2=19.968, t3=34.151, total=81.806]
Counter[flat='70', number='21967516', date=null, t1=20.402, t2=27.006, t3=34.718, total=82.126]
Counter[flat='71', number='21967505', date=null, t1=26.574, t2=16.606, t3=38.953, total=82.133]
Counter[flat='91', number='21968076', date=null, t1=23.006, t2=32.033, t3=27.458, total=82.497]
Counter[flat='86', number='21967885', date=null, t1=32.033, t2=18.156, t3=32.900, total=83.089]
Counter[flat='20', number='21968040', date=null, t1=26.857, t2=22.027, t3=36.754, total=85.638]
Counter[flat='119', number='21967973', date=null, t1=28.823, t2=27.233, t3=30.414, total=86.470]
Counter[flat='93', number='21967981', date=null, t1=30.455, t2=21.618, t3=40.770, total=92.843]
Counter[flat='124', number='21949405', date=null, t1=29.461, t2=24.757, t3=38.823, total=93.041]
Counter[flat='83', number='21968203', date=null, t1=27.149, t2=21.084, t3=45.877, total=94.110]
Counter[flat='51', number='21666920', date=null, t1=35.676, t2=18.403, t3=41.239, total=95.318]
Counter[flat='23', number='21967854', date=null, t1=39.021, t2=13.400, t3=43.667, total=96.088]
Counter[flat='44', number='21967861', date=null, t1=32.766, t2=22.040, t3=41.795, total=96.601]
Counter[flat='67', number='21967528', date=null, t1=25.736, t2=35.430, t3=37.379, total=98.545]
Counter[flat='35', number='21948913', date=null, t1=21.965, t2=39.482, t3=39.541, total=100.988]
Counter[flat='29', number='21667085', date=null, t1=34.647, t2=18.220, t3=49.380, total=102.247]
Counter[flat='26', number='21666497', date=null, t1=31.017, t2=29.061, t3=42.234, total=102.312]
Counter[flat='80', number='21967506', date=null, t1=30.037, t2=33.939, t3=39.305, total=103.281]
Counter[flat='132', number='21967848', date=null, t1=30.307, t2=34.273, t3=39.753, total=104.333]
Counter[flat='33', number='21948916', date=null, t1=34.223, t2=19.738, t3=51.186, total=105.147]
Counter[flat='47', number='21967923', date=null, t1=31.931, t2=22.047, t3=51.798, total=105.776]
Counter[flat='42', number='21666910', date=null, t1=36.751, t2=19.200, t3=52.069, total=108.020]
Counter[flat='22', number='21968052', date=null, t1=44.473, t2=21.471, t3=43.888, total=109.832]
Counter[flat='9', number='21948896', date=null, t1=44.917, t2=27.483, t3=37.776, total=110.176]
Counter[flat='43', number='21712964', date=null, t1=22.000, t2=33.151, t3=55.716, total=110.867]
Counter[flat='38', number='21666552', date=null, t1=31.177, t2=36.411, t3=43.785, total=111.373]
Counter[flat='76', number='21968202', date=null, t1=28.840, t2=22.742, t3=62.499, total=114.081]
Counter[flat='130', number='21967952', date=null, t1=35.264, t2=27.306, t3=56.439, total=119.009]
Counter[flat='50', number='21666901', date=null, t1=39.501, t2=32.889, t3=48.667, total=121.057]
Counter[flat='109', number='21949350', date=null, t1=40.470, t2=40.352, t3=41.304, total=122.126]
Counter[flat='4', number='21967572', date=null, t1=34.153, t2=46.683, t3=44.529, total=125.365]
Counter[flat='89', number='21967810', date=null, t1=47.559, t2=33.216, t3=46.301, total=127.076]
Counter[flat='15', number='21666510', date=null, t1=36.608, t2=32.895, t3=61.503, total=131.006]
Counter[flat='62', number='21971329', date=null, t1=45.706, t2=23.744, t3=65.726, total=135.176]
Counter[flat='116', number='21968082', date=null, t1=43.083, t2=31.796, t3=62.003, total=136.882]
Counter[flat='10', number='21967590', date=null, t1=31.903, t2=46.962, t3=58.607, total=137.472]
Counter[flat='133', number='21967899', date=null, t1=48.721, t2=25.354, t3=65.008, total=139.083]
Counter[flat='77', number='21968450', date=null, t1=39.391, t2=46.957, t3=53.068, total=139.416]
Counter[flat='138', number='21967900', date=null, t1=61.084, t2=27.258, t3=52.100, total=140.442]
