Counter[flat='Квартира №30', number='21667094', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.001, t2=0.000, t3=0.009, total=0.010]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.012, total=0.012]
Counter[flat='Квартира №122', number='21949370', date=null, t1=0.036, t2=0.000, t3=0.178, total=0.214]
Counter[flat='Квартира №111', number='21949373', date=null, t1=0.501, t2=0.161, t3=3.118, total=3.780]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.189, t2=0.071, t3=10.016, total=13.276]
Counter[flat='Квартира №97', number='21967959', date=null, t1=6.706, t2=4.301, t3=5.969, total=16.976]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.674, t2=8.737, t3=9.851, total=26.262]
Counter[flat='Квартира №5', number='21712960', date=null, t1=9.185, t2=10.215, t3=11.717, total=31.117]
Counter[flat='Квартира №72', number='21967501', date=null, t1=10.001, t2=11.776, t3=13.713, total=35.490]
Counter[flat='Квартира №62', number='21971329', date=null, t1=9.410, t2=6.600, t3=20.939, total=36.949]
Counter[flat='Квартира №27', number='21666500', date=null, t1=11.006, t2=12.645, t3=13.859, total=37.510]
Counter[flat='Квартира №80', number='21967506', date=null, t1=13.825, t2=9.922, t3=14.020, total=37.767]
Counter[flat='Квартира №107', number='21971375', date=null, t1=13.198, t2=16.417, t3=16.398, total=46.013]
Counter[flat='Квартира №92', number='21967967', date=null, t1=13.167, t2=15.595, t3=20.786, total=49.548]
Counter[flat='Квартира №20', number='21968040', date=null, t1=14.592, t2=16.625, t3=18.914, total=50.131]
Counter[flat='Квартира №45', number='21666907', date=null, t1=13.213, t2=17.580, t3=19.372, total=50.165]
Counter[flat='Квартира №100', number='21967497', date=null, t1=12.219, t2=17.796, t3=21.207, total=51.222]
Counter[flat='Квартира №41', number='21666577', date=null, t1=17.119, t2=11.797, t3=26.640, total=55.556]
Counter[flat='Квартира №86', number='21967885', date=null, t1=17.884, t2=14.983, t3=25.734, total=58.601]
Counter[flat='Квартира №65', number='21968139', date=null, t1=20.514, t2=13.658, t3=25.381, total=59.553]
