Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='17', number='21968056', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='139', number='21967531', date=null, t1=0.001, t2=0.000, t3=0.000, total=0.001]
Counter[flat='30', number='21667094', date=null, t1=0.006, t2=0.000, t3=0.000, total=0.006]
Counter[flat='100', number='21967497', date=null, t1=0.017, t2=0.000, t3=0.000, total=0.017]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.209, total=0.209]
Counter[flat='111', number='21949373', date=null, t1=1.788, t2=2.113, t3=2.853, total=6.754]
Counter[flat='39', number='21666569', date=null, t1=3.036, t2=3.220, t3=3.749, total=10.005]
Counter[flat='143', number='21967509', date=null, t1=4.900, t2=2.998, t3=7.914, total=15.812]
Counter[flat='108', number='21968246', date=null, t1=2.770, t2=0.000, t3=18.303, total=21.073]
Counter[flat='102', number='21968242', date=null, t1=6.875, t2=7.817, t3=8.955, total=23.647]
Counter[flat='5', number='21712960', date=null, t1=10.727, t2=11.270, t3=14.124, total=36.121]
Counter[flat='69', number='21967567', date=null, t1=10.678, t2=12.665, t3=13.943, total=37.286]
Counter[flat='27', number='21666500', date=null, t1=12.050, t2=13.759, t3=15.890, total=41.699]
Counter[flat='58', number='21967732', date=null, t1=13.676, t2=15.381, t3=17.659, total=46.716]
Counter[flat='73', number='21967479', date=null, t1=14.907, t2=16.115, t3=20.630, total=51.652]
Counter[flat='41', number='21666577', date=null, t1=14.981, t2=15.621, t3=22.977, total=53.579]
Counter[flat='45', number='21666907', date=null, t1=17.462, t2=18.633, t3=21.217, total=57.312]
Counter[flat='75', number='21968458', date=null, t1=19.227, t2=15.049, t3=24.616, total=58.892]
Counter[flat='94', number='21967987', date=null, t1=16.428, t2=13.808, t3=29.530, total=59.766]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=15.000, t3=25.000, total=60.000]
Counter[flat='20', number='21968040', date=null, t1=17.635, t2=20.834, t3=25.820, total=64.289]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='107', number='21971375', date=null, t1=17.712, t2=23.763, t3=25.446, total=66.921]
Counter[flat='88', number='21967504', date=null, t1=23.949, t2=10.481, t3=35.979, total=70.409]
Counter[flat='68', number='21967522', date=null, t1=24.113, t2=20.829, t3=27.130, total=72.072]
Counter[flat='59', number='21968016', date=null, t1=25.719, t2=17.011, t3=29.953, total=72.683]
Counter[flat='121', number='21971370', date=null, t1=19.943, t2=26.444, t3=26.848, total=73.235]
Counter[flat='77', number='21968450', date=null, t1=18.594, t2=25.635, t3=35.085, total=79.314]
Counter[flat='116', number='21968082', date=null, t1=21.061, t2=27.635, t3=31.524, total=80.220]
Counter[flat='22', number='21968052', date=null, t1=32.784, t2=20.228, t3=28.921, total=81.933]
Counter[flat='64', number='21968468', date=null, t1=25.051, t2=25.493, t3=31.615, total=82.159]
Counter[flat='70', number='21967516', date=null, t1=19.391, t2=29.704, t3=34.315, total=83.410]
Counter[flat='83', number='21968203', date=null, t1=35.288, t2=15.036, t3=35.334, total=85.658]
Counter[flat='50', number='21666901', date=null, t1=26.170, t2=30.587, t3=30.961, total=87.718]
Counter[flat='135', number='21967542', date=null, t1=26.678, t2=22.634, t3=39.432, total=88.744]
Counter[flat='65', number='21968139', date=null, t1=32.055, t2=21.601, t3=37.816, total=91.472]
Counter[flat='3', number='21967585', date=null, t1=31.734, t2=23.523, t3=36.640, total=91.897]
Counter[flat='71', number='21967505', date=null, t1=24.778, t2=20.531, t3=46.770, total=92.079]
Counter[flat='91', number='21968076', date=null, t1=26.007, t2=29.229, t3=38.219, total=93.455]
Counter[flat='101', number='21967802', date=null, t1=33.741, t2=18.040, t3=43.704, total=95.485]
Counter[flat='10', number='21967590', date=null, t1=29.165, t2=32.925, t3=33.443, total=95.533]
Counter[flat='99', number='21968207', date=null, t1=28.390, t2=28.418, t3=38.964, total=95.772]
Counter[flat='43', number='21712964', date=null, t1=30.803, t2=30.634, t3=35.096, total=96.533]
Counter[flat='15', number='21666510', date=null, t1=33.212, t2=25.543, t3=39.744, total=98.499]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='113', number='21949380', date=null, t1=30.515, t2=34.531, t3=36.835, total=101.881]
Counter[flat='76', number='21968202', date=null, t1=30.185, t2=18.098, t3=54.009, total=102.292]
Counter[flat='24', number='21968031', date=null, t1=28.663, t2=29.914, t3=45.451, total=104.028]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='103', number='21971417', date=null, t1=41.435, t2=25.559, t3=38.881, total=105.875]
Counter[flat='35', number='21948913', date=null, t1=21.298, t2=49.231, t3=35.884, total=106.413]
Counter[flat='56', number='21968075', date=null, t1=29.003, t2=30.249, t3=47.311, total=106.563]
Counter[flat='119', number='21967973', date=null, t1=34.525, t2=34.045, t3=38.421, total=106.991]
Counter[flat='131', number='21968035', date=null, t1=29.644, t2=40.436, t3=37.551, total=107.631]
Counter[flat='29', number='21667085', date=null, t1=37.930, t2=35.219, t3=36.540, total=109.689]
Counter[flat='130', number='21967952', date=null, t1=35.764, t2=35.952, t3=38.270, total=109.986]
Counter[flat='92', number='21967967', date=null, t1=32.814, t2=31.655, t3=46.208, total=110.677]
Counter[flat='122', number='21949370', date=null, t1=30.440, t2=30.211, t3=51.993, total=112.644]
Counter[flat='110', number='21949389', date=null, t1=33.934, t2=26.514, t3=54.020, total=114.468]
Counter[flat='11', number='21949329', date=null, t1=30.682, t2=37.817, t3=47.212, total=115.711]
Counter[flat='53', number='21666929', date=null, t1=38.505, t2=26.465, t3=52.128, total=117.098]
Counter[flat='8', number='21967610', date=null, t1=32.854, t2=29.284, t3=55.980, total=118.118]
Counter[flat='26', number='21666497', date=null, t1=53.249, t2=21.622, t3=43.293, total=118.164]
Counter[flat='62', number='21971329', date=null, t1=52.107, t2=24.067, t3=43.610, total=119.784]
Counter[flat='84', number='21967477', date=null, t1=39.589, t2=29.763, t3=50.619, total=119.971]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='124', number='21949405', date=null, t1=37.539, t2=31.919, t3=54.281, total=123.739]
Counter[flat='93', number='21967981', date=null, t1=42.998, t2=22.733, t3=58.849, total=124.580]
