Counter[flat='0040', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0006', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0078', number='21971325', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0066', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0069', number='21967567', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0092', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0019', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.012, total=0.012]
Counter[flat='0139', number='21967531', date=null, t1=0.059, t2=0.068, t3=0.141, total=0.268]
Counter[flat='0059', number='21968016', date=null, t1=0.112, t2=0.089, t3=0.102, total=0.303]
Counter[flat='0100', number='21967497', date=null, t1=0.297, t2=0.333, t3=0.380, total=1.010]
Counter[flat='0061', number='21968453', date=null, t1=0.000, t2=0.000, t3=1.257, total=1.257]
Counter[flat='0106', number='21967200', date=null, t1=0.836, t2=0.959, t3=1.057, total=2.852]
Counter[flat='0030', number='21667094', date=null, t1=0.672, t2=0.048, t3=2.565, total=3.285]
Counter[flat='0029', number='21667085', date=null, t1=3.373, t2=2.171, t3=3.870, total=9.414]
Counter[flat='0108', number='21968246', date=null, t1=3.699, t2=0.000, t3=9.631, total=13.330]
Counter[flat='0013', number='21967904', date=null, t1=4.181, t2=4.703, t3=5.356, total=14.240]
Counter[flat='0122', number='21949370', date=null, t1=5.940, t2=4.012, t3=8.328, total=18.280]
Counter[flat='0008', number='21967610', date=null, t1=6.618, t2=7.813, t3=8.379, total=22.810]
Counter[flat='0028', number='21666499', date=null, t1=7.271, t2=8.212, t3=9.372, total=24.855]
Counter[flat='0102', number='21968242', date=null, t1=7.433, t2=8.357, t3=9.437, total=25.227]
Counter[flat='0023', number='21967854', date=null, t1=7.888, t2=10.822, t3=10.118, total=28.828]
Counter[flat='0036', number='21712963', date=null, t1=8.750, t2=9.778, t3=11.055, total=29.583]
Counter[flat='0005', number='21712960', date=null, t1=9.012, t2=9.364, t3=12.721, total=31.097]
Counter[flat='0065', number='21968139', date=null, t1=9.221, t2=10.642, t3=11.942, total=31.805]
Counter[flat='0094', number='21967987', date=null, t1=9.223, t2=8.875, t3=13.846, total=31.944]
Counter[flat='0136', number='21967551', date=null, t1=9.493, t2=10.896, t3=11.925, total=32.314]
Counter[flat='0010', number='21967590', date=null, t1=9.750, t2=10.666, t3=12.638, total=33.054]
Counter[flat='0096', number='21968073', date=null, t1=9.897, t2=11.294, t3=12.749, total=33.940]
Counter[flat='0024', number='21968031', date=null, t1=10.088, t2=11.454, t3=13.494, total=35.036]
Counter[flat='0027', number='21666500', date=null, t1=10.214, t2=11.767, t3=13.145, total=35.126]
Counter[flat='0099', number='21968207', date=null, t1=10.840, t2=12.345, t3=13.946, total=37.131]
Counter[flat='0041', number='21666577', date=null, t1=11.042, t2=12.233, t3=14.053, total=37.328]
Counter[flat='0084', number='21967477', date=null, t1=11.035, t2=12.138, t3=14.215, total=37.388]
Counter[flat='0121', number='21971370', date=null, t1=11.371, t2=12.698, t3=14.642, total=38.711]
Counter[flat='0081', number='21967486', date=null, t1=11.454, t2=12.627, t3=15.031, total=39.112]
Counter[flat='0105', number='21971386', date=null, t1=11.835, t2=13.549, t3=15.422, total=40.806]
Counter[flat='0017', number='21968056', date=null, t1=13.201, t2=10.504, t3=17.437, total=41.142]
Counter[flat='0107', number='21971375', date=null, t1=11.911, t2=14.229, t3=15.870, total=42.010]
