Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.001, total=0.001]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.008, t2=0.000, t3=0.065, total=0.073]
Counter[flat='Квартира №122', number='21949370', date=null, t1=0.004, t2=0.000, t3=0.278, total=0.282]
Counter[flat='Квартира №30', number='21667094', date=null, t1=0.441, t2=0.017, t3=1.127, total=1.585]
Counter[flat='Квартира №108', number='21968246', date=null, t1=0.801, t2=0.000, t3=2.540, total=3.341]
Counter[flat='Квартира №111', number='21949373', date=null, t1=1.783, t2=1.421, t3=2.611, total=5.815]
Counter[flat='Квартира №97', number='21967959', date=null, t1=4.796, t2=2.261, t3=6.274, total=13.331]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.446, t2=8.753, t3=9.277, total=25.476]
Counter[flat='Квартира №100', number='21967497', date=null, t1=8.107, t2=9.249, t3=10.245, total=27.601]
Counter[flat='Квартира №101', number='21967802', date=null, t1=8.389, t2=9.295, t3=10.525, total=28.209]
Counter[flat='Квартира №5', number='21712960', date=null, t1=8.661, t2=9.358, t3=11.039, total=29.058]
Counter[flat='Квартира №94', number='21967987', date=null, t1=10.364, t2=9.365, t3=11.244, total=30.973]
Counter[flat='Квартира №84', number='21967477', date=null, t1=9.688, t2=11.132, t3=12.436, total=33.256]
Counter[flat='Квартира №27', number='21666500', date=null, t1=9.949, t2=11.895, t3=13.242, total=35.086]
Counter[flat='Квартира №80', number='21967506', date=null, t1=9.706, t2=11.957, t3=14.184, total=35.847]
Counter[flat='Квартира №92', number='21967967', date=null, t1=10.584, t2=12.290, t3=14.254, total=37.128]
Counter[flat='Квартира №107', number='21971375', date=null, t1=11.493, t2=12.947, t3=14.924, total=39.364]
Counter[flat='Квартира №72', number='21967501', date=null, t1=9.367, t2=14.990, t3=15.017, total=39.374]
Counter[flat='Квартира №20', number='21968040', date=null, t1=12.800, t2=13.288, t3=15.587, total=41.675]
Counter[flat='Квартира №45', number='21666907', date=null, t1=13.271, t2=15.508, t3=19.796, total=48.575]
Counter[flat='Квартира №38', number='21666552', date=null, t1=15.461, t2=12.543, t3=20.902, total=48.906]
