Counter[flat='30', number='21667094', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='89', number='21967810', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='141', number='21967535', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='87', number='21967753', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='46', number='21967731', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='134', number='21967568', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='136', number='21967551', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.005, t2=0.000, t3=0.006, total=0.011]
Counter[flat='62', number='21971329', date=null, t1=0.735, t2=0.271, t3=2.784, total=3.790]
Counter[flat='102', number='21968242', date=null, t1=7.798, t2=9.112, t3=9.718, total=26.628]
Counter[flat='101', number='21967802', date=null, t1=8.029, t2=9.410, t3=10.375, total=27.814]
Counter[flat='58', number='21967732', date=null, t1=9.344, t2=11.042, t3=12.144, total=32.530]
Counter[flat='5', number='21712960', date=null, t1=9.562, t2=10.349, t3=13.711, total=33.622]
Counter[flat='8', number='21967610', date=null, t1=9.796, t2=10.643, t3=13.188, total=33.627]
Counter[flat='97', number='21967959', date=null, t1=12.723, t2=8.279, t3=12.859, total=33.861]
Counter[flat='19', number='21967946', date=null, t1=13.935, t2=5.542, t3=14.663, total=34.140]
Counter[flat='72', number='21967501', date=null, t1=9.772, t2=11.528, t3=12.914, total=34.214]
Counter[flat='69', number='21967567', date=null, t1=9.651, t2=12.325, t3=12.630, total=34.606]
