Counter[flat='0040', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0078', number='21971325', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0066', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0069', number='21967567', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0092', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0019', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='0006', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.001, total=0.001]
Counter[flat='0139', number='21967531', date=null, t1=0.107, t2=0.000, t3=0.000, total=0.107]
Counter[flat='0030', number='21667094', date=null, t1=0.049, t2=0.059, t3=0.066, total=0.174]
Counter[flat='0059', number='21968016', date=null, t1=0.087, t2=0.099, t3=0.110, total=0.296]
Counter[flat='0100', number='21967497', date=null, t1=0.332, t2=0.380, t3=0.429, total=1.141]
Counter[flat='0106', number='21967200', date=null, t1=1.152, t2=1.333, t3=1.498, total=3.983]
Counter[flat='0029', number='21667085', date=null, t1=2.055, t2=2.301, t3=2.692, total=7.048]
Counter[flat='0061', number='21968453', date=null, t1=4.250, t2=3.249, t3=5.063, total=12.562]
Counter[flat='0013', number='21967904', date=null, t1=4.684, t2=5.328, t3=7.285, total=17.297]
Counter[flat='0097', number='21967959', date=null, t1=9.013, t2=0.000, t3=17.296, total=26.309]
Counter[flat='0005', number='21712960', date=null, t1=8.517, t2=9.628, t3=10.757, total=28.902]
Counter[flat='0028', number='21666499', date=null, t1=8.445, t2=9.722, t3=10.970, total=29.137]
Counter[flat='0102', number='21968242', date=null, t1=8.485, t2=10.030, t3=10.754, total=29.269]
Counter[flat='0065', number='21968139', date=null, t1=8.613, t2=10.121, t3=11.857, total=30.591]
Counter[flat='0042', number='21666910', date=null, t1=8.798, t2=10.451, t3=11.740, total=30.989]
Counter[flat='0087', number='21967753', date=null, t1=8.877, t2=10.073, t3=12.315, total=31.265]
Counter[flat='0108', number='21968246', date=null, t1=9.300, t2=0.000, t3=23.073, total=32.373]
Counter[flat='0036', number='21712963', date=null, t1=9.819, t2=10.621, t3=12.421, total=32.861]
Counter[flat='0093', number='21967981', date=null, t1=9.784, t2=11.195, t3=11.983, total=32.962]
Counter[flat='0023', number='21967854', date=null, t1=9.397, t2=12.372, t3=11.658, total=33.427]
Counter[flat='0041', number='21666577', date=null, t1=10.117, t2=11.770, t3=13.377, total=35.264]
Counter[flat='0010', number='21967590', date=null, t1=10.343, t2=12.021, t3=13.159, total=35.523]
Counter[flat='0096', number='21968073', date=null, t1=10.953, t2=12.495, t3=13.868, total=37.316]
Counter[flat='0024', number='21968031', date=null, t1=10.960, t2=12.706, t3=14.346, total=38.012]
Counter[flat='0027', number='21666500', date=null, t1=11.329, t2=12.557, t3=14.483, total=38.369]
Counter[flat='0084', number='21967477', date=null, t1=10.895, t2=13.092, t3=14.621, total=38.608]
Counter[flat='0020', number='21968040', date=null, t1=11.367, t2=13.033, t3=14.885, total=39.285]
Counter[flat='0099', number='21968207', date=null, t1=11.352, t2=13.463, t3=15.099, total=39.914]
Counter[flat='0122', number='21949370', date=null, t1=12.077, t2=13.543, t3=15.386, total=41.006]
Counter[flat='0121', number='21971370', date=null, t1=12.077, t2=13.681, t3=16.043, total=41.801]
Counter[flat='0081', number='21967486', date=null, t1=12.292, t2=14.342, t3=15.845, total=42.479]
Counter[flat='0135', number='21967542', date=null, t1=12.806, t2=14.715, t3=16.585, total=44.106]
Counter[flat='0105', number='21971386', date=null, t1=13.223, t2=14.760, t3=16.489, total=44.472]
Counter[flat='0124', number='21949405', date=null, t1=13.596, t2=14.960, t3=18.241, total=46.797]
Counter[flat='0133', number='21967899', date=null, t1=15.158, t2=14.528, t3=21.826, total=51.512]
Counter[flat='0140', number='21967475', date=null, t1=14.752, t2=17.092, t3=20.064, total=51.908]
Counter[flat='0016', number='21666895', date=null, t1=15.192, t2=17.456, t3=19.673, total=52.321]
Counter[flat='0107', number='21971375', date=null, t1=16.789, t2=22.406, t3=20.252, total=59.447]
Counter[flat='0103', number='21971417', date=null, t1=18.276, t2=20.568, t3=24.417, total=63.261]
Counter[flat='0075', number='21968458', date=null, t1=24.967, t2=10.549, t3=28.654, total=64.170]
Counter[flat='0088', number='21967504', date=null, t1=29.139, t2=6.467, t3=33.075, total=68.681]
Counter[flat='0136', number='21967551', date=null, t1=19.229, t2=24.583, t3=26.573, total=70.385]
Counter[flat='0090', number='21968383', date=null, t1=19.947, t2=23.808, t3=26.933, total=70.688]
Counter[flat='0119', number='21967973', date=null, t1=22.705, t2=17.265, t3=32.289, total=72.259]
Counter[flat='0047', number='21967923', date=null, t1=18.842, t2=21.980, t3=31.694, total=72.516]
Counter[flat='0110', number='21949389', date=null, t1=18.952, t2=24.063, t3=29.862, total=72.877]
Counter[flat='0045', number='21666907', date=null, t1=17.449, t2=22.586, t3=33.203, total=73.238]
Counter[flat='0094', number='21967987', date=null, t1=25.453, t2=14.297, t3=33.635, total=73.385]
Counter[flat='0003', number='21967585', date=null, t1=24.851, t2=18.003, t3=32.052, total=74.906]
Counter[flat='0056', number='21968075', date=null, t1=21.025, t2=21.239, t3=32.785, total=75.049]
Counter[flat='0118', number='21971416', date=null, t1=21.185, t2=23.891, t3=30.551, total=75.627]
Counter[flat='0091', number='21968076', date=null, t1=21.671, t2=27.571, t3=26.878, total=76.120]
Counter[flat='0017', number='21968056', date=null, t1=23.717, t2=19.743, t3=35.001, total=78.461]
Counter[flat='0044', number='21967861', date=null, t1=22.330, t2=21.334, t3=35.028, total=78.692]
Counter[flat='0089', number='21967810', date=null, t1=25.468, t2=19.513, t3=41.573, total=86.554]
Counter[flat='0039', number='21666569', date=null, t1=31.720, t2=13.835, t3=44.433, total=89.988]
Counter[flat='0086', number='21967885', date=null, t1=27.951, t2=19.243, t3=43.448, total=90.642]
Counter[flat='0130', number='21967952', date=null, t1=34.625, t2=20.130, t3=41.751, total=96.506]
Counter[flat='0043', number='21712964', date=null, t1=22.929, t2=29.657, t3=47.796, total=100.382]
Counter[flat='0067', number='21967528', date=null, t1=24.677, t2=39.669, t3=41.302, total=105.648]
Counter[flat='0035', number='21948913', date=null, t1=19.050, t2=59.275, t3=30.712, total=109.037]
Counter[flat='0132', number='21967848', date=null, t1=31.956, t2=36.752, t3=41.262, total=109.970]
Counter[flat='0070', number='21967516', date=null, t1=30.708, t2=36.283, t3=43.739, total=110.730]
Counter[flat='0058', number='21967732', date=null, t1=32.024, t2=29.655, t3=49.594, total=111.273]
Counter[flat='0051', number='21666920', date=null, t1=40.029, t2=18.185, t3=59.414, total=117.628]
Counter[flat='0131', number='21968035', date=null, t1=31.446, t2=27.839, t3=58.660, total=117.945]
Counter[flat='0021', number='21968025', date=null, t1=37.968, t2=20.561, t3=60.008, total=118.537]
Counter[flat='0014', number='21967940', date=null, t1=44.894, t2=18.413, t3=55.987, total=119.294]
Counter[flat='0143', number='21967509', date=null, t1=35.803, t2=29.113, t3=56.862, total=121.778]
Counter[flat='0004', number='21967572', date=null, t1=33.043, t2=40.311, t3=49.324, total=122.678]
Counter[flat='0080', number='21967506', date=null, t1=38.795, t2=30.198, t3=53.942, total=122.935]
Counter[flat='0033', number='21948916', date=null, t1=43.899, t2=22.765, t3=57.394, total=124.058]
Counter[flat='0011', number='21949329', date=null, t1=54.254, t2=21.255, t3=54.282, total=129.791]
Counter[flat='0015', number='21666510', date=null, t1=45.862, t2=27.557, t3=56.838, total=130.257]
Counter[flat='0062', number='21971329', date=null, t1=48.787, t2=14.381, t3=72.840, total=136.008]
Counter[flat='0083', number='21968203', date=null, t1=38.563, t2=27.420, t3=71.198, total=137.181]
Counter[flat='0101', number='21967802', date=null, t1=55.901, t2=16.313, t3=67.470, total=139.684]
Counter[flat='0026', number='21666497', date=null, t1=41.503, t2=34.753, t3=68.169, total=144.425]
Counter[flat='0008', number='21967610', date=null, t1=52.565, t2=25.407, t3=67.070, total=145.042]
Counter[flat='0137', number='21967213', date=null, t1=40.718, t2=50.295, t3=54.704, total=145.717]
Counter[flat='0071', number='21967505', date=null, t1=52.242, t2=22.050, t3=73.711, total=148.003]
Counter[flat='0038', number='21666552', date=null, t1=40.721, t2=49.433, t3=58.904, total=149.058]
Counter[flat='0134', number='21967568', date=null, t1=39.065, t2=47.916, t3=64.660, total=151.641]
Counter[flat='0053', number='21666929', date=null, t1=41.556, t2=58.752, t3=57.609, total=157.917]
Counter[flat='0022', number='21968052', date=null, t1=67.509, t2=21.611, t3=68.961, total=158.081]
Counter[flat='0129', number='21967906', date=null, t1=53.474, t2=29.019, t3=78.272, total=160.765]
Counter[flat='0079', number='21967555', date=null, t1=50.122, t2=34.020, t3=77.790, total=161.932]
Counter[flat='0141', number='21967535', date=null, t1=40.576, t2=46.362, t3=75.559, total=162.497]
Counter[flat='0109', number='21949350', date=null, t1=50.158, t2=53.193, t3=67.959, total=171.310]
Counter[flat='0063', number='21968441', date=null, t1=45.329, t2=30.845, t3=96.610, total=172.784]
Counter[flat='0032', number='21712993', date=null, t1=58.861, t2=33.972, t3=91.385, total=184.218]
Counter[flat='0002', number='21949330', date=null, t1=52.314, t2=45.140, t3=90.222, total=187.676]
Counter[flat='0018', number='21967958', date=null, t1=52.183, t2=48.569, t3=87.055, total=187.807]
Counter[flat='0007', number='21712970', date=null, t1=56.342, t2=61.331, t3=72.683, total=190.356]
Counter[flat='0068', number='21967522', date=null, t1=49.741, t2=52.130, t3=89.130, total=191.001]
Counter[flat='0074', number='21968454', date=null, t1=64.255, t2=61.020, t3=69.392, total=194.667]
Counter[flat='0111', number='21949373', date=null, t1=57.440, t2=46.916, t3=93.573, total=197.929]
Counter[flat='0034', number='21712954', date=null, t1=64.990, t2=48.527, t3=87.343, total=200.860]
Counter[flat='0104', number='21971388', date=null, t1=78.905, t2=23.928, t3=98.208, total=201.041]
Counter[flat='0116', number='21968082', date=null, t1=59.805, t2=54.374, t3=86.986, total=201.165]
Counter[flat='0073', number='21967479', date=null, t1=52.489, t2=76.546, t3=75.126, total=204.161]
Counter[flat='0098', number='21967964', date=null, t1=64.794, t2=36.892, t3=104.461, total=206.147]
Counter[flat='0128', number='21968471', date=null, t1=60.498, t2=62.832, t3=82.892, total=206.222]
Counter[flat='0046', number='21967731', date=null, t1=77.705, t2=38.244, t3=92.067, total=208.016]
Counter[flat='0142', number='21968032', date=null, t1=60.708, t2=51.425, t3=96.969, total=209.102]
Counter[flat='0076', number='21968202', date=null, t1=67.125, t2=73.134, t3=84.221, total=224.480]
Counter[flat='0064', number='21968468', date=null, t1=62.107, t2=60.457, t3=101.920, total=224.484]
Counter[flat='0138', number='21967900', date=null, t1=64.978, t2=45.121, t3=121.647, total=231.746]
Counter[flat='0050', number='21666901', date=null, t1=57.445, t2=103.639, t3=80.561, total=241.645]
Counter[flat='0095', number='21967997', date=null, t1=82.864, t2=34.716, t3=128.792, total=246.372]
Counter[flat='0125', number='21949344', date=null, t1=76.309, t2=64.799, t3=106.878, total=247.986]
Counter[flat='0117', number='21967206', date=null, t1=65.575, t2=69.999, t3=112.655, total=248.229]
Counter[flat='0123', number='21949395', date=null, t1=61.567, t2=82.362, t3=105.061, total=248.990]
Counter[flat='0077', number='21968450', date=null, t1=70.409, t2=90.471, t3=90.561, total=251.441]
Counter[flat='0057', number='21967809', date=null, t1=72.091, t2=77.925, t3=104.521, total=254.537]
Counter[flat='0144', number='21968041', date=null, t1=73.211, t2=46.800, t3=135.261, total=255.272]
Counter[flat='0048', number='21968079', date=null, t1=99.506, t2=28.761, t3=131.071, total=259.338]
Counter[flat='0072', number='21967501', date=null, t1=68.669, t2=102.816, t3=93.140, total=264.625]
Counter[flat='0120', number='21967526', date=null, t1=71.633, t2=69.501, t3=124.257, total=265.391]
Counter[flat='0113', number='21949380', date=null, t1=82.739, t2=87.741, t3=99.134, total=269.614]
Counter[flat='0112', number='21971429', date=null, t1=82.031, t2=47.315, t3=145.781, total=275.127]
Counter[flat='0114', number='21949338', date=null, t1=113.582, t2=43.692, t3=119.108, total=276.382]
Counter[flat='0054', number='21666917', date=null, t1=105.175, t2=78.721, t3=104.316, total=288.212]
Counter[flat='0115', number='21967511', date=null, t1=96.552, t2=67.219, t3=131.889, total=295.660]
Counter[flat='0052', number='21666543', date=null, t1=106.331, t2=82.523, t3=109.102, total=297.956]
Counter[flat='0082', number='21967513', date=null, t1=103.595, t2=41.460, t3=162.423, total=307.478]
Counter[flat='0055', number='21967879', date=null, t1=88.625, t2=80.110, t3=148.305, total=317.040]
Counter[flat='0009', number='21948896', date=null, t1=93.201, t2=74.940, t3=152.819, total=320.960]
Counter[flat='0012', number='21948923', date=null, t1=87.445, t2=116.078, t3=132.422, total=335.945]
Counter[flat='0126', number='21949403', date=null, t1=152.859, t2=96.025, t3=205.131, total=454.015]
Counter[flat='0049', number='21666570', date=null, t1=141.244, t2=120.277, t3=193.537, total=455.058]
Counter[flat='0025', number='21667083', date=null, t1=205.400, t2=129.246, t3=299.989, total=634.635]
Counter[flat='0085', number='21967450', date=null, t1=227.611, t2=153.410, t3=263.314, total=644.335]
Counter[flat='0031', number='21712977', date=null, t1=210.258, t2=144.771, t3=323.338, total=678.367]
Counter[flat='0001', number='21666896', date=null, t1=248.903, t2=168.882, t3=397.170, total=814.955]
Counter[flat='0037', number='21666539', date=null, t1=233.420, t2=253.897, t3=368.475, total=855.792]
Counter[flat='0060', number='21967979', date=null, t1=329.778, t2=252.698, t3=405.930, total=988.406]
Counter[flat='0127', number='21967896', date=null, t1=328.870, t2=369.284, t3=465.628, total=1163.782]
