Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.025, total=0.025]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.130, t2=0.000, t3=0.018, total=0.148]
Counter[flat='Квартира №97', number='21967959', date=null, t1=0.958, t2=1.013, t3=1.927, total=3.898]
Counter[flat='Квартира №140', number='21967475', date=null, t1=5.372, t2=6.383, t3=9.280, total=21.035]
Counter[flat='Квартира №94', number='21967987', date=null, t1=10.176, t2=9.539, t3=11.025, total=30.740]
Counter[flat='Квартира №101', number='21967802', date=null, t1=9.729, t2=11.026, t3=12.321, total=33.076]
Counter[flat='Квартира №100', number='21967497', date=null, t1=9.989, t2=10.817, t3=12.527, total=33.333]
Counter[flat='Квартира №5', number='21712960', date=null, t1=11.466, t2=12.457, t3=15.781, total=39.704]
Counter[flat='Квартира №72', number='21967501', date=null, t1=11.741, t2=13.554, t3=15.290, total=40.585]
Counter[flat='Квартира №102', number='21968242', date=null, t1=12.110, t2=14.721, t3=15.354, total=42.185]
Counter[flat='Квартира №84', number='21967477', date=null, t1=12.448, t2=14.375, t3=16.510, total=43.333]
Counter[flat='Квартира №81', number='21967486', date=null, t1=13.069, t2=14.884, t3=16.707, total=44.660]
Counter[flat='Квартира №92', number='21967967', date=null, t1=13.363, t2=14.248, t3=17.681, total=45.292]
Counter[flat='Квартира №108', number='21968246', date=null, t1=12.871, t2=0.000, t3=42.015, total=54.886]
Counter[flat='Квартира №45', number='21666907', date=null, t1=16.117, t2=18.400, t3=23.063, total=57.580]
Counter[flat='Квартира №86', number='21967885', date=null, t1=20.153, t2=15.173, t3=24.207, total=59.533]
Counter[flat='Квартира №65', number='21968139', date=null, t1=22.524, t2=14.990, t3=23.379, total=60.893]
Counter[flat='Квартира №30', number='21667094', date=null, t1=20.888, t2=10.849, t3=29.979, total=61.716]
Counter[flat='Квартира №38', number='21666552', date=null, t1=21.797, t2=20.377, t3=22.888, total=65.062]
Counter[flat='Квартира №14', number='21967940', date=null, t1=21.350, t2=19.245, t3=26.814, total=67.409]
Counter[flat='Квартира №93', number='21967981', date=null, t1=24.026, t2=16.777, t3=26.999, total=67.802]
Counter[flat='Квартира №47', number='21967923', date=null, t1=21.811, t2=22.398, t3=24.195, total=68.404]
Counter[flat='Квартира №75', number='21968458', date=null, t1=22.360, t2=15.042, t3=31.285, total=68.687]
Counter[flat='Квартира №71', number='21967505', date=null, t1=19.317, t2=22.480, t3=31.530, total=73.327]
Counter[flat='Квартира №41', number='21666577', date=null, t1=24.766, t2=13.042, t3=35.622, total=73.430]
Counter[flat='Квартира №17', number='21968056', date=null, t1=27.085, t2=16.183, t3=32.478, total=75.746]
Counter[flat='Квартира №91', number='21968076', date=null, t1=22.891, t2=28.602, t3=25.398, total=76.891]
Counter[flat='Квартира №88', number='21967504', date=null, t1=24.201, t2=10.428, t3=42.273, total=76.902]
Counter[flat='Квартира №99', number='21968207', date=null, t1=24.849, t2=19.202, t3=34.216, total=78.267]
Counter[flat='Квартира №135', number='21967542', date=null, t1=21.403, t2=25.748, t3=31.373, total=78.524]
Counter[flat='Квартира №53', number='21666929', date=null, t1=21.903, t2=22.572, t3=35.138, total=79.613]
Counter[flat='Квартира №27', number='21666500', date=null, t1=28.049, t2=14.593, t3=37.888, total=80.530]
Counter[flat='Квартира №20', number='21968040', date=null, t1=27.859, t2=19.426, t3=33.884, total=81.169]
Counter[flat='Квартира №111', number='21949373', date=null, t1=21.039, t2=18.325, t3=42.690, total=82.054]
Counter[flat='Квартира №62', number='21971329', date=null, t1=31.730, t2=20.844, t3=32.808, total=85.382]
Counter[flat='Квартира №11', number='21949329', date=null, t1=15.928, t2=28.156, t3=41.680, total=85.764]
Counter[flat='Квартира №43', number='21712964', date=null, t1=25.041, t2=29.894, t3=31.754, total=86.689]
Counter[flat='Квартира №143', number='21967509', date=null, t1=25.223, t2=16.394, t3=45.415, total=87.032]
Counter[flat='Квартира №83', number='21968203', date=null, t1=31.083, t2=23.622, t3=33.683, total=88.388]
Counter[flat='Квартира №103', number='21971417', date=null, t1=29.801, t2=22.108, t3=36.862, total=88.771]
Counter[flat='Квартира №25', number='21667083', date=null, t1=26.678, t2=29.546, t3=33.030, total=89.254]
Counter[flat='Квартира №16', number='21666895', date=null, t1=33.357, t2=22.946, t3=33.972, total=90.275]
Counter[flat='Квартира №24', number='21968031', date=null, t1=36.318, t2=18.586, t3=35.942, total=90.846]
Counter[flat='Квартира №44', number='21967861', date=null, t1=28.413, t2=24.732, t3=39.352, total=92.497]
Counter[flat='Квартира №51', number='21666920', date=null, t1=39.094, t2=16.462, t3=43.444, total=99.000]
Counter[flat='Квартира №29', number='21667085', date=null, t1=33.611, t2=15.121, t3=50.743, total=99.475]
Counter[flat='Квартира №89', number='21967810', date=null, t1=32.643, t2=27.356, t3=40.477, total=100.476]
Counter[flat='Квартира №116', number='21968082', date=null, t1=24.632, t2=26.900, t3=50.215, total=101.747]
Counter[flat='Квартира №56', number='21968075', date=null, t1=28.614, t2=32.270, t3=43.039, total=103.923]
Counter[flat='Квартира №73', number='21967479', date=null, t1=42.077, t2=19.043, t3=43.553, total=104.673]
Counter[flat='Квартира №3', number='21967585', date=null, t1=50.295, t2=20.045, t3=35.866, total=106.206]
Counter[flat='Квартира №26', number='21666497', date=null, t1=34.575, t2=30.143, t3=42.194, total=106.912]
Counter[flat='Квартира №39', number='21666569', date=null, t1=49.823, t2=26.134, t3=36.190, total=112.147]
Counter[flat='Квартира №134', number='21967568', date=null, t1=29.652, t2=29.622, t3=53.090, total=112.364]
Counter[flat='Квартира №87', number='21967753', date=null, t1=41.068, t2=20.816, t3=51.936, total=113.820]
Counter[flat='Квартира №23', number='21967854', date=null, t1=45.531, t2=14.207, t3=56.160, total=115.898]
Counter[flat='Квартира №54', number='21666917', date=null, t1=35.624, t2=28.588, t3=51.874, total=116.086]
Counter[flat='Квартира №76', number='21968202', date=null, t1=35.669, t2=36.247, t3=44.699, total=116.615]
Counter[flat='Квартира №4', number='21967572', date=null, t1=30.807, t2=42.330, t3=44.382, total=117.519]
Counter[flat='Квартира №70', number='21967516', date=null, t1=29.983, t2=41.183, t3=46.754, total=117.920]
Counter[flat='Квартира №34', number='21712954', date=null, t1=48.266, t2=26.988, t3=43.285, total=118.539]
Counter[flat='Квартира №122', number='21949370', date=null, t1=46.619, t2=19.406, t3=53.502, total=119.527]
Counter[flat='Квартира №32', number='21712993', date=null, t1=41.922, t2=25.063, t3=53.649, total=120.634]
Counter[flat='Квартира №22', number='21968052', date=null, t1=55.457, t2=19.070, t3=52.339, total=126.866]
Counter[flat='Квартира №21', number='21968025', date=null, t1=44.303, t2=22.819, t3=66.364, total=133.486]
Counter[flat='Квартира №131', number='21968035', date=null, t1=36.971, t2=49.104, t3=47.623, total=133.698]
