Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.013, t2=0.000, t3=0.000, total=0.013]
Counter[flat='45', number='21666907', date=null, t1=0.000, t2=0.000, t3=0.029, total=0.029]
Counter[flat='101', number='21967802', date=null, t1=0.530, t2=0.430, t3=1.515, total=2.475]
Counter[flat='108', number='21968246', date=null, t1=1.372, t2=0.000, t3=10.030, total=11.402]
Counter[flat='12', number='21948923', date=null, t1=5.673, t2=6.426, t3=7.296, total=19.395]
Counter[flat='27', number='21666500', date=null, t1=8.900, t2=9.883, t3=11.285, total=30.068]
Counter[flat='58', number='21967732', date=null, t1=9.238, t2=10.250, t3=11.793, total=31.281]
Counter[flat='107', number='21971375', date=null, t1=10.069, t2=11.200, t3=12.736, total=34.005]
Counter[flat='20', number='21968040', date=null, t1=11.660, t2=10.950, t3=12.948, total=35.558]
Counter[flat='41', number='21666577', date=null, t1=11.359, t2=10.832, t3=13.782, total=35.973]
Counter[flat='5', number='21712960', date=null, t1=14.591, t2=9.056, t3=14.440, total=38.087]
Counter[flat='73', number='21967479', date=null, t1=12.245, t2=13.306, t3=15.751, total=41.302]
Counter[flat='102', number='21968242', date=null, t1=13.163, t2=13.546, t3=19.986, total=46.695]
Counter[flat='75', number='21968458', date=null, t1=19.395, t2=12.772, t3=16.875, total=49.042]
Counter[flat='32', number='21712993', date=null, t1=15.660, t2=14.850, t3=19.025, total=49.535]
Counter[flat='65', number='21968139', date=null, t1=18.834, t2=12.136, t3=20.544, total=51.514]
Counter[flat='68', number='21967522', date=null, t1=16.132, t2=18.959, t3=17.370, total=52.461]
Counter[flat='24', number='21968031', date=null, t1=15.948, t2=15.534, t3=22.203, total=53.685]
Counter[flat='76', number='21968202', date=null, t1=17.309, t2=14.406, t3=23.740, total=55.455]
Counter[flat='91', number='21968076', date=null, t1=16.128, t2=19.510, t3=20.366, total=56.004]
Counter[flat='56', number='21968075', date=null, t1=15.300, t2=17.430, t3=25.832, total=58.562]
Counter[flat='19', number='21967946', date=null, t1=8.516, t2=0.047, t3=50.150, total=58.713]
Counter[flat='71', number='21967505', date=null, t1=17.835, t2=13.848, t3=28.718, total=60.401]
Counter[flat='116', number='21968082', date=null, t1=19.997, t2=14.830, t3=26.455, total=61.282]
Counter[flat='143', number='21967509', date=null, t1=17.441, t2=22.588, t3=22.007, total=62.036]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='83', number='21968203', date=null, t1=23.034, t2=12.856, t3=30.046, total=65.936]
Counter[flat='53', number='21666929', date=null, t1=28.909, t2=13.405, t3=23.996, total=66.310]
Counter[flat='42', number='21666910', date=null, t1=21.302, t2=13.744, t3=32.034, total=67.080]
Counter[flat='99', number='21968207', date=null, t1=24.905, t2=12.976, t3=30.148, total=68.029]
Counter[flat='122', number='21949370', date=null, t1=19.080, t2=19.868, t3=29.457, total=68.405]
