Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.105, t2=0.000, t3=0.124, total=0.229]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.201, t2=0.000, t3=0.363, total=0.564]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.963, t2=0.000, t3=0.566, total=1.529]
Counter[flat='Квартира №97', number='21967959', date=null, t1=6.464, t2=0.648, t3=5.038, total=12.150]
Counter[flat='Квартира №108', number='21968246', date=null, t1=3.385, t2=0.185, t3=13.060, total=16.630]
Counter[flat='Квартира №36', number='21712963', date=null, t1=7.478, t2=8.470, t3=9.714, total=25.662]
Counter[flat='Квартира №140', number='21967475', date=null, t1=7.077, t2=8.000, t3=10.588, total=25.665]
Counter[flat='Квартира №5', number='21712960', date=null, t1=9.650, t2=10.641, t3=12.182, total=32.473]
Counter[flat='Квартира №102', number='21968242', date=null, t1=10.298, t2=11.796, t3=13.130, total=35.224]
Counter[flat='Квартира №62', number='21971329', date=null, t1=10.217, t2=12.686, t3=15.523, total=38.426]
Counter[flat='Квартира №84', number='21967477', date=null, t1=12.176, t2=12.011, t3=14.674, total=38.861]
Counter[flat='Квартира №100', number='21967497', date=null, t1=13.519, t2=10.263, t3=16.439, total=40.221]
Counter[flat='Квартира №92', number='21967967', date=null, t1=12.794, t2=12.386, t3=16.894, total=42.074]
Counter[flat='Квартира №99', number='21968207', date=null, t1=12.328, t2=13.727, t3=16.749, total=42.804]
Counter[flat='Квартира №45', number='21666907', date=null, t1=12.113, t2=18.458, t3=21.565, total=52.136]
Counter[flat='Квартира №38', number='21666552', date=null, t1=18.205, t2=0.069, t3=34.022, total=52.296]
Counter[flat='Квартира №75', number='21968458', date=null, t1=16.688, t2=12.052, t3=24.995, total=53.735]
Counter[flat='Квартира №94', number='21967987', date=null, t1=14.930, t2=14.630, t3=24.453, total=54.013]
Counter[flat='Квартира №14', number='21967940', date=null, t1=18.654, t2=15.524, t3=20.152, total=54.330]
Counter[flat='Квартира №134', number='21967568', date=null, t1=18.682, t2=22.926, t3=19.739, total=61.347]
Counter[flat='Квартира №20', number='21968040', date=null, t1=22.447, t2=14.496, t3=26.856, total=63.799]
Counter[flat='Квартира №41', number='21666577', date=null, t1=24.683, t2=13.315, t3=28.038, total=66.036]
