Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='76', number='21968202', date=null, t1=0.011, t2=0.000, t3=0.000, total=0.011]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.017, total=0.017]
Counter[flat='44', number='21967861', date=null, t1=0.003, t2=0.003, t3=0.179, total=0.185]
Counter[flat='45', number='21666907', date=null, t1=0.000, t2=0.000, t3=0.293, total=0.293]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.654, total=0.654]
Counter[flat='74', number='21968454', date=null, t1=2.044, t2=1.073, t3=6.227, total=9.344]
Counter[flat='94', number='21967987', date=null, t1=7.743, t2=9.048, t3=10.060, total=26.851]
Counter[flat='135', number='21967542', date=null, t1=9.273, t2=10.587, t3=12.144, total=32.004]
Counter[flat='111', number='21949373', date=null, t1=12.131, t2=6.797, t3=14.035, total=32.963]
Counter[flat='58', number='21967732', date=null, t1=11.414, t2=13.118, t3=14.952, total=39.484]
Counter[flat='5', number='21712960', date=null, t1=12.077, t2=11.417, t3=16.032, total=39.526]
Counter[flat='73', number='21967479', date=null, t1=11.722, t2=13.984, t3=15.888, total=41.594]
Counter[flat='29', number='21667085', date=null, t1=17.673, t2=10.804, t3=17.814, total=46.291]
Counter[flat='107', number='21971375', date=null, t1=14.306, t2=22.606, t3=16.665, total=53.577]
Counter[flat='116', number='21968082', date=null, t1=16.112, t2=14.577, t3=25.404, total=56.093]
Counter[flat='24', number='21968031', date=null, t1=17.101, t2=17.228, t3=22.141, total=56.470]
Counter[flat='42', number='21666910', date=null, t1=20.563, t2=16.882, t3=19.653, total=57.098]
Counter[flat='65', number='21968139', date=null, t1=21.582, t2=15.261, t3=22.284, total=59.127]
Counter[flat='83', number='21968203', date=null, t1=22.576, t2=13.570, t3=25.657, total=61.803]
Counter[flat='91', number='21968076', date=null, t1=18.428, t2=20.203, t3=23.512, total=62.143]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='143', number='21967509', date=null, t1=14.766, t2=27.271, t3=23.097, total=65.134]
