Counter[flat='***', number='40628580', date=null, t1=0, t2=0, t3=0, total=0]
Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №28', number='21666499', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.000, t2=0.021, t3=0.004, total=0.025]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.142, total=0.142]
Counter[flat='Квартира №100', number='21967497', date=null, t1=0.257, t2=0.075, t3=0.105, total=0.437]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.189, t2=0.461, t3=0.198, total=0.848]
Counter[flat='Квартира №106', number='21967200', date=null, t1=1.045, t2=1.168, t3=1.593, total=3.806]
Counter[flat='Квартира №97', number='21967959', date=null, t1=5.570, t2=0.605, t3=11.243, total=17.418]
Counter[flat='Квартира №36', number='21712963', date=null, t1=7.741, t2=8.671, t3=9.948, total=26.360]
Counter[flat='Квартира №5', number='21712960', date=null, t1=8.128, t2=8.415, t3=10.500, total=27.043]
Counter[flat='Квартира №94', number='21967987', date=null, t1=7.764, t2=8.222, t3=11.829, total=27.815]
Counter[flat='Квартира №27', number='21666500', date=null, t1=8.411, t2=9.301, t3=11.103, total=28.815]
Counter[flat='Квартира №72', number='21967501', date=null, t1=8.804, t2=10.028, t3=11.460, total=30.292]
Counter[flat='Квартира №108', number='21968246', date=null, t1=7.009, t2=0.000, t3=24.178, total=31.187]
Counter[flat='Квартира №20', number='21968040', date=null, t1=9.188, t2=10.576, t3=11.965, total=31.729]
Counter[flat='Квартира №84', number='21967477', date=null, t1=9.416, t2=10.842, t3=12.181, total=32.439]
Counter[flat='Квартира №41', number='21666577', date=null, t1=12.283, t2=9.280, t3=13.069, total=34.632]
Counter[flat='Квартира №30', number='21667094', date=null, t1=9.568, t2=11.076, t3=14.260, total=34.904]
Counter[flat='Квартира №11', number='21949329', date=null, t1=12.494, t2=9.345, t3=19.680, total=41.519]
Counter[flat='Квартира №121', number='21971370', date=null, t1=15.187, t2=13.343, t3=18.785, total=47.315]
Counter[flat='Квартира №135', number='21967542', date=null, t1=16.031, t2=14.429, t3=18.033, total=48.493]
Counter[flat='Квартира №45', number='21666907', date=null, t1=11.497, t2=16.763, t3=22.114, total=50.374]
Counter[flat='Квартира №88', number='21967504', date=null, t1=19.330, t2=5.435, t3=27.666, total=52.431]
Counter[flat='Квартира №75', number='21968458', date=null, t1=22.460, t2=11.677, t3=18.958, total=53.095]
Counter[flat='Квартира №102', number='21968242', date=null, t1=14.458, t2=14.775, t3=25.071, total=54.304]
Counter[flat='Квартира №81', number='21967486', date=null, t1=17.130, t2=16.145, t3=21.452, total=54.727]
Counter[flat='Квартира №99', number='21968207', date=null, t1=15.909, t2=18.120, t3=20.745, total=54.774]
Counter[flat='Квартира №59', number='21968016', date=null, t1=19.487, t2=10.609, t3=28.586, total=58.682]
Counter[flat='Квартира №65', number='21968139', date=null, t1=24.516, t2=13.464, t3=22.021, total=60.001]
Counter[flat='Квартира №24', number='21968031', date=null, t1=17.723, t2=19.955, t3=23.451, total=61.129]
Counter[flat='Квартира №122', number='21949370', date=null, t1=26.893, t2=11.037, t3=27.484, total=65.414]
Counter[flat='Квартира №119', number='21967973', date=null, t1=21.746, t2=18.137, t3=30.757, total=70.640]
Counter[flat='Квартира №93', number='21967981', date=null, t1=27.698, t2=14.628, t3=28.745, total=71.071]
Counter[flat='Квартира №62', number='21971329', date=null, t1=22.905, t2=14.837, t3=33.358, total=71.100]
Counter[flat='Квартира №56', number='21968075', date=null, t1=20.076, t2=21.353, t3=31.282, total=72.711]
Counter[flat='Квартира №47', number='21967923', date=null, t1=20.520, t2=23.299, t3=29.782, total=73.601]
Counter[flat='Квартира №91', number='21968076', date=null, t1=21.964, t2=27.121, t3=24.999, total=74.084]
Counter[flat='Квартира №17', number='21968056', date=null, t1=25.227, t2=13.419, t3=35.925, total=74.571]
Counter[flat='Квартира №43', number='21712964', date=null, t1=19.307, t2=22.211, t3=33.208, total=74.726]
Counter[flat='Квартира №86', number='21967885', date=null, t1=34.365, t2=15.491, t3=28.902, total=78.758]
Counter[flat='Квартира №21', number='21968025', date=null, t1=23.068, t2=17.731, t3=42.356, total=83.155]
Counter[flat='Квартира №71', number='21967505', date=null, t1=18.487, t2=21.372, t3=45.847, total=85.706]
Counter[flat='Квартира №103', number='21971417', date=null, t1=39.133, t2=18.999, t3=29.432, total=87.564]
Counter[flat='Квартира №51', number='21666920', date=null, t1=37.151, t2=15.274, t3=36.196, total=88.621]
Counter[flat='Квартира №23', number='21967854', date=null, t1=30.550, t2=11.830, t3=47.016, total=89.396]
Counter[flat='Квартира №44', number='21967861', date=null, t1=27.995, t2=21.442, t3=40.910, total=90.347]
Counter[flat='Квартира №3', number='21967585', date=null, t1=36.256, t2=20.848, t3=35.364, total=92.468]
Counter[flat='Квартира №67', number='21967528', date=null, t1=25.786, t2=30.438, t3=37.483, total=93.707]
Counter[flat='Квартира №89', number='21967810', date=null, t1=32.513, t2=22.761, t3=40.996, total=96.270]
Counter[flat='Квартира №111', number='21949373', date=null, t1=26.530, t2=29.340, t3=40.517, total=96.387]
Counter[flat='Квартира №143', number='21967509', date=null, t1=38.126, t2=19.548, t3=41.183, total=98.857]
Counter[flat='Квартира №69', number='21967567', date=null, t1=33.266, t2=20.356, t3=46.174, total=99.796]
Counter[flat='Квартира №87', number='21967753', date=null, t1=34.761, t2=18.008, t3=47.674, total=100.443]
Counter[flat='Квартира №74', number='21968454', date=null, t1=26.708, t2=25.699, t3=48.085, total=100.492]
Counter[flat='Квартира №116', number='21968082', date=null, t1=32.794, t2=21.805, t3=50.638, total=105.237]
Counter[flat='Квартира №134', number='21967568', date=null, t1=26.252, t2=38.441, t3=42.037, total=106.730]
Counter[flat='Квартира №22', number='21968052', date=null, t1=50.485, t2=17.359, t3=39.340, total=107.184]
Counter[flat='Квартира №80', number='21967506', date=null, t1=30.650, t2=27.586, t3=50.389, total=108.625]
Counter[flat='Квартира №131', number='21968035', date=null, t1=31.126, t2=25.768, t3=52.028, total=108.922]
Counter[flat='Квартира №101', number='21967802', date=null, t1=46.206, t2=15.214, t3=47.898, total=109.318]
Counter[flat='Квартира №105', number='21971386', date=null, t1=53.569, t2=13.562, t3=42.937, total=110.068]
Counter[flat='Квартира №4', number='21967572', date=null, t1=33.738, t2=33.633, t3=45.545, total=112.916]
Counter[flat='Квартира №26', number='21666497', date=null, t1=33.164, t2=29.259, t3=50.620, total=113.043]
Counter[flat='Квартира №76', number='21968202', date=null, t1=38.815, t2=28.430, t3=46.018, total=113.263]
Counter[flat='Квартира №14', number='21967940', date=null, t1=32.150, t2=39.308, t3=43.452, total=114.910]
Counter[flat='Квартира №34', number='21712954', date=null, t1=42.414, t2=25.689, t3=47.383, total=115.486]
Counter[flat='Квартира №29', number='21667085', date=null, t1=41.864, t2=15.534, t3=58.323, total=115.721]
Counter[flat='Квартира №15', number='21666510', date=null, t1=40.831, t2=26.014, t3=49.399, total=116.244]
Counter[flat='Квартира №38', number='21666552', date=null, t1=39.757, t2=24.322, t3=52.354, total=116.433]
Counter[flat='Квартира №35', number='21948913', date=null, t1=22.575, t2=54.008, t3=41.114, total=117.697]
Counter[flat='Квартира №39', number='21666569', date=null, t1=45.736, t2=20.930, t3=51.161, total=117.827]
Counter[flat='Квартира №83', number='21968203', date=null, t1=30.905, t2=32.243, t3=55.862, total=119.010]
Counter[flat='Квартира №129', number='21967906', date=null, t1=44.293, t2=28.372, t3=52.196, total=124.861]
Counter[flat='Квартира №70', number='21967516', date=null, t1=46.643, t2=31.011, t3=50.210, total=127.864]
Counter[flat='Квартира №124', number='21949405', date=null, t1=43.248, t2=28.511, t3=57.924, total=129.683]
Counter[flat='Квартира №137', number='21967213', date=null, t1=42.500, t2=39.673, t3=47.760, total=129.933]
Counter[flat='Квартира №52', number='21666543', date=null, t1=49.873, t2=26.827, t3=54.197, total=130.897]
Counter[flat='Квартира №136', number='21967551', date=null, t1=51.661, t2=19.250, t3=63.010, total=133.921]
Counter[flat='Квартира №32', number='21712993', date=null, t1=44.080, t2=26.947, t3=66.181, total=137.208]
Counter[flat='Квартира №140', number='21967475', date=null, t1=43.680, t2=41.385, t3=56.280, total=141.345]
Counter[flat='Квартира №68', number='21967522', date=null, t1=36.627, t2=29.587, t3=77.199, total=143.413]
