Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №105', number='21971386', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.017, total=0.017]
Counter[flat='Квартира №30', number='21667094', date=null, t1=0.020, t2=0.001, t3=0.011, total=0.032]
Counter[flat='Квартира №100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.071, total=0.071]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.057, t2=0.000, t3=0.062, total=0.119]
Counter[flat='Квартира №133', number='21967899', date=null, t1=1.634, t2=0.300, t3=3.123, total=5.057]
Counter[flat='Квартира №111', number='21949373', date=null, t1=1.448, t2=1.327, t3=5.858, total=8.633]
Counter[flat='Квартира №62', number='21971329', date=null, t1=2.522, t2=0.000, t3=8.301, total=10.823]
Counter[flat='Квартира №94', number='21967987', date=null, t1=6.723, t2=7.640, t3=8.498, total=22.861]
Counter[flat='Квартира №50', number='21666901', date=null, t1=7.000, t2=5.260, t3=11.354, total=23.614]
Counter[flat='Квартира №47', number='21967923', date=null, t1=8.190, t2=8.384, t3=7.404, total=23.978]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.010, t2=8.160, t3=8.937, total=24.107]
Counter[flat='Квартира №119', number='21967973', date=null, t1=6.152, t2=9.638, t3=10.234, total=26.024]
Counter[flat='Квартира №97', number='21967959', date=null, t1=8.209, t2=7.711, t3=12.099, total=28.019]
Counter[flat='Квартира №5', number='21712960', date=null, t1=8.742, t2=9.428, t3=11.000, total=29.170]
Counter[flat='Квартира №20', number='21968040', date=null, t1=9.245, t2=10.585, t3=11.406, total=31.236]
Counter[flat='Квартира №53', number='21666929', date=null, t1=10.190, t2=8.805, t3=14.128, total=33.123]
Counter[flat='Квартира №43', number='21712964', date=null, t1=10.492, t2=11.563, t3=13.406, total=35.461]
Counter[flat='Квартира №135', number='21967542', date=null, t1=10.450, t2=11.826, t3=13.476, total=35.752]
Counter[flat='Квартира №87', number='21967753', date=null, t1=11.684, t2=12.901, t3=16.586, total=41.171]
Counter[flat='Квартира №40', number='21666557', date=null, t1=13.259, t2=15.134, t3=16.807, total=45.200]
Counter[flat='Квартира №45', number='21666907', date=null, t1=13.383, t2=13.432, t3=18.655, total=45.470]
Counter[flat='Квартира №83', number='21968203', date=null, t1=13.979, t2=19.899, t3=16.569, total=50.447]
Counter[flat='Квартира №124', number='21949405', date=null, t1=14.677, t2=16.492, t3=19.365, total=50.534]
Counter[flat='Квартира №99', number='21968207', date=null, t1=14.685, t2=12.900, t3=24.198, total=51.783]
Counter[flat='Квартира №65', number='21968139', date=null, t1=18.688, t2=13.962, t3=21.058, total=53.708]
Counter[flat='Квартира №75', number='21968458', date=null, t1=16.309, t2=12.588, t3=26.622, total=55.519]
Counter[flat='Квартира №14', number='21967940', date=null, t1=22.540, t2=14.915, t3=19.611, total=57.066]
