Counter[flat='139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='60', number='21967979', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='108', number='21968246', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.036, total=0.036]
Counter[flat='19', number='21967946', date=null, t1=0.280, t2=0.000, t3=0.017, total=0.297]
Counter[flat='58', number='21967732', date=null, t1=0.815, t2=0.913, t3=1.013, total=2.741]
Counter[flat='62', number='21971329', date=null, t1=1.440, t2=0.000, t3=1.404, total=2.844]
Counter[flat='111', number='21949373', date=null, t1=1.225, t2=1.362, t3=2.038, total=4.625]
Counter[flat='94', number='21967987', date=null, t1=8.422, t2=8.517, t3=10.687, total=27.626]
Counter[flat='102', number='21968242', date=null, t1=8.521, t2=10.164, t3=10.645, total=29.330]
Counter[flat='68', number='21967522', date=null, t1=9.961, t2=10.263, t3=12.386, total=32.610]
Counter[flat='72', number='21967501', date=null, t1=9.256, t2=11.425, t3=11.970, total=32.651]
Counter[flat='69', number='21967567', date=null, t1=11.828, t2=11.852, t3=13.837, total=37.517]
Counter[flat='20', number='21968040', date=null, t1=12.765, t2=14.401, t3=16.647, total=43.813]
Counter[flat='88', number='21967504', date=null, t1=14.655, t2=8.559, t3=22.241, total=45.455]
Counter[flat='84', number='21967477', date=null, t1=13.897, t2=15.741, t3=17.096, total=46.734]
Counter[flat='45', number='21666907', date=null, t1=12.203, t2=15.245, t3=19.371, total=46.819]
Counter[flat='48', number='21968079', date=null, t1=17.607, t2=13.001, t3=16.896, total=47.504]
Counter[flat='5', number='21712960', date=null, t1=16.535, t2=11.301, t3=20.694, total=48.530]
Counter[flat='41', number='21666577', date=null, t1=15.610, t2=14.771, t3=19.676, total=50.057]
Counter[flat='27', number='21666500', date=null, t1=18.488, t2=12.689, t3=21.796, total=52.973]
Counter[flat='76', number='21968202', date=null, t1=16.895, t2=16.963, t3=19.414, total=53.272]
Counter[flat='14', number='21967940', date=null, t1=18.282, t2=13.124, t3=22.146, total=53.552]
Counter[flat='65', number='21968139', date=null, t1=17.438, t2=15.034, t3=21.548, total=54.020]
Counter[flat='75', number='21968458', date=null, t1=22.983, t2=13.725, t3=19.875, total=56.583]
Counter[flat='124', number='21949405', date=null, t1=16.777, t2=17.844, t3=22.426, total=57.047]
Counter[flat='38', number='21666552', date=null, t1=21.840, t2=14.752, t3=24.403, total=60.995]
Counter[flat='110', number='21949389', date=null, t1=23.571, t2=13.947, t3=24.649, total=62.167]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='122', number='21949370', date=null, t1=18.485, t2=17.223, t3=29.611, total=65.319]
Counter[flat='17', number='21968056', date=null, t1=23.003, t2=15.275, t3=29.605, total=67.883]
Counter[flat='43', number='21712964', date=null, t1=20.869, t2=21.376, t3=27.902, total=70.147]
Counter[flat='97', number='21967959', date=null, t1=20.561, t2=20.659, t3=28.970, total=70.190]
Counter[flat='35', number='21948913', date=null, t1=11.570, t2=30.159, t3=28.790, total=70.519]
Counter[flat='83', number='21968203', date=null, t1=29.404, t2=11.377, t3=34.680, total=75.461]
Counter[flat='99', number='21968207', date=null, t1=20.482, t2=16.876, t3=38.152, total=75.510]
Counter[flat='135', number='21967542', date=null, t1=22.179, t2=24.382, t3=29.396, total=75.957]
Counter[flat='30', number='21667094', date=null, t1=24.847, t2=19.099, t3=35.962, total=79.908]
Counter[flat='133', number='21967899', date=null, t1=27.299, t2=19.925, t3=33.719, total=80.943]
Counter[flat='116', number='21968082', date=null, t1=26.022, t2=22.675, t3=33.426, total=82.123]
Counter[flat='8', number='21967610', date=null, t1=23.924, t2=28.778, t3=29.744, total=82.446]
Counter[flat='140', number='21967475', date=null, t1=24.364, t2=20.223, t3=38.426, total=83.013]
Counter[flat='101', number='21967802', date=null, t1=36.597, t2=15.615, t3=31.248, total=83.460]
Counter[flat='51', number='21666920', date=null, t1=36.642, t2=18.611, t3=31.266, total=86.519]
Counter[flat='47', number='21967923', date=null, t1=32.722, t2=16.185, t3=38.747, total=87.654]
Counter[flat='24', number='21968031', date=null, t1=28.152, t2=25.429, t3=34.253, total=87.834]
Counter[flat='3', number='21967585', date=null, t1=36.546, t2=18.997, t3=35.361, total=90.904]
Counter[flat='143', number='21967509', date=null, t1=29.179, t2=17.890, t3=44.764, total=91.833]
Counter[flat='131', number='21968035', date=null, t1=25.147, t2=32.551, t3=36.018, total=93.716]
Counter[flat='91', number='21968076', date=null, t1=27.618, t2=25.968, t3=41.110, total=94.696]
Counter[flat='71', number='21967505', date=null, t1=28.752, t2=23.042, t3=44.968, total=96.762]
Counter[flat='103', number='21971417', date=null, t1=34.526, t2=20.894, t3=42.714, total=98.134]
Counter[flat='118', number='21971416', date=null, t1=37.261, t2=19.391, t3=41.546, total=98.198]
Counter[flat='56', number='21968075', date=null, t1=29.109, t2=32.144, t3=38.580, total=99.833]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='119', number='21967973', date=null, t1=28.253, t2=29.938, t3=43.582, total=101.773]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=34.998, t3=35.000, total=104.998]
Counter[flat='15', number='21666510', date=null, t1=38.816, t2=21.831, t3=45.372, total=106.019]
Counter[flat='70', number='21967516', date=null, t1=27.177, t2=35.748, t3=43.157, total=106.082]
Counter[flat='21', number='21968025', date=null, t1=45.879, t2=19.088, t3=41.584, total=106.551]
Counter[flat='53', number='21666929', date=null, t1=47.950, t2=20.350, t3=39.992, total=108.292]
Counter[flat='11', number='21949329', date=null, t1=20.017, t2=27.486, t3=62.397, total=109.900]
Counter[flat='23', number='21967854', date=null, t1=43.329, t2=12.746, t3=55.097, total=111.172]
Counter[flat='86', number='21967885', date=null, t1=36.008, t2=21.837, t3=53.752, total=111.597]
Counter[flat='10', number='21967590', date=null, t1=38.222, t2=34.426, t3=44.670, total=117.318]
Counter[flat='22', number='21968052', date=null, t1=52.159, t2=17.595, t3=48.503, total=118.257]
Counter[flat='77', number='21968450', date=null, t1=27.969, t2=45.348, t3=46.314, total=119.631]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='39', number='21666569', date=null, t1=56.772, t2=12.812, t3=52.157, total=121.741]
Counter[flat='130', number='21967952', date=null, t1=52.020, t2=23.979, t3=46.139, total=122.138]
Counter[flat='44', number='21967861', date=null, t1=33.912, t2=42.897, t3=46.825, total=123.634]
Counter[flat='34', number='21712954', date=null, t1=56.547, t2=27.788, t3=41.850, total=126.185]
Counter[flat='129', number='21967906', date=null, t1=42.611, t2=31.205, t3=53.103, total=126.919]
Counter[flat='117', number='21967206', date=null, t1=37.785, t2=27.599, t3=62.268, total=127.652]
Counter[flat='107', number='21971375', date=null, t1=27.153, t2=66.443, t3=36.792, total=130.388]
Counter[flat='142', number='21968032', date=null, t1=35.095, t2=45.682, t3=52.155, total=132.932]
Counter[flat='26', number='21666497', date=null, t1=64.619, t2=14.559, t3=53.973, total=133.151]
Counter[flat='80', number='21967506', date=null, t1=54.072, t2=39.629, t3=39.804, total=133.505]
Counter[flat='98', number='21967964', date=null, t1=44.248, t2=30.393, t3=59.587, total=134.228]
Counter[flat='73', number='21967479', date=null, t1=44.742, t2=34.969, t3=54.724, total=134.435]
Counter[flat='137', number='21967213', date=null, t1=42.901, t2=35.899, t3=61.208, total=140.008]
Counter[flat='64', number='21968468', date=null, t1=52.192, t2=37.713, t3=55.899, total=145.804]
