Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №78', number='21971325', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.245, total=0.245]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.018, t2=0.645, t3=0.009, total=0.672]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.452, t2=0.501, t3=0.752, total=1.705]
Counter[flat='Квартира №28', number='21666499', date=null, t1=1.556, t2=1.911, t3=2.043, total=5.510]
Counter[flat='Квартира №69', number='21967567', date=null, t1=0.948, t2=0.485, t3=4.271, total=5.704]
Counter[flat='Квартира №108', number='21968246', date=null, t1=7.644, t2=0.000, t3=22.477, total=30.121]
Counter[flat='Квартира №36', number='21712963', date=null, t1=9.960, t2=11.692, t3=12.796, total=34.448]
Counter[flat='Квартира №30', number='21667094', date=null, t1=10.261, t2=11.180, t3=13.360, total=34.801]
Counter[flat='Квартира №24', number='21968031', date=null, t1=10.983, t2=12.381, t3=13.483, total=36.847]
Counter[flat='Квартира №72', number='21967501', date=null, t1=11.333, t2=12.955, t3=14.492, total=38.780]
Counter[flat='Квартира №94', number='21967987', date=null, t1=11.702, t2=12.664, t3=16.566, total=40.932]
Counter[flat='Квартира №5', number='21712960', date=null, t1=13.528, t2=13.108, t3=17.094, total=43.730]
Counter[flat='Квартира №41', number='21666577', date=null, t1=15.776, t2=14.353, t3=15.812, total=45.941]
Counter[flat='Квартира №27', number='21666500', date=null, t1=13.769, t2=14.452, t3=17.753, total=45.974]
Counter[flat='Квартира №99', number='21968207', date=null, t1=13.021, t2=17.062, t3=16.447, total=46.530]
Counter[flat='Квартира №97', number='21967959', date=null, t1=16.050, t2=0.000, t3=35.134, total=51.184]
Counter[flat='Квартира №84', number='21967477', date=null, t1=16.137, t2=16.228, t3=24.536, total=56.901]
Counter[flat='Квартира №45', number='21666907', date=null, t1=12.280, t2=20.271, t3=25.965, total=58.516]
Counter[flat='Квартира №100', number='21967497', date=null, t1=24.886, t2=11.506, t3=23.899, total=60.291]
Counter[flat='Квартира №88', number='21967504', date=null, t1=21.593, t2=5.254, t3=34.661, total=61.508]
Counter[flat='Квартира №122', number='21949370', date=null, t1=26.857, t2=11.898, t3=23.371, total=62.126]
Counter[flat='Квартира №102', number='21968242', date=null, t1=21.594, t2=16.003, t3=29.877, total=67.474]
Counter[flat='Квартира №81', number='21967486', date=null, t1=21.504, t2=21.413, t3=24.949, total=67.866]
Counter[flat='Квартира №18', number='21967958', date=null, t1=22.785, t2=19.930, t3=28.145, total=70.860]
Counter[flat='Квартира №136', number='21967551', date=null, t1=27.257, t2=15.413, t3=28.817, total=71.487]
Counter[flat='Квартира №135', number='21967542', date=null, t1=26.043, t2=20.539, t3=28.209, total=74.791]
Counter[flat='Квартира №128', number='21968471', date=null, t1=21.744, t2=24.561, t3=29.845, total=76.150]
Counter[flat='Квартира №21', number='21968025', date=null, t1=25.376, t2=18.252, t3=33.884, total=77.512]
Counter[flat='Квартира №119', number='21967973', date=null, t1=26.057, t2=22.548, t3=31.277, total=79.882]
Counter[flat='Квартира №43', number='21712964', date=null, t1=17.978, t2=25.615, t3=37.048, total=80.641]
Counter[flat='Квартира №65', number='21968139', date=null, t1=29.323, t2=23.351, t3=28.156, total=80.830]
Counter[flat='Квартира №59', number='21968016', date=null, t1=26.136, t2=16.406, t3=39.184, total=81.726]
Counter[flat='Квартира №86', number='21967885', date=null, t1=34.162, t2=19.529, t3=31.505, total=85.196]
Counter[flat='Квартира №17', number='21968056', date=null, t1=32.365, t2=18.765, t3=36.053, total=87.183]
Counter[flat='Квартира №56', number='21968075', date=null, t1=25.758, t2=24.539, t3=36.941, total=87.238]
Counter[flat='Квартира №75', number='21968458', date=null, t1=36.658, t2=18.223, t3=32.712, total=87.593]
Counter[flat='Квартира №11', number='21949329', date=null, t1=28.547, t2=15.361, t3=44.736, total=88.644]
Counter[flat='Квартира №3', number='21967585', date=null, t1=35.261, t2=20.850, t3=33.061, total=89.172]
Counter[flat='Квартира №91', number='21968076', date=null, t1=25.982, t2=36.974, t3=28.984, total=91.940]
Counter[flat='Квартира №124', number='21949405', date=null, t1=26.326, t2=25.354, t3=40.281, total=91.961]
Counter[flat='Квартира №93', number='21967981', date=null, t1=33.286, t2=22.202, t3=38.948, total=94.436]
Counter[flat='Квартира №51', number='21666920', date=null, t1=38.122, t2=17.840, t3=40.168, total=96.130]
Counter[flat='Квартира №71', number='21967505', date=null, t1=24.593, t2=23.470, t3=50.426, total=98.489]
Counter[flat='Квартира №29', number='21667085', date=null, t1=36.298, t2=17.719, t3=47.691, total=101.708]
Counter[flat='Квартира №47', number='21967923', date=null, t1=29.072, t2=33.706, t3=39.132, total=101.910]
Counter[flat='Квартира №67', number='21967528', date=null, t1=28.862, t2=34.432, t3=39.420, total=102.714]
Counter[flat='Квартира №89', number='21967810', date=null, t1=41.029, t2=24.292, t3=39.131, total=104.452]
Counter[flat='Квартира №44', number='21967861', date=null, t1=30.307, t2=24.533, t3=49.779, total=104.619]
Counter[flat='Квартира №15', number='21666510', date=null, t1=37.435, t2=31.576, t3=44.319, total=113.330]
Counter[flat='Квартира №87', number='21967753', date=null, t1=42.092, t2=21.290, t3=50.050, total=113.432]
Counter[flat='Квартира №22', number='21968052', date=null, t1=48.431, t2=20.562, t3=44.759, total=113.752]
Counter[flat='Квартира №131', number='21968035', date=null, t1=33.945, t2=25.939, t3=54.018, total=113.902]
Counter[flat='Квартира №35', number='21948913', date=null, t1=17.961, t2=52.301, t3=44.776, total=115.038]
Counter[flat='Квартира №103', number='21971417', date=null, t1=39.514, t2=29.319, t3=46.704, total=115.537]
Counter[flat='Квартира №83', number='21968203', date=null, t1=33.313, t2=39.225, t3=45.201, total=117.739]
Counter[flat='Квартира №107', number='21971375', date=null, t1=35.207, t2=49.815, t3=36.984, total=122.006]
Counter[flat='Квартира №23', number='21967854', date=null, t1=50.392, t2=13.887, t3=60.294, total=124.573]
Counter[flat='Квартира №105', number='21971386', date=null, t1=63.899, t2=20.300, t3=41.890, total=126.089]
Counter[flat='Квартира №116', number='21968082', date=null, t1=37.509, t2=30.126, t3=59.001, total=126.636]
Counter[flat='Квартира №80', number='21967506', date=null, t1=35.876, t2=33.926, t3=57.703, total=127.505]
Counter[flat='Квартира №58', number='21967732', date=null, t1=44.439, t2=26.499, t3=57.726, total=128.664]
Counter[flat='Квартира №39', number='21666569', date=null, t1=58.240, t2=22.560, t3=47.954, total=128.754]
Counter[flat='Квартира №48', number='21968079', date=null, t1=41.934, t2=35.790, t3=51.244, total=128.968]
Counter[flat='Квартира №113', number='21949380', date=null, t1=46.396, t2=40.250, t3=43.462, total=130.108]
Counter[flat='Квартира №111', number='21949373', date=null, t1=31.958, t2=44.118, t3=54.716, total=130.792]
Counter[flat='Квартира №134', number='21967568', date=null, t1=33.707, t2=46.212, t3=51.987, total=131.906]
