Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.000, t2=0.000, t3=0.026, total=0.026]
Counter[flat='Квартира №59', number='21968016', date=null, t1=0.044, t2=0.019, t3=0.023, total=0.086]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.687, t2=0.000, t3=0.120, total=0.807]
Counter[flat='Квартира №97', number='21967959', date=null, t1=9.843, t2=0.759, t3=9.596, total=20.198]
Counter[flat='Квартира №108', number='21968246', date=null, t1=4.811, t2=0.000, t3=23.805, total=28.616]
Counter[flat='Квартира №102', number='21968242', date=null, t1=8.781, t2=10.088, t3=11.256, total=30.125]
Counter[flat='Квартира №63', number='21968441', date=null, t1=9.085, t2=10.470, t3=12.324, total=31.879]
Counter[flat='Квартира №36', number='21712963', date=null, t1=9.648, t2=11.500, t3=12.397, total=33.545]
Counter[flat='Квартира №5', number='21712960', date=null, t1=10.366, t2=12.303, t3=13.262, total=35.931]
Counter[flat='Квартира №100', number='21967497', date=null, t1=12.570, t2=11.718, t3=15.342, total=39.630]
Counter[flat='Квартира №65', number='21968139', date=null, t1=12.266, t2=8.542, t3=19.193, total=40.001]
Counter[flat='Квартира №84', number='21967477', date=null, t1=12.048, t2=14.026, t3=15.548, total=41.622]
Counter[flat='Квартира №88', number='21967504', date=null, t1=12.958, t2=8.106, t3=23.375, total=44.439]
Counter[flat='Квартира №68', number='21967522', date=null, t1=13.426, t2=15.241, t3=18.524, total=47.191]
Counter[flat='Квартира №92', number='21967967', date=null, t1=15.795, t2=15.800, t3=21.051, total=52.646]
Counter[flat='Квартира №99', number='21968207', date=null, t1=14.966, t2=20.508, t3=21.264, total=56.738]
Counter[flat='Квартира №140', number='21967475', date=null, t1=15.284, t2=20.129, t3=21.524, total=56.937]
Counter[flat='Квартира №94', number='21967987', date=null, t1=18.795, t2=18.297, t3=21.798, total=58.890]
Counter[flat='Квартира №45', number='21666907', date=null, t1=14.705, t2=19.959, t3=24.321, total=58.985]
Counter[flat='Квартира №20', number='21968040', date=null, t1=21.260, t2=17.379, t3=22.436, total=61.075]
Counter[flat='Квартира №62', number='21971329', date=null, t1=17.839, t2=24.646, t3=25.720, total=68.205]
Counter[flat='Квартира №17', number='21968056', date=null, t1=21.983, t2=20.968, t3=25.684, total=68.635]
Counter[flat='Квартира №81', number='21967486', date=null, t1=19.724, t2=22.526, t3=27.105, total=69.355]
Counter[flat='Квартира №53', number='21666929', date=null, t1=21.148, t2=21.423, t3=29.855, total=72.426]
Counter[flat='Квартира №41', number='21666577', date=null, t1=25.745, t2=16.366, t3=36.537, total=78.648]
Counter[flat='Квартира №14', number='21967940', date=null, t1=25.675, t2=25.833, t3=27.171, total=78.679]
