Counter[flat='66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.006, total=0.006]
Counter[flat='6', number='21712947', date=null, t1=0.498, t2=0.562, t3=0.496, total=1.556]
Counter[flat='111', number='21949373', date=null, t1=1.540, t2=1.563, t3=2.353, total=5.456]
Counter[flat='139', number='21967531', date=null, t1=3.179, t2=2.257, t3=3.959, total=9.395]
Counter[flat='143', number='21967509', date=null, t1=3.645, t2=0.000, t3=6.250, total=9.895]
Counter[flat='12', number='21948923', date=null, t1=3.850, t2=4.272, t3=4.920, total=13.042]
Counter[flat='108', number='21968246', date=null, t1=2.866, t2=0.000, t3=15.354, total=18.220]
Counter[flat='102', number='21968242', date=null, t1=6.938, t2=7.889, t3=8.900, total=23.727]
Counter[flat='5', number='21712960', date=null, t1=9.801, t2=10.500, t3=12.203, total=32.504]
Counter[flat='39', number='21666569', date=null, t1=3.420, t2=2.289, t3=33.338, total=39.047]
Counter[flat='69', number='21967567', date=null, t1=13.002, t2=12.369, t3=16.286, total=41.657]
Counter[flat='30', number='21667094', date=null, t1=13.754, t2=13.373, t3=15.627, total=42.754]
Counter[flat='27', number='21666500', date=null, t1=12.694, t2=14.279, t3=16.140, total=43.113]
Counter[flat='58', number='21967732', date=null, t1=14.442, t2=16.292, t3=18.495, total=49.229]
Counter[flat='45', number='21666907', date=null, t1=16.942, t2=15.629, t3=21.164, total=53.735]
Counter[flat='75', number='21968458', date=null, t1=21.775, t2=15.291, t3=18.518, total=55.584]
Counter[flat='20', number='21968040', date=null, t1=16.843, t2=17.828, t3=23.156, total=57.827]
Counter[flat='59', number='21968016', date=null, t1=22.564, t2=13.572, t3=21.753, total=57.889]
Counter[flat='107', number='21971375', date=null, t1=18.393, t2=20.889, t3=23.202, total=62.484]
Counter[flat='73', number='21967479', date=null, t1=18.255, t2=18.316, t3=26.733, total=63.304]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='135', number='21967542', date=null, t1=21.763, t2=17.392, t3=27.558, total=66.713]
Counter[flat='88', number='21967504', date=null, t1=25.456, t2=10.677, t3=36.196, total=72.329]
Counter[flat='42', number='21666910', date=null, t1=33.749, t2=18.015, t3=22.442, total=74.206]
Counter[flat='71', number='21967505', date=null, t1=22.158, t2=17.299, t3=35.443, total=74.900]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='41', number='21666577', date=null, t1=27.157, t2=15.397, t3=37.264, total=79.818]
Counter[flat='124', number='21949405', date=null, t1=26.412, t2=24.646, t3=28.929, total=79.987]
Counter[flat='64', number='21968468', date=null, t1=24.463, t2=25.935, t3=31.098, total=81.496]
Counter[flat='65', number='21968139', date=null, t1=31.149, t2=19.193, t3=31.602, total=81.944]
Counter[flat='99', number='21968207', date=null, t1=24.536, t2=22.047, t3=39.411, total=85.994]
Counter[flat='77', number='21968450', date=null, t1=23.095, t2=28.258, t3=35.382, total=86.735]
Counter[flat='50', number='21666901', date=null, t1=26.412, t2=26.624, t3=33.937, total=86.973]
Counter[flat='91', number='21968076', date=null, t1=24.924, t2=28.479, t3=33.911, total=87.314]
Counter[flat='68', number='21967522', date=null, t1=28.158, t2=20.759, t3=39.333, total=88.250]
Counter[flat='22', number='21968052', date=null, t1=31.575, t2=21.807, t3=34.875, total=88.257]
Counter[flat='8', number='21967610', date=null, t1=24.823, t2=23.522, t3=43.046, total=91.391]
Counter[flat='35', number='21948913', date=null, t1=16.985, t2=44.494, t3=31.430, total=92.909]
Counter[flat='109', number='21949350', date=null, t1=26.909, t2=31.044, t3=35.303, total=93.256]
Counter[flat='3', number='21967585', date=null, t1=38.750, t2=21.226, t3=36.762, total=96.738]
Counter[flat='116', number='21968082', date=null, t1=28.326, t2=25.266, t3=43.492, total=97.084]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='21', number='21968025', date=null, t1=33.291, t2=21.846, t3=45.881, total=101.018]
Counter[flat='110', number='21949389', date=null, t1=33.891, t2=17.301, t3=49.845, total=101.037]
Counter[flat='142', number='21968032', date=null, t1=34.034, t2=22.859, t3=45.384, total=102.277]
Counter[flat='56', number='21968075', date=null, t1=29.275, t2=29.618, t3=43.467, total=102.360]
Counter[flat='119', number='21967973', date=null, t1=31.200, t2=28.382, t3=45.348, total=104.930]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='140', number='21967475', date=null, t1=35.057, t2=29.217, t3=44.756, total=109.030]
Counter[flat='103', number='21971417', date=null, t1=34.060, t2=26.294, t3=49.700, total=110.054]
Counter[flat='113', number='21949380', date=null, t1=39.866, t2=28.636, t3=42.877, total=111.379]
Counter[flat='57', number='21967809', date=null, t1=35.391, t2=36.751, t3=42.789, total=114.931]
Counter[flat='28', number='21666499', date=null, t1=50.621, t2=19.096, t3=45.394, total=115.111]
Counter[flat='84', number='21967477', date=null, t1=30.955, t2=36.228, t3=49.524, total=116.707]
Counter[flat='70', number='21967516', date=null, t1=30.918, t2=41.591, t3=46.351, total=118.860]
Counter[flat='43', number='21712964', date=null, t1=33.448, t2=38.532, t3=47.615, total=119.595]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='122', number='21949370', date=null, t1=36.946, t2=32.336, t3=51.212, total=120.494]
Counter[flat='90', number='21968383', date=null, t1=48.185, t2=21.221, t3=51.220, total=120.626]
Counter[flat='38', number='21666552', date=null, t1=38.804, t2=26.618, t3=55.446, total=120.868]
Counter[flat='83', number='21968203', date=null, t1=50.073, t2=18.006, t3=54.268, total=122.347]
Counter[flat='62', number='21971329', date=null, t1=58.356, t2=25.116, t3=39.308, total=122.780]
Counter[flat='131', number='21968035', date=null, t1=39.699, t2=39.260, t3=44.578, total=123.537]
Counter[flat='44', number='21967861', date=null, t1=37.010, t2=31.118, t3=58.635, total=126.763]
Counter[flat='24', number='21968031', date=null, t1=43.290, t2=39.605, t3=45.472, total=128.367]
Counter[flat='123', number='21949395', date=null, t1=40.657, t2=33.765, t3=59.952, total=134.374]
Counter[flat='51', number='21666920', date=null, t1=42.681, t2=30.065, t3=61.664, total=134.410]
Counter[flat='94', number='21967987', date=null, t1=43.332, t2=21.679, t3=69.994, total=135.005]
Counter[flat='11', number='21949329', date=null, t1=38.544, t2=38.546, t3=58.565, total=135.655]
Counter[flat='78', number='40628580', date=null, t1=109.321, t2=27.731, t3=0.000, total=137.052]
Counter[flat='2', number='21949330', date=null, t1=44.668, t2=41.637, t3=53.118, total=139.423]
Counter[flat='101', number='21967802', date=null, t1=61.829, t2=20.496, t3=58.578, total=140.903]
Counter[flat='26', number='21666497', date=null, t1=60.598, t2=27.464, t3=53.965, total=142.027]
Counter[flat='53', number='21666929', date=null, t1=48.187, t2=34.753, t3=59.890, total=142.830]
Counter[flat='129', number='21967906', date=null, t1=52.794, t2=29.774, t3=62.156, total=144.724]
Counter[flat='63', number='21968441', date=null, t1=52.578, t2=31.429, t3=61.191, total=145.198]
Counter[flat='92', number='21967967', date=null, t1=44.897, t2=42.877, t3=60.272, total=148.046]
Counter[flat='144', number='21968041', date=null, t1=51.468, t2=31.136, t3=66.236, total=148.840]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='98', number='21967964', date=null, t1=51.726, t2=35.006, t3=63.604, total=150.336]
Counter[flat='29', number='21667085', date=null, t1=50.752, t2=44.468, t3=58.934, total=154.154]
Counter[flat='47', number='21967923', date=null, t1=61.255, t2=20.122, t3=73.022, total=154.399]
Counter[flat='15', number='21666510', date=null, t1=48.937, t2=48.583, t3=59.543, total=157.063]
Counter[flat='130', number='21967952', date=null, t1=62.212, t2=32.757, t3=68.365, total=163.334]
Counter[flat='32', number='21712993', date=null, t1=44.238, t2=73.822, t3=46.514, total=164.574]
Counter[flat='137', number='21967213', date=null, t1=44.018, t2=53.311, t3=68.876, total=166.205]
Counter[flat='17', number='21968056', date=null, t1=64.950, t2=52.800, t3=52.800, total=170.550]
Counter[flat='37', number='21666539', date=null, t1=50.216, t2=54.369, t3=69.600, total=174.185]
