Counter[flat='141', number='023241110316', date=null, t1=-4555.720, t2=-4448.540, t3=-5725.870, total=-14730.130]
Counter[flat='78', number='023240215710', date=null, t1=-6253.743, t2=-1733.555, t3=0.000, total=-7987.298]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='76', number='21968202', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='44', number='21967861', date=null, t1=0.000, t2=0.000, t3=0.002, total=0.002]
Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.002, t3=0.008, total=0.010]
Counter[flat='45', number='21666907', date=null, t1=0.000, t2=0.000, t3=0.018, total=0.018]
Counter[flat='111', number='21949373', date=null, t1=2.311, t2=1.673, t3=1.983, total=5.967]
Counter[flat='108', number='21968246', date=null, t1=2.518, t2=0.000, t3=5.396, total=7.914]
Counter[flat='68', number='21967522', date=null, t1=9.342, t2=11.933, t3=10.532, total=31.807]
Counter[flat='27', number='21666500', date=null, t1=10.440, t2=12.275, t3=13.168, total=35.883]
Counter[flat='77', number='21968450', date=null, t1=10.735, t2=12.175, t3=13.443, total=36.353]
Counter[flat='58', number='21967732', date=null, t1=11.161, t2=12.811, t3=14.118, total=38.090]
Counter[flat='5', number='21712960', date=null, t1=11.125, t2=10.761, t3=19.652, total=41.538]
Counter[flat='135', number='21967542', date=null, t1=12.271, t2=14.324, t3=15.537, total=42.132]
Counter[flat='107', number='21971375', date=null, t1=12.847, t2=14.554, t3=16.192, total=43.593]
Counter[flat='42', number='21666910', date=null, t1=13.896, t2=12.976, t3=17.365, total=44.237]
Counter[flat='73', number='21967479', date=null, t1=17.691, t2=13.420, t3=18.769, total=49.880]
Counter[flat='75', number='21968458', date=null, t1=19.478, t2=13.696, t3=18.306, total=51.480]
Counter[flat='65', number='21968139', date=null, t1=19.349, t2=14.612, t3=19.360, total=53.321]
Counter[flat='32', number='21712993', date=null, t1=16.951, t2=16.052, t3=22.966, total=55.969]
Counter[flat='30', number='21667094', date=null, t1=16.281, t2=18.362, t3=21.670, total=56.313]
Counter[flat='24', number='21968031', date=null, t1=18.132, t2=16.870, t3=22.311, total=57.313]
Counter[flat='63', number='21968441', date=null, t1=17.454, t2=18.815, t3=21.342, total=57.611]
Counter[flat='35', number='21948913', date=null, t1=14.707, t2=21.825, t3=21.091, total=57.623]
Counter[flat='91', number='21968076', date=null, t1=18.255, t2=17.222, t3=24.932, total=60.409]
