Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №78', number='21971325', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.003, total=0.003]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.001, t2=0.000, t3=0.047, total=0.048]
Counter[flat='Квартира №69', number='21967567', date=null, t1=0.150, t2=0.001, t3=0.052, total=0.203]
Counter[flat='Квартира №99', number='21968207', date=null, t1=0.012, t2=0.000, t3=0.235, total=0.247]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.085, t2=0.265, t3=0.025, total=0.375]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.040, t2=0.516, t3=0.763, total=1.319]
Counter[flat='Квартира №97', number='21967959', date=null, t1=5.514, t2=0.000, t3=11.040, total=16.554]
Counter[flat='Квартира №108', number='21968246', date=null, t1=4.434, t2=0.000, t3=17.345, total=21.779]
Counter[flat='Квартира №28', number='21666499', date=null, t1=6.843, t2=7.794, t3=8.863, total=23.500]
Counter[flat='Квартира №102', number='21968242', date=null, t1=7.000, t2=8.839, t3=9.254, total=25.093]
Counter[flat='Квартира №36', number='21712963', date=null, t1=8.060, t2=9.078, t3=10.349, total=27.487]
Counter[flat='Квартира №30', number='21667094', date=null, t1=9.751, t2=8.827, t3=10.357, total=28.935]
Counter[flat='Квартира №24', number='21968031', date=null, t1=8.842, t2=9.700, t3=11.092, total=29.634]
Counter[flat='Квартира №136', number='21967551', date=null, t1=9.288, t2=9.702, t3=12.479, total=31.469]
Counter[flat='Квартира №5', number='21712960', date=null, t1=10.363, t2=9.243, t3=12.566, total=32.172]
Counter[flat='Квартира №18', number='21967958', date=null, t1=9.589, t2=10.803, t3=12.227, total=32.619]
Counter[flat='Квартира №20', number='21968040', date=null, t1=10.112, t2=9.958, t3=13.371, total=33.441]
Counter[flat='Квартира №107', number='21971375', date=null, t1=11.075, t2=12.348, t3=14.002, total=37.425]
Counter[flat='Квартира №84', number='21967477', date=null, t1=12.471, t2=11.297, t3=16.447, total=40.215]
Counter[flat='Квартира №114', number='21949338', date=null, t1=12.315, t2=13.831, t3=16.064, total=42.210]
Counter[flat='Квартира №41', number='21666577', date=null, t1=12.336, t2=11.423, t3=19.172, total=42.931]
Counter[flat='Квартира №17', number='21968056', date=null, t1=14.414, t2=10.730, t3=19.394, total=44.538]
Counter[flat='Квартира №45', number='21666907', date=null, t1=8.917, t2=15.615, t3=20.053, total=44.585]
Counter[flat='Квартира №88', number='21967504', date=null, t1=14.171, t2=7.945, t3=24.860, total=46.976]
Counter[flat='Квартира №94', number='21967987', date=null, t1=14.118, t2=15.069, t3=22.325, total=51.512]
Counter[flat='Квартира №59', number='21968016', date=null, t1=13.552, t2=13.641, t3=24.629, total=51.822]
Counter[flat='Квартира №43', number='21712964', date=null, t1=12.475, t2=15.530, t3=23.909, total=51.914]
Counter[flat='Квартира №101', number='21967802', date=null, t1=17.127, t2=13.279, t3=21.900, total=52.306]
Counter[flat='Квартира №81', number='21967486', date=null, t1=15.709, t2=16.251, t3=21.618, total=53.578]
Counter[flat='Квартира №119', number='21967973', date=null, t1=20.097, t2=12.961, t3=20.822, total=53.880]
Counter[flat='Квартира №86', number='21967885', date=null, t1=20.342, t2=13.477, t3=23.779, total=57.598]
Counter[flat='Квартира №3', number='21967585', date=null, t1=19.515, t2=15.508, t3=24.515, total=59.538]
Counter[flat='Квартира №135', number='21967542', date=null, t1=20.721, t2=16.072, t3=22.799, total=59.592]
Counter[flat='Квартира №100', number='21967497', date=null, t1=30.049, t2=11.548, t3=19.441, total=61.038]
Counter[flat='Квартира №65', number='21968139', date=null, t1=25.079, t2=15.140, t3=21.212, total=61.431]
Counter[flat='Квартира №75', number='21968458', date=null, t1=25.746, t2=12.307, t3=23.485, total=61.538]
Counter[flat='Квартира №140', number='21967475', date=null, t1=19.682, t2=21.937, t3=23.929, total=65.548]
Counter[flat='Квартира №11', number='21949329', date=null, t1=21.313, t2=17.198, t3=27.338, total=65.849]
Counter[flat='Квартира №93', number='21967981', date=null, t1=24.150, t2=16.271, t3=28.669, total=69.090]
Counter[flat='Квартира №122', number='21949370', date=null, t1=35.659, t2=10.845, t3=22.679, total=69.183]
Counter[flat='Квартира №71', number='21967505', date=null, t1=18.561, t2=16.762, t3=34.945, total=70.268]
Counter[flat='Квартира №48', number='21968079', date=null, t1=23.952, t2=13.202, t3=33.887, total=71.041]
Counter[flat='Квартира №91', number='21968076', date=null, t1=19.868, t2=28.581, t3=22.911, total=71.360]
Counter[flat='Квартира №56', number='21968075', date=null, t1=21.998, t2=19.681, t3=30.426, total=72.105]
Counter[flat='Квартира №131', number='21968035', date=null, t1=21.829, t2=18.633, t3=32.875, total=73.337]
Counter[flat='Квартира №70', number='21967516', date=null, t1=20.373, t2=25.682, t3=27.967, total=74.022]
Counter[flat='Квартира №73', number='21967479', date=null, t1=21.721, t2=26.553, t3=26.649, total=74.923]
Counter[flat='Квартира №67', number='21967528', date=null, t1=21.433, t2=26.341, t3=29.271, total=77.045]
Counter[flat='Квартира №22', number='21968052', date=null, t1=32.442, t2=14.939, t3=30.685, total=78.066]
Counter[flat='Квартира №29', number='21667085', date=null, t1=28.514, t2=14.267, t3=36.607, total=79.388]
Counter[flat='Квартира №23', number='21967854', date=null, t1=34.991, t2=11.101, t3=36.821, total=82.913]
Counter[flat='Квартира №47', number='21967923', date=null, t1=26.613, t2=25.318, t3=31.088, total=83.019]
Counter[flat='Квартира №35', number='21948913', date=null, t1=17.919, t2=36.156, t3=29.850, total=83.925]
Counter[flat='Квартира №87', number='21967753', date=null, t1=21.937, t2=22.678, t3=40.000, total=84.615]
Counter[flat='Квартира №44', number='21967861', date=null, t1=22.239, t2=21.273, t3=41.893, total=85.405]
Counter[flat='Квартира №89', number='21967810', date=null, t1=27.846, t2=26.210, t3=33.711, total=87.767]
Counter[flat='Квартира №116', number='21968082', date=null, t1=30.382, t2=20.331, t3=37.363, total=88.076]
Counter[flat='Квартира №80', number='21967506', date=null, t1=27.108, t2=26.056, t3=34.954, total=88.118]
Counter[flat='Квартира №51', number='21666920', date=null, t1=36.770, t2=15.508, t3=36.540, total=88.818]
Counter[flat='Квартира №62', number='21971329', date=null, t1=32.960, t2=13.439, t3=45.119, total=91.518]
Counter[flat='Квартира №124', number='21949405', date=null, t1=30.223, t2=22.522, t3=39.476, total=92.221]
Counter[flat='Квартира №15', number='21666510', date=null, t1=31.302, t2=19.833, t3=41.186, total=92.321]
