Counter[flat='Квартира №40', number='21666557', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №138', number='21967900', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.037, t2=0.000, t3=0.000, total=0.037]
Counter[flat='Квартира №97', number='21967959', date=null, t1=0.714, t2=0.562, t3=0.675, total=1.951]
Counter[flat='Квартира №108', number='21968246', date=null, t1=0.475, t2=0.000, t3=2.268, total=2.743]
Counter[flat='Квартира №140', number='21967475', date=null, t1=6.892, t2=6.961, t3=12.310, total=26.163]
Counter[flat='Квартира №100', number='21967497', date=null, t1=8.192, t2=8.177, t3=10.707, total=27.076]
Counter[flat='Квартира №5', number='21712960', date=null, t1=9.404, t2=8.875, t3=11.067, total=29.346]
Counter[flat='Квартира №86', number='21967885', date=null, t1=9.671, t2=7.583, t3=12.226, total=29.480]
Counter[flat='Квартира №94', number='21967987', date=null, t1=9.408, t2=9.453, t3=11.357, total=30.218]
Counter[flat='Квартира №92', number='21967967', date=null, t1=10.710, t2=12.204, t3=13.422, total=36.336]
Counter[flat='Квартира №102', number='21968242', date=null, t1=10.734, t2=12.640, t3=13.783, total=37.157]
Counter[flat='Квартира №135', number='21967542', date=null, t1=11.310, t2=12.938, t3=15.931, total=40.179]
Counter[flat='Квартира №81', number='21967486', date=null, t1=11.066, t2=12.936, t3=16.974, total=40.976]
Counter[flat='Квартира №45', number='21666907', date=null, t1=10.331, t2=16.265, t3=18.934, total=45.530]
Counter[flat='Квартира №105', number='21971386', date=null, t1=18.057, t2=9.826, t3=21.164, total=49.047]
Counter[flat='Квартира №84', number='21967477', date=null, t1=12.552, t2=13.868, t3=22.671, total=49.091]
Counter[flat='Квартира №41', number='21666577', date=null, t1=15.776, t2=10.800, t3=25.257, total=51.833]
Counter[flat='Квартира №51', number='21666920', date=null, t1=22.876, t2=9.920, t3=19.891, total=52.687]
Counter[flat='Квартира №122', number='21949370', date=null, t1=19.591, t2=10.667, t3=25.319, total=55.577]
Counter[flat='Квартира №65', number='21968139', date=null, t1=21.287, t2=12.205, t3=23.642, total=57.134]
Counter[flat='Квартира №75', number='21968458', date=null, t1=19.436, t2=12.704, t3=26.110, total=58.250]
