Counter[flat='100', number='21967497', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='12', number='21948923', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.003, total=0.003]
Counter[flat='45', number='21666907', date=null, t1=0.000, t2=0.000, t3=0.129, total=0.129]
Counter[flat='139', number='21967531', date=null, t1=0.197, t2=0.221, t3=0.257, total=0.675]
Counter[flat='44', number='21967861', date=null, t1=0.191, t2=0.203, t3=0.398, total=0.792]
Counter[flat='5', number='21712960', date=null, t1=3.224, t2=1.536, t3=4.595, total=9.355]
Counter[flat='108', number='21968246', date=null, t1=2.534, t2=0.000, t3=12.137, total=14.671]
Counter[flat='76', number='21968202', date=null, t1=5.231, t2=5.394, t3=4.157, total=14.782]
Counter[flat='68', number='21967522', date=null, t1=6.536, t2=9.004, t3=8.738, total=24.278]
Counter[flat='94', number='21967987', date=null, t1=8.834, t2=7.049, t3=9.084, total=24.967]
Counter[flat='27', number='21666500', date=null, t1=8.220, t2=9.480, t3=10.687, total=28.387]
Counter[flat='135', number='21967542', date=null, t1=10.643, t2=9.508, t3=12.781, total=32.932]
Counter[flat='73', number='21967479', date=null, t1=12.281, t2=13.111, t3=16.208, total=41.600]
Counter[flat='107', number='21971375', date=null, t1=12.016, t2=17.928, t3=16.011, total=45.955]
Counter[flat='124', number='21949405', date=null, t1=15.972, t2=14.391, t3=19.260, total=49.623]
Counter[flat='74', number='21968454', date=null, t1=15.882, t2=17.291, t3=19.112, total=52.285]
Counter[flat='32', number='21712993', date=null, t1=21.356, t2=12.990, t3=20.134, total=54.480]
Counter[flat='65', number='21968139', date=null, t1=19.482, t2=14.060, t3=21.781, total=55.323]
Counter[flat='83', number='21968203', date=null, t1=18.317, t2=13.338, t3=27.047, total=58.702]
Counter[flat='42', number='21666910', date=null, t1=19.977, t2=15.388, t3=24.141, total=59.506]
Counter[flat='75', number='21968458', date=null, t1=24.583, t2=14.439, t3=21.792, total=60.814]
Counter[flat='56', number='21968075', date=null, t1=18.248, t2=18.272, t3=26.553, total=63.073]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='91', number='21968076', date=null, t1=20.197, t2=18.667, t3=28.895, total=67.759]
Counter[flat='43', number='21712964', date=null, t1=17.717, t2=25.066, t3=28.879, total=71.662]
Counter[flat='81', number='21967486', date=null, t1=26.111, t2=19.507, t3=28.529, total=74.147]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='99', number='21968207', date=null, t1=20.629, t2=16.603, t3=37.769, total=75.001]
Counter[flat='38', number='21666552', date=null, t1=23.867, t2=15.067, t3=36.206, total=75.140]
Counter[flat='116', number='21968082', date=null, t1=19.392, t2=20.040, t3=35.998, total=75.430]
Counter[flat='140', number='21967475', date=null, t1=22.719, t2=19.481, t3=34.214, total=76.414]
Counter[flat='41', number='21666577', date=null, t1=31.511, t2=12.144, t3=35.692, total=79.347]
Counter[flat='143', number='21967509', date=null, t1=29.286, t2=18.190, t3=32.688, total=80.164]
Counter[flat='88', number='21967504', date=null, t1=34.789, t2=9.565, t3=36.582, total=80.936]
Counter[flat='21', number='21968025', date=null, t1=29.109, t2=15.512, t3=39.121, total=83.742]
Counter[flat='3', number='21967585', date=null, t1=36.914, t2=15.483, t3=33.090, total=85.487]
Counter[flat='122', number='21949370', date=null, t1=29.042, t2=22.661, t3=35.559, total=87.262]
Counter[flat='103', number='21971417', date=null, t1=27.856, t2=20.462, t3=40.865, total=89.183]
Counter[flat='53', number='21666929', date=null, t1=41.982, t2=16.365, t3=31.708, total=90.055]
Counter[flat='71', number='21967505', date=null, t1=23.470, t2=23.695, t3=44.194, total=91.359]
Counter[flat='24', number='21968031', date=null, t1=23.662, t2=38.242, t3=30.478, total=92.382]
Counter[flat='64', number='21968468', date=null, t1=33.666, t2=22.612, t3=37.500, total=93.778]
Counter[flat='131', number='21968035', date=null, t1=39.293, t2=20.517, t3=37.114, total=96.924]
Counter[flat='15', number='21666510', date=null, t1=36.028, t2=24.222, t3=37.227, total=97.477]
Counter[flat='35', number='21948913', date=null, t1=24.056, t2=39.376, t3=36.189, total=99.621]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='110', number='21949389', date=null, t1=32.698, t2=18.008, t3=49.329, total=100.035]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='8', number='21967610', date=null, t1=37.314, t2=18.505, t3=49.299, total=105.118]
Counter[flat='109', number='21949350', date=null, t1=33.496, t2=31.944, t3=40.357, total=105.797]
Counter[flat='133', number='21967899', date=null, t1=34.336, t2=26.728, t3=45.763, total=106.827]
Counter[flat='60', number='21967979', date=null, t1=36.696, t2=23.293, t3=47.141, total=107.130]
Counter[flat='50', number='21666901', date=null, t1=28.614, t2=26.074, t3=54.877, total=109.565]
Counter[flat='51', number='21666920', date=null, t1=48.095, t2=18.133, t3=44.421, total=110.649]
Counter[flat='2', number='21949330', date=null, t1=37.198, t2=30.053, t3=44.503, total=111.754]
Counter[flat='26', number='21666497', date=null, t1=48.459, t2=18.127, t3=45.966, total=112.552]
Counter[flat='20', number='21968040', date=null, t1=32.224, t2=32.059, t3=49.273, total=113.556]
Counter[flat='84', number='21967477', date=null, t1=27.880, t2=27.312, t3=59.521, total=114.713]
Counter[flat='23', number='21967854', date=null, t1=50.062, t2=12.380, t3=55.289, total=117.731]
Counter[flat='98', number='21967964', date=null, t1=39.142, t2=25.996, t3=52.684, total=117.822]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='129', number='21967906', date=null, t1=49.035, t2=30.478, t3=42.580, total=122.093]
Counter[flat='137', number='21967213', date=null, t1=36.137, t2=36.338, t3=50.915, total=123.390]
Counter[flat='101', number='21967802', date=null, t1=53.709, t2=23.618, t3=48.480, total=125.807]
Counter[flat='30', number='21667094', date=null, t1=40.217, t2=21.622, t3=66.690, total=128.529]
Counter[flat='141', number='023241110316', date=null, t1=30.000, t2=50.000, t3=50.000, total=130.000]
Counter[flat='79', number='21967555', date=null, t1=50.887, t2=28.418, t3=51.324, total=130.629]
Counter[flat='102', number='21968242', date=null, t1=41.863, t2=42.320, t3=47.402, total=131.585]
Counter[flat='93', number='21967981', date=null, t1=40.203, t2=32.630, t3=61.175, total=134.008]
Counter[flat='58', number='21967732', date=null, t1=52.007, t2=25.066, t3=57.602, total=134.675]
Counter[flat='47', number='21967923', date=null, t1=51.077, t2=16.988, t3=66.775, total=134.840]
Counter[flat='70', number='21967516', date=null, t1=43.733, t2=48.059, t3=47.132, total=138.924]
Counter[flat='119', number='21967973', date=null, t1=44.958, t2=23.923, t3=70.561, total=139.442]
Counter[flat='80', number='21967506', date=null, t1=47.459, t2=40.578, t3=56.460, total=144.497]
Counter[flat='69', number='21967567', date=null, t1=59.223, t2=19.780, t3=68.165, total=147.168]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='22', number='21968052', date=null, t1=65.871, t2=19.377, t3=73.247, total=158.495]
Counter[flat='111', number='21949373', date=null, t1=61.954, t2=25.482, t3=77.211, total=164.647]
Counter[flat='115', number='21967511', date=null, t1=57.461, t2=33.230, t3=75.294, total=165.985]
Counter[flat='63', number='21968441', date=null, t1=65.475, t2=22.944, t3=80.425, total=168.844]
Counter[flat='117', number='21967206', date=null, t1=48.531, t2=33.143, t3=91.543, total=173.217]
Counter[flat='78', number='023240215710', date=null, t1=50.000, t2=30.000, t3=95.000, total=175.000]
Counter[flat='142', number='21968032', date=null, t1=57.796, t2=49.170, t3=73.744, total=180.710]
Counter[flat='130', number='21967952', date=null, t1=60.763, t2=43.601, t3=77.759, total=182.123]
Counter[flat='104', number='21971388', date=null, t1=76.112, t2=30.584, t3=77.822, total=184.518]
Counter[flat='54', number='21666917', date=null, t1=84.931, t2=30.056, t3=70.469, total=185.456]
Counter[flat='52', number='21666543', date=null, t1=60.467, t2=34.739, t3=97.392, total=192.598]
Counter[flat='48', number='21968079', date=null, t1=67.341, t2=25.054, t3=100.660, total=193.055]
Counter[flat='96', number='21968073', date=null, t1=46.843, t2=35.378, t3=111.256, total=193.477]
Counter[flat='57', number='21967809', date=null, t1=54.160, t2=57.064, t3=84.854, total=196.078]
Counter[flat='144', number='21968041', date=null, t1=77.010, t2=35.201, t3=84.290, total=196.501]
Counter[flat='118', number='21971416', date=null, t1=62.556, t2=53.542, t3=82.592, total=198.690]
Counter[flat='10', number='21967590', date=null, t1=50.000, t2=50.000, t3=100.000, total=200.000]
Counter[flat='17', number='21968056', date=null, t1=95.000, t2=20.533, t3=85.000, total=200.533]
Counter[flat='40', number='21666557', date=null, t1=135.000, t2=70.000, t3=0.000, total=205.000]
Counter[flat='33', number='21948916', date=null, t1=100.000, t2=30.000, t3=75.000, total=205.000]
Counter[flat='34', number='21712954', date=null, t1=77.694, t2=41.330, t3=87.747, total=206.771]
Counter[flat='120', number='21967526', date=null, t1=69.633, t2=38.035, t3=101.225, total=208.893]
Counter[flat='4', number='21967572', date=null, t1=58.795, t2=60.963, t3=89.329, total=209.087]
Counter[flat='97', number='21967959', date=null, t1=53.399, t2=76.485, t3=81.293, total=211.177]
Counter[flat='67', number='21967528', date=null, t1=88.607, t2=22.389, t3=101.104, total=212.100]
Counter[flat='29', number='21667085', date=null, t1=47.059, t2=108.746, t3=58.561, total=214.366]
Counter[flat='125', number='21949344', date=null, t1=76.964, t2=42.222, t3=99.117, total=218.303]
Counter[flat='82', number='21967513', date=null, t1=70.000, t2=30.000, t3=120.000, total=220.000]
Counter[flat='121', number='21971370', date=null, t1=70.292, t2=35.423, t3=116.043, total=221.758]
Counter[flat='123', number='21949395', date=null, t1=81.632, t2=54.537, t3=88.565, total=224.734]
Counter[flat='95', number='21967997', date=null, t1=87.341, t2=36.083, t3=107.755, total=231.179]
Counter[flat='66', number='21968442', date=null, t1=89.048, t2=40.033, t3=104.466, total=233.547]
Counter[flat='62', number='21971329', date=null, t1=101.157, t2=43.383, t3=91.228, total=235.768]
Counter[flat='112', number='21971429', date=null, t1=84.420, t2=38.044, t3=117.902, total=240.366]
Counter[flat='36', number='21712963', date=null, t1=80.779, t2=62.890, t3=107.144, total=250.813]
Counter[flat='11', number='21949329', date=null, t1=57.555, t2=48.383, t3=150.178, total=256.116]
Counter[flat='46', number='21967731', date=null, t1=85.000, t2=75.000, t3=100.000, total=260.000]
Counter[flat='18', number='21967958', date=null, t1=100.000, t2=50.000, t3=110.000, total=260.000]
Counter[flat='92', number='21967967', date=null, t1=73.791, t2=81.352, t3=107.884, total=263.027]
Counter[flat='90', number='21968383', date=null, t1=90.540, t2=91.243, t3=106.821, total=288.604]
Counter[flat='61', number='21968453', date=null, t1=97.297, t2=42.952, t3=149.147, total=289.396]
Counter[flat='55', number='21967879', date=null, t1=84.052, t2=80.121, t3=127.301, total=291.474]
Counter[flat='77', number='21968450', date=null, t1=85.395, t2=60.104, t3=156.356, total=301.855]
Counter[flat='128', number='21968471', date=null, t1=112.846, t2=61.562, t3=138.249, total=312.657]
Counter[flat='49', number='21666570', date=null, t1=132.776, t2=49.805, t3=143.678, total=326.259]
Counter[flat='72', number='21967501', date=null, t1=106.750, t2=86.798, t3=156.718, total=350.266]
Counter[flat='113', number='21949380', date=null, t1=114.883, t2=101.242, t3=134.518, total=350.643]
Counter[flat='59', number='21968016', date=null, t1=124.957, t2=83.446, t3=142.365, total=350.768]
Counter[flat='9', number='21948896', date=null, t1=120.001, t2=147.521, t3=131.461, total=398.983]
