Counter[flat='Квартира №6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №66', number='21968442', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №92', number='21967967', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='Квартира №139', number='21967531', date=null, t1=0.045, t2=0.000, t3=0.000, total=0.045]
Counter[flat='Квартира №8', number='21967610', date=null, t1=0.387, t2=0.101, t3=0.201, total=0.689]
Counter[flat='Квартира №20', number='21968040', date=null, t1=1.901, t2=1.113, t3=2.334, total=5.348]
Counter[flat='Квартира №97', number='21967959', date=null, t1=8.048, t2=0.211, t3=5.772, total=14.031]
Counter[flat='Квартира №28', number='21666499', date=null, t1=6.954, t2=3.748, t3=8.216, total=18.918]
Counter[flat='Квартира №5', number='21712960', date=null, t1=8.616, t2=10.212, t3=12.579, total=31.407]
Counter[flat='Квартира №36', number='21712963', date=null, t1=9.241, t2=10.564, t3=11.837, total=31.642]
Counter[flat='Квартира №27', number='21666500', date=null, t1=9.441, t2=11.105, t3=12.480, total=33.026]
Counter[flat='Квартира №94', number='21967987', date=null, t1=10.199, t2=10.641, t3=13.539, total=34.379]
Counter[flat='Квартира №101', number='21967802', date=null, t1=10.316, t2=11.472, t3=12.849, total=34.637]
Counter[flat='Квартира №41', number='21666577', date=null, t1=10.207, t2=11.005, t3=16.280, total=37.492]
Counter[flat='Квартира №84', number='21967477', date=null, t1=11.443, t2=12.965, t3=14.822, total=39.230]
Counter[flat='Квартира №24', number='21968031', date=null, t1=11.998, t2=13.917, t3=15.644, total=41.559]
Counter[flat='Квартира №135', number='21967542', date=null, t1=15.347, t2=16.458, t3=19.201, total=51.006]
Counter[flat='Квартира №102', number='21968242', date=null, t1=15.143, t2=17.482, t3=19.527, total=52.152]
Counter[flat='Квартира №108', number='21968246', date=null, t1=12.436, t2=0.000, t3=40.186, total=52.622]
Counter[flat='Квартира №65', number='21968139', date=null, t1=21.777, t2=15.211, t3=22.845, total=59.833]
Counter[flat='Квартира №45', number='21666907', date=null, t1=12.199, t2=24.283, t3=26.865, total=63.347]
Counter[flat='Квартира №81', number='21967486', date=null, t1=20.159, t2=20.330, t3=26.555, total=67.044]
Counter[flat='Квартира №99', number='21968207', date=null, t1=19.855, t2=23.034, t3=25.661, total=68.550]
Counter[flat='Квартира №100', number='21967497', date=null, t1=20.956, t2=16.271, t3=31.836, total=69.063]
Counter[flat='Квартира №43', number='21712964', date=null, t1=18.116, t2=21.474, t3=29.490, total=69.080]
Counter[flat='Квартира №56', number='21968075', date=null, t1=20.460, t2=21.286, t3=29.649, total=71.395]
Counter[flat='Квартира №11', number='21949329', date=null, t1=17.350, t2=27.048, t3=31.388, total=75.786]
