Counter[flat='6', number='21712947', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='19', number='21967946', date=null, t1=0.000, t2=0.000, t3=0.000, total=0.000]
Counter[flat='100', number='21967497', date=null, t1=0.007, t2=0.000, t3=0.000, total=0.007]
Counter[flat='106', number='21967200', date=null, t1=0.000, t2=0.000, t3=0.035, total=0.035]
Counter[flat='66', number='21968442', date=null, t1=1.347, t2=0.000, t3=1.190, total=2.537]
Counter[flat='12', number='21948923', date=null, t1=7.609, t2=8.824, t3=9.845, total=26.278]
Counter[flat='29', number='21667085', date=null, t1=8.689, t2=8.792, t3=9.916, total=27.397]
Counter[flat='27', number='21666500', date=null, t1=8.742, t2=9.979, t3=11.548, total=30.269]
Counter[flat='58', number='21967732', date=null, t1=9.315, t2=10.828, t3=11.911, total=32.054]
Counter[flat='102', number='21968242', date=null, t1=9.909, t2=11.788, t3=12.825, total=34.522]
Counter[flat='73', number='21967479', date=null, t1=10.851, t2=12.793, t3=14.306, total=37.950]
Counter[flat='20', number='21968040', date=null, t1=9.886, t2=12.231, t3=16.327, total=38.444]
Counter[flat='68', number='21967522', date=null, t1=11.870, t2=13.045, t3=15.909, total=40.824]
Counter[flat='107', number='21971375', date=null, t1=11.445, t2=16.270, t3=15.867, total=43.582]
Counter[flat='75', number='21968458', date=null, t1=14.755, t2=10.836, t3=19.176, total=44.767]
Counter[flat='5', number='21712960', date=null, t1=13.989, t2=11.304, t3=20.591, total=45.884]
Counter[flat='101', number='21967802', date=null, t1=15.502, t2=13.757, t3=20.611, total=49.870]
Counter[flat='45', number='21666907', date=null, t1=17.143, t2=14.398, t3=18.869, total=50.410]
Counter[flat='53', number='21666929', date=null, t1=21.554, t2=11.920, t3=20.143, total=53.617]
Counter[flat='65', number='21968139', date=null, t1=19.566, t2=14.721, t3=21.316, total=55.603]
Counter[flat='41', number='21666577', date=null, t1=19.688, t2=12.144, t3=26.158, total=57.990]
Counter[flat='17', number='21968056', date=null, t1=20.000, t2=20.208, t3=20.208, total=60.416]
Counter[flat='42', number='21666910', date=null, t1=25.333, t2=13.158, t3=22.244, total=60.735]
Counter[flat='131', number='21968035', date=null, t1=18.004, t2=19.627, t3=23.472, total=61.103]
Counter[flat='24', number='21968031', date=null, t1=25.482, t2=15.345, t3=23.255, total=64.082]
Counter[flat='89', number='21967810', date=null, t1=25.000, t2=20.000, t3=20.000, total=65.000]
Counter[flat='99', number='21968207', date=null, t1=16.802, t2=13.648, t3=35.209, total=65.659]
Counter[flat='84', number='21967477', date=null, t1=18.771, t2=16.564, t3=31.066, total=66.401]
Counter[flat='108', number='21968246', date=null, t1=10.266, t2=0.000, t3=56.475, total=66.741]
Counter[flat='143', number='21967509', date=null, t1=21.484, t2=16.437, t3=29.030, total=66.951]
Counter[flat='44', number='21967861', date=null, t1=24.208, t2=16.483, t3=26.384, total=67.075]
Counter[flat='38', number='21666552', date=null, t1=20.378, t2=14.487, t3=34.320, total=69.185]
Counter[flat='91', number='21968076', date=null, t1=19.842, t2=26.485, t3=23.836, total=70.163]
Counter[flat='88', number='21967504', date=null, t1=24.954, t2=9.475, t3=37.766, total=72.195]
Counter[flat='116', number='21968082', date=null, t1=18.849, t2=22.935, t3=30.701, total=72.485]
Counter[flat='14', number='21967940', date=null, t1=20.000, t2=30.000, t3=25.000, total=75.000]
Counter[flat='70', number='21967516', date=null, t1=20.561, t2=25.500, t3=29.154, total=75.215]
Counter[flat='21', number='21968025', date=null, t1=25.832, t2=14.965, t3=36.199, total=76.996]
Counter[flat='83', number='21968203', date=null, t1=26.390, t2=16.150, t3=36.559, total=79.099]
Counter[flat='124', number='21949405', date=null, t1=28.679, t2=19.765, t3=30.836, total=79.280]
Counter[flat='103', number='21971417', date=null, t1=27.893, t2=20.684, t3=31.581, total=80.158]
Counter[flat='71', number='21967505', date=null, t1=23.587, t2=17.445, t3=41.211, total=82.243]
Counter[flat='135', number='21967542', date=null, t1=30.339, t2=19.548, t3=32.881, total=82.768]
Counter[flat='51', number='21666920', date=null, t1=30.559, t2=13.897, t3=38.381, total=82.837]
Counter[flat='3', number='21967585', date=null, t1=30.220, t2=17.589, t3=36.748, total=84.557]
Counter[flat='139', number='21967531', date=null, t1=26.042, t2=24.426, t3=34.306, total=84.774]
Counter[flat='43', number='21712964', date=null, t1=21.502, t2=24.416, t3=39.317, total=85.235]
Counter[flat='56', number='21968075', date=null, t1=25.262, t2=26.745, t3=36.112, total=88.119]
Counter[flat='50', number='21666901', date=null, t1=25.961, t2=28.303, t3=34.646, total=88.910]
Counter[flat='76', number='21968202', date=null, t1=30.646, t2=16.604, t3=43.411, total=90.661]
Counter[flat='122', number='21949370', date=null, t1=23.684, t2=25.465, t3=41.519, total=90.668]
Counter[flat='123', number='21949395', date=null, t1=35.212, t2=21.010, t3=39.999, total=96.221]
Counter[flat='92', number='21967967', date=null, t1=26.764, t2=27.781, t3=42.668, total=97.213]
Counter[flat='86', number='21967885', date=null, t1=25.000, t2=25.000, t3=50.000, total=100.000]
Counter[flat='87', number='21967753', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='134', number='21967568', date=null, t1=30.000, t2=20.000, t3=50.000, total=100.000]
Counter[flat='133', number='21967899', date=null, t1=32.197, t2=22.721, t3=45.655, total=100.573]
Counter[flat='59', number='21968016', date=null, t1=44.530, t2=17.092, t3=41.637, total=103.259]
Counter[flat='110', number='21949389', date=null, t1=37.036, t2=20.185, t3=47.320, total=104.541]
Counter[flat='136', number='21967551', date=null, t1=35.000, t2=35.000, t3=35.000, total=105.000]
Counter[flat='47', number='21967923', date=null, t1=34.500, t2=16.081, t3=56.606, total=107.187]
Counter[flat='48', number='21968079', date=null, t1=42.058, t2=18.118, t3=47.614, total=107.790]
Counter[flat='32', number='21712993', date=null, t1=39.208, t2=20.091, t3=48.933, total=108.232]
Counter[flat='111', number='21949373', date=null, t1=47.762, t2=18.884, t3=41.817, total=108.463]
Counter[flat='2', number='21949330', date=null, t1=35.249, t2=31.531, t3=44.432, total=111.212]
Counter[flat='35', number='21948913', date=null, t1=23.557, t2=53.932, t3=35.691, total=113.180]
Counter[flat='79', number='21967555', date=null, t1=34.918, t2=34.675, t3=43.804, total=113.397]
Counter[flat='15', number='21666510', date=null, t1=37.624, t2=28.069, t3=49.912, total=115.605]
Counter[flat='94', number='21967987', date=null, t1=35.643, t2=23.597, t3=56.384, total=115.624]
Counter[flat='109', number='21949350', date=null, t1=33.618, t2=35.990, t3=49.127, total=118.735]
Counter[flat='105', number='21971386', date=null, t1=40.000, t2=25.000, t3=55.000, total=120.000]
Counter[flat='23', number='21967854', date=null, t1=43.935, t2=14.363, t3=61.749, total=120.047]
Counter[flat='98', number='21967964', date=null, t1=41.648, t2=26.701, t3=53.796, total=122.145]
Counter[flat='26', number='21666497', date=null, t1=57.564, t2=17.983, t3=47.951, total=123.498]
Counter[flat='30', number='21667094', date=null, t1=42.540, t2=22.671, t3=62.939, total=128.150]
Counter[flat='81', number='21967486', date=null, t1=41.452, t2=31.320, t3=55.910, total=128.682]
Counter[flat='140', number='21967475', date=null, t1=44.071, t2=30.317, t3=55.102, total=129.490]
Counter[flat='8', number='21967610', date=null, t1=42.304, t2=35.173, t3=52.097, total=129.574]
Counter[flat='96', number='21968073', date=null, t1=38.529, t2=27.180, t3=63.930, total=129.639]
Counter[flat='137', number='21967213', date=null, t1=40.412, t2=32.512, t3=58.176, total=131.100]
Counter[flat='78', number='40628580', date=null, t1=107.566, t2=25.000, t3=0.000, total=132.566]
Counter[flat='129', number='21967906', date=null, t1=50.582, t2=28.985, t3=53.886, total=133.453]
Counter[flat='120', number='21967526', date=null, t1=40.093, t2=26.045, t3=72.611, total=138.749]
Counter[flat='118', number='21971416', date=null, t1=50.986, t2=29.207, t3=60.062, total=140.255]
Counter[flat='63', number='21968441', date=null, t1=50.797, t2=21.148, t3=70.214, total=142.159]
Counter[flat='130', number='21967952', date=null, t1=44.613, t2=36.460, t3=61.283, total=142.356]
Counter[flat='80', number='21967506', date=null, t1=50.000, t2=38.000, t3=55.000, total=143.000]
Counter[flat='132', number='21967848', date=null, t1=40.973, t2=46.559, t3=58.244, total=145.776]
Counter[flat='34', number='21712954', date=null, t1=61.726, t2=26.077, t3=59.228, total=147.031]
Counter[flat='142', number='21968032', date=null, t1=50.945, t2=34.420, t3=62.479, total=147.844]
Counter[flat='119', number='21967973', date=null, t1=40.813, t2=37.548, t3=70.198, total=148.559]
Counter[flat='141', number='21967535', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='138', number='21967900', date=null, t1=50.000, t2=50.000, t3=50.000, total=150.000]
Counter[flat='57', number='21967809', date=null, t1=36.614, t2=53.953, t3=60.278, total=150.845]
